label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
J,0.0,0.0,0.0,-0.3294413685798645,-0.20569999516010284,0.033939819782972336,-0.5699930787086487,-0.7692983150482178,0.021193547174334526,-0.6539586782455444,-1.347129225730896,-0.008169394917786121,-0.6322405338287354,-1.7974933385849,-0.03399651125073433,-0.6569340229034424,-0.7788384556770325,-0.002399083925411105,-0.7636615037918091,-1.382492184638977,-0.054376378655433655,-0.7632005214691162,-1.7847338914871216,-0.07675729691982269,-0.7386341691017151,-2.0716559886932373,-0.08878275007009506,-0.4662819802761078,-0.8822358250617981,-0.06512296199798584,-0.4813399612903595,-1.6085962057113647,-0.14769688248634338,-0.3825232684612274,-1.4965038299560547,-0.1615920066833496,-0.32853537797927856,-1.244094967842102,-0.1453084945678711,-0.22892673313617706,-0.9488834142684937,-0.12159714102745056,-0.2588193118572235,-1.6021537780761719,-0.18854711949825287,-0.18169058859348297,-1.4615097045898438,-0.13712577521800995,-0.1453576236963272,-1.2259888648986816,-0.08054990321397781,0.013287310488522053,-0.9848092794418335,-0.17292530834674835,-0.04317060112953186,-1.540525197982788,-0.1851152926683426,0.0034773810766637325,-1.4067487716674805,-0.11354085057973862,0.028421657159924507,-1.185210108757019,-0.052884288132190704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.3083142638206482,-0.23856565356254578,0.03692004829645157,-0.49576327204704285,-0.750794529914856,0.025358861312270164,-0.5451843738555908,-1.2600237131118774,0.002192474901676178,-0.5324606895446777,-1.6508095264434814,-0.018658893182873726,-0.5834152102470398,-0.8060333728790283,-0.026166142895817757,-0.6780216693878174,-1.3605841398239136,-0.0732155591249466,-0.6722908616065979,-1.7388209104537964,-0.09968740493059158,-0.6490742564201355,-1.9971070289611816,-0.11401601135730743,-0.4038692116737366,-0.9109329581260681,-0.08420756459236145,-0.43726909160614014,-1.5715683698654175,-0.14151346683502197,-0.37420809268951416,-1.534203052520752,-0.14779900014400482,-0.34210440516471863,-1.3511734008789062,-0.13685810565948486,-0.1988552361726761,-0.9852331280708313,-0.13499614596366882,-0.22318150103092194,-1.552150011062622,-0.1817188262939453,-0.17463155090808868,-1.4067941904067993,-0.13470591604709625,-0.15596480667591095,-1.1876596212387085,-0.08784354478120804,0.004558466840535402,-1.012853741645813,-0.1815495640039444,-0.035632334649562836,-1.4586286544799805,-0.1830672025680542,0.0012609359109774232,-1.3358395099639893,-0.11664541065692902,0.02112594060599804,-1.1573888063430786,-0.05971616506576538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.39781585335731506,-0.1652008295059204,0.04601120576262474,-0.6377049684524536,-0.5747750997543335,0.04048159345984459,-0.7059035301208496,-1.05204176902771,0.02691911719739437,-0.6537160873413086,-1.419776201248169,0.020732097327709198,-0.7153666615486145,-0.6871546506881714,-0.013032128103077412,-0.8260543942451477,-1.2190731763839722,-0.03626103326678276,-0.8585708141326904,-1.595560908317566,-0.04757518693804741,-0.8720725178718567,-1.8852897882461548,-0.05243849381804466,-0.5199269652366638,-0.8524171113967896,-0.055326689034700394,-0.6351161003112793,-1.5019986629486084,-0.05979873985052109,-0.6321960091590881,-1.6986147165298462,-0.05423012748360634,-0.6418324708938599,-1.7700899839401245,-0.04521668702363968,-0.2779545485973358,-0.9799408912658691,-0.08668126910924911,-0.3580426871776581,-1.6060240268707275,-0.10351434350013733,-0.3175607919692993,-1.5640162229537964,-0.05906617268919945,-0.28480201959609985,-1.380860447883606,-0.011761186644434929,-0.015201613306999207,-1.0576558113098145,-0.11210561543703079,-0.09045802056789398,-1.5787450075149536,-0.11687691509723663,-0.08179895579814911,-1.7852015495300293,-0.07608750462532043,-0.07048369944095612,-1.8845016956329346,-0.030155092477798462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4041983187198639,-0.1527630090713501,0.11728829890489578,-0.630964457988739,-0.5190674066543579,0.15658928453922272,-0.7208240032196045,-0.9201379418373108,0.1848716139793396,-0.6933276653289795,-1.2467246055603027,0.21425236761569977,-0.6867110133171082,-0.6619980931282043,0.03978775441646576,-0.8006285429000854,-1.2462493181228638,0.08029250800609589,-0.8153124451637268,-1.5993895530700684,0.11827484518289566,-0.806054413318634,-1.831941843032837,0.1468014419078827,-0.5040122866630554,-0.8636829257011414,-0.004837631247937679,-0.6014730334281921,-1.51607084274292,0.0861736536026001,-0.5709666013717651,-1.6381020545959473,0.15317022800445557,-0.5680605173110962,-1.6244971752166748,0.18804731965065002,-0.2783859670162201,-1.0006566047668457,-0.03141827881336212,-0.33423885703086853,-1.5354841947555542,0.045220524072647095,-0.27416273951530457,-1.454821228981018,0.12043581157922745,-0.24282903969287872,-1.2674245834350586,0.16149719059467316,-0.029440611600875854,-1.0820457935333252,-0.04669345170259476,-0.07326462119817734,-1.5719352960586548,0.021474946290254593,-0.06178503856062889,-1.7323025465011597,0.0842638686299324,-0.07226936519145966,-1.7752455472946167,0.1292601376771927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.5063501596450806,-0.3250378370285034,-0.0360187403857708,-0.7558203339576721,-0.7242395281791687,0.057395681738853455,-0.8681217432022095,-1.1758594512939453,0.13184720277786255,-0.9099667072296143,-1.5544172525405884,0.20946168899536133,-0.728779673576355,-0.5565176606178284,0.5592390298843384,-0.7858802080154419,-0.9467440843582153,0.6798155307769775,-0.7741484642028809,-1.2080729007720947,0.6441381573677063,-0.7745141386985779,-1.3730111122131348,0.6099185347557068,-0.5067461729049683,-0.6135884523391724,0.605571985244751,-0.559004008769989,-1.0844802856445312,0.6610906720161438,-0.5376831293106079,-1.1547528505325317,0.4761911928653717,-0.5020451545715332,-1.0526957511901855,0.3636683225631714,-0.33651629090309143,-0.7002547979354858,0.6267653107643127,-0.3668144643306732,-1.0721123218536377,0.6753653883934021,-0.3638574481010437,-1.0782735347747803,0.5420939922332764,-0.33929532766342163,-0.9750393033027649,0.4680522680282593,-0.16262857615947723,-0.7767724990844727,0.6415501832962036,-0.18608905375003815,-1.0595322847366333,0.7365406155586243,-0.21392369270324707,-1.2304607629776,0.7287927269935608,-0.22593101859092712,-1.3069714307785034,0.7248738408088684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4746195077896118,-0.24847276508808136,-0.09072082489728928,-0.7438734173774719,-0.6264455318450928,-0.017570383846759796,-0.9027929902076721,-1.085153341293335,0.0386962890625,-0.9899238348007202,-1.474435806274414,0.1065153032541275,-0.7228237986564636,-0.5654757618904114,0.5406501889228821,-0.8287618160247803,-0.9952616095542908,0.5764467120170593,-0.7582438588142395,-1.1733795404434204,0.4752759337425232,-0.6570114493370056,-1.140938401222229,0.41730639338493347,-0.47946012020111084,-0.6428557634353638,0.5973729491233826,-0.5617722868919373,-1.135439395904541,0.5698910355567932,-0.5011371970176697,-1.1261197328567505,0.32920441031455994,-0.4097070097923279,-0.8885048627853394,0.18989039957523346,-0.2923840284347534,-0.7432541251182556,0.6139840483665466,-0.35222187638282776,-1.1169630289077759,0.5683827996253967,-0.3167175352573395,-1.0373371839523315,0.3773723244667053,-0.2500750422477722,-0.7903991937637329,0.2863491475582123,-0.13300122320652008,-0.835037887096405,0.6230987310409546,-0.1697828322649002,-1.1388086080551147,0.6305615305900574,-0.15769153833389282,-1.1787453889846802,0.5787278413772583,-0.1010625809431076,-1.0349434614181519,0.5606715083122253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4847351014614105,-0.2532173991203308,-0.0345967635512352,-0.7427403330802917,-0.6281090378761292,0.07152815163135529,-0.8563339114189148,-1.091605305671692,0.1533574014902115,-0.8955859541893005,-1.4627172946929932,0.24209454655647278,-0.6458073258399963,-0.5987735986709595,0.5876823663711548,-0.7524638772010803,-1.0039129257202148,0.6649443507194519,-0.7111087441444397,-1.199582815170288,0.5959184169769287,-0.645081639289856,-1.2253590822219849,0.5478315949440002,-0.42897742986679077,-0.6509950757026672,0.6262457370758057,-0.5247688889503479,-1.106221318244934,0.6346142888069153,-0.4865608811378479,-1.1398833990097046,0.4180169403553009,-0.4134424924850464,-0.9660505652427673,0.28709158301353455,-0.2631131410598755,-0.7223200798034668,0.6292498707771301,-0.3487474024295807,-1.100484848022461,0.6132672429084778,-0.3264484703540802,-1.0807167291641235,0.43169745802879333,-0.2689000964164734,-0.9053592085838318,0.33661434054374695,-0.1098051443696022,-0.8050208687782288,0.6284669637680054,-0.14790230989456177,-1.1236778497695923,0.6354019641876221,-0.13668952882289886,-1.1848970651626587,0.5693143010139465,-0.08925154060125351,-1.0879931449890137,0.5353790521621704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4538021981716156,-0.22895027697086334,-0.04688802734017372,-0.701140820980072,-0.652831494808197,0.021210502833127975,-0.7842813730239868,-1.1695159673690796,0.06666168570518494,-0.8203743696212769,-1.5189653635025024,0.12643937766551971,-0.6406283378601074,-0.6377453207969666,0.5032863020896912,-0.7075340151786804,-1.0915549993515015,0.49850913882255554,-0.5893669724464417,-1.1127468347549438,0.3855521082878113,-0.49518105387687683,-0.9528835415840149,0.3305235803127289,-0.4172714352607727,-0.7343482375144958,0.535366415977478,-0.45314496755599976,-1.2231621742248535,0.4680306613445282,-0.34692707657814026,-1.0883315801620483,0.23842020332813263,-0.28301286697387695,-0.799765944480896,0.11982505768537521,-0.2497919499874115,-0.8336289525032043,0.5335766673088074,-0.2556605339050293,-1.222531795501709,0.46950820088386536,-0.2024100422859192,-1.0206608772277832,0.3125210702419281,-0.15119773149490356,-0.7190980911254883,0.25430259108543396,-0.08832783997058868,-0.9239905476570129,0.5291997790336609,-0.08993551880121231,-1.2334212064743042,0.5640303492546082,-0.09921127557754517,-1.3700674772262573,0.5475248098373413,-0.09197086095809937,-1.3804291486740112,0.553321123123169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4396047294139862,-0.22054508328437805,-0.013991792686283588,-0.6863640546798706,-0.6086376309394836,0.051088847219944,-0.7638588547706604,-1.096997857093811,0.08912582695484161,-0.7790677547454834,-1.449050784111023,0.14051063358783722,-0.618591845035553,-0.677449107170105,0.46275657415390015,-0.6595517992973328,-1.1223909854888916,0.4504373073577881,-0.5339539647102356,-1.134418249130249,0.3491247594356537,-0.4286818504333496,-0.9548385143280029,0.30318817496299744,-0.412841796875,-0.7768101096153259,0.47552889585494995,-0.429931640625,-1.2378718852996826,0.4137863516807556,-0.32169461250305176,-1.1063178777694702,0.22639372944831848,-0.25237855315208435,-0.8111990690231323,0.1363433450460434,-0.25340622663497925,-0.8533250689506531,0.45865127444267273,-0.25170308351516724,-1.199305534362793,0.40580621361732483,-0.1925298273563385,-1.0197805166244507,0.2977014482021332,-0.1338767558336258,-0.7459426522254944,0.26882821321487427,-0.08646024763584137,-0.9019900560379028,0.44050243496894836,-0.08649492263793945,-1.2241452932357788,0.483705073595047,-0.09592389315366745,-1.3632752895355225,0.4952334463596344,-0.0968136191368103,-1.3803260326385498,0.5196613073348999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.4287816286087036,-0.24259616434574127,-0.10515079647302628,-0.6651974320411682,-0.6716808676719666,-0.04049520939588547,-0.7187519073486328,-1.148507833480835,0.020002424716949463,-0.7587850689888,-1.4776490926742554,0.10050476342439651,-0.6493986248970032,-0.7092834711074829,0.41969019174575806,-0.6959652900695801,-1.259023666381836,0.40704622864723206,-0.5455837249755859,-1.35538649559021,0.29235050082206726,-0.41407859325408936,-1.247780442237854,0.2353087216615677,-0.42680078744888306,-0.7588498592376709,0.49192264676094055,-0.4098649024963379,-1.2866463661193848,0.4095122516155243,-0.27563410997390747,-1.1149530410766602,0.17106227576732635,-0.20695306360721588,-0.8189964294433594,0.047132428735494614,-0.2616560757160187,-0.8230811357498169,0.5312070846557617,-0.23290576040744781,-1.2244577407836914,0.4485516846179962,-0.16044579446315765,-0.9971386194229126,0.2754804790019989,-0.10074351727962494,-0.6933730840682983,0.21011757850646973,-0.10295212268829346,-0.8896975517272949,0.566049337387085,-0.11468739062547684,-1.2305701971054077,0.5850659012794495,-0.0970945730805397,-1.3362447023391724,0.5559715628623962,-0.0652773454785347,-1.3318721055984497,0.5541030168533325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.3835006356239319,-0.18505239486694336,-0.20179280638694763,-0.625469982624054,-0.6585442423820496,-0.19200636446475983,-0.6987155079841614,-1.1989120244979858,-0.1653348207473755,-0.7425507307052612,-1.5596250295639038,-0.11023076623678207,-0.6935471892356873,-0.7043466567993164,0.2529429793357849,-0.7079054117202759,-1.2890076637268066,0.1700233668088913,-0.5409222841262817,-1.3042067289352417,0.0490373820066452,-0.40642431378364563,-1.147033452987671,-0.0002567332412581891,-0.47816136479377747,-0.8027496933937073,0.3563069701194763,-0.446942538022995,-1.3301746845245361,0.20016461610794067,-0.2884644567966461,-1.095707893371582,-0.0019932298455387354,-0.2066102772951126,-0.7769736051559448,-0.08040954172611237,-0.302304744720459,-0.8960385322570801,0.4163331985473633,-0.2644704580307007,-1.281562089920044,0.2536877989768982,-0.1724970042705536,-0.9934791326522827,0.10999330878257751,-0.1183992475271225,-0.6638991832733154,0.08591073751449585,-0.14565686881542206,-0.9731029868125916,0.46548205614089966,-0.14160360395908356,-1.2887840270996094,0.40362608432769775,-0.10321386158466339,-1.3368810415267944,0.3624471127986908,-0.07024593651294708,-1.2891287803649902,0.3720281720161438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.3794408440589905,-0.2041061967611313,-0.1855555921792984,-0.6155391931533813,-0.6687180995941162,-0.16586749255657196,-0.6770591735839844,-1.1846845149993896,-0.1308417171239853,-0.7129678130149841,-1.5266748666763306,-0.06798100471496582,-0.6753685474395752,-0.7056697010993958,0.25659215450286865,-0.6833446621894836,-1.3006339073181152,0.1820630580186844,-0.51466965675354,-1.326070785522461,0.06860977411270142,-0.38300278782844543,-1.1899224519729614,0.022154856473207474,-0.4716862738132477,-0.8064998388290405,0.35646894574165344,-0.4227839410305023,-1.33330237865448,0.20937669277191162,-0.2653386890888214,-1.0962556600570679,0.01491268165409565,-0.19299675524234772,-0.7866289615631104,-0.06099193915724754,-0.3038734197616577,-0.8987088799476624,0.41503074765205383,-0.2550632059574127,-1.2876445055007935,0.25997301936149597,-0.16284365952014923,-0.99654620885849,0.11945254355669022,-0.11752580106258392,-0.675225019454956,0.09515536576509476,-0.1578410267829895,-0.9741787314414978,0.4639154374599457,-0.1443321853876114,-1.2950481176376343,0.3999194800853729,-0.09835527092218399,-1.3088222742080688,0.3563535213470459,-0.061544761061668396,-1.2269532680511475,0.3648636043071747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,-0.3148622512817383,-0.22213603556156158,-0.1693873554468155,-0.5207897424697876,-0.678915798664093,-0.18461257219314575,-0.5493602752685547,-1.1581989526748657,-0.18815551698207855,-0.5412272214889526,-1.4571605920791626,-0.17103013396263123,-0.5475443601608276,-0.8430157899856567,0.12134239822626114,-0.5818242430686951,-1.3034929037094116,0.03099181316792965,-0.4338896870613098,-1.285916805267334,-0.06564272195100784,-0.3128030002117157,-1.1507983207702637,-0.10776282846927643,-0.38680028915405273,-0.901940643787384,0.19206416606903076,-0.37180668115615845,-1.245829701423645,0.05399138852953911,-0.22641907632350922,-1.0399960279464722,-0.08971169590950012,-0.13749045133590698,-0.7766085267066956,-0.14625504612922668,-0.24722488224506378,-0.9553742408752441,0.22722883522510529,-0.24018464982509613,-1.2651396989822388,0.07141503691673279,-0.14555814862251282,-1.0627022981643677,-0.05214724317193031,-0.06934415549039841,-0.7800589799880981,-0.08041279017925262,-0.12646861374378204,-1.006127953529358,0.25311022996902466,-0.14052389562129974,-1.252976894378662,0.14202003180980682,-0.07113353163003922,-1.2161787748336792,0.07386224716901779,0.006818112917244434,-1.082042932510376,0.06291648745536804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
