label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
M,0.0,0.0,0.0,0.1471443921327591,0.001867246930487454,-0.15272945165634155,0.21598681807518005,-0.19891753792762756,-0.24252727627754211,0.1465705782175064,-0.42264309525489807,-0.3245934247970581,0.1091838851571083,-0.5903000831604004,-0.3829619288444519,0.1777937263250351,-0.9236755967140198,-0.1154848039150238,0.09421989321708679,-0.9183197617530823,-0.2575911283493042,0.06768584251403809,-0.5210405588150024,-0.31885579228401184,0.0935785323381424,-0.4667653739452362,-0.35429647564888,0.01308340672403574,-0.9938759207725525,-0.10972445458173752,-0.07806193828582764,-0.9925534129142761,-0.273682564496994,-0.08961145579814911,-0.5088772177696228,-0.2767900228500366,-0.04247276112437248,-0.47378405928611755,-0.24969208240509033,-0.1410444676876068,-0.9927099347114563,-0.1329210102558136,-0.2202155590057373,-1.019026279449463,-0.31671157479286194,-0.19894999265670776,-0.5289688110351562,-0.25184258818626404,-0.13375790417194366,-0.4806608557701111,-0.17127639055252075,-0.2807609736919403,-0.952803909778595,-0.16887255012989044,-0.3458074629306793,-0.9563084840774536,-0.2799580991268158,-0.3342588245868683,-0.5896244049072266,-0.23082736134529114,-0.2829623222351074,-0.5403957366943359,-0.1721286028623581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.20747719705104828,-0.0778135359287262,-0.07809556275606155,-0.39255180954933167,-0.41441845893859863,-0.10994753241539001,-0.4312918186187744,-0.7384834289550781,-0.1343020349740982,-0.357089102268219,-0.9550538659095764,-0.1296779215335846,-0.38154691457748413,-0.9479541182518005,-0.03732897713780403,-0.4605993628501892,-1.1473801136016846,-0.1790487915277481,-0.43028920888900757,-0.8102020025253296,-0.242641881108284,-0.3808785676956177,-0.6700482964515686,-0.26330047845840454,-0.2315545380115509,-0.9720129370689392,-0.039666593074798584,-0.2852567434310913,-1.1684143543243408,-0.16631558537483215,-0.26318925619125366,-0.7433695197105408,-0.16005732119083405,-0.20996296405792236,-0.6833710670471191,-0.12365169078111649,-0.05462711676955223,-0.9396876096725464,-0.06667686998844147,-0.08513669669628143,-1.1341911554336548,-0.1987776756286621,-0.10044814646244049,-0.707398533821106,-0.12295681238174438,-0.06353821605443954,-0.6276804208755493,-0.038002122193574905,0.13428398966789246,-0.8702253103256226,-0.10197377949953079,0.1108638197183609,-1.0048331022262573,-0.18796811997890472,0.06900537759065628,-0.6948251724243164,-0.13397571444511414,0.07815714180469513,-0.6136607527732849,-0.06818268448114395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.26967012882232666,-0.272773414850235,-0.00336086330935359,-0.44482579827308655,-0.6361205577850342,-0.005436605773866177,-0.45342302322387695,-0.9353428483009338,-0.025533953681588173,-0.37902921438217163,-1.1575173139572144,-0.0421229749917984,-0.3934064209461212,-0.9141312837600708,0.055706653743982315,-0.48057448863983154,-1.147613525390625,-0.02543521299958229,-0.5055209994316101,-1.0456812381744385,-0.0775318369269371,-0.49798136949539185,-0.9718804359436035,-0.10019539296627045,-0.2698301374912262,-0.9626159071922302,0.0237107016146183,-0.35485339164733887,-1.2480287551879883,-0.05563422664999962,-0.3552182614803314,-1.0177257061004639,-0.07065067440271378,-0.3251955211162567,-0.9494920969009399,-0.05332551151514053,-0.12259993702173233,-0.9798915982246399,-0.022419815883040428,-0.19770997762680054,-1.2325646877288818,-0.09518225491046906,-0.19967252016067505,-0.9673178195953369,-0.046434253454208374,-0.17401356995105743,-0.8831377029418945,0.012178103439509869,0.03511175513267517,-0.9505316019058228,-0.07263712584972382,-0.03813512623310089,-1.1954379081726074,-0.10431239008903503,-0.05998880788683891,-0.9915916323661804,-0.04656112939119339,-0.046082671731710434,-0.8958283066749573,0.01282705832272768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.2746123671531677,-0.19876930117607117,-0.026947230100631714,-0.4224711060523987,-0.5514299869537354,-0.0434938482940197,-0.3394927978515625,-0.8262282609939575,-0.07651840150356293,-0.21293796598911285,-0.997062623500824,-0.10020635277032852,-0.3939448595046997,-0.9094833135604858,0.040926408022642136,-0.47365355491638184,-1.0958776473999023,-0.06762290000915527,-0.46027418971061707,-0.8309260606765747,-0.13037125766277313,-0.42178505659103394,-0.6488975286483765,-0.15305407345294952,-0.2574005126953125,-0.9662761092185974,0.007444397546350956,-0.3331224024295807,-1.2119885683059692,-0.10559706389904022,-0.32366394996643066,-0.8380973935127258,-0.12706612050533295,-0.28354665637016296,-0.6767714619636536,-0.10232842713594437,-0.10517964512109756,-0.9666258692741394,-0.04551948979496956,-0.16316528618335724,-1.1851446628570557,-0.14215724170207977,-0.1625577211380005,-0.7982531785964966,-0.09777117520570755,-0.13045574724674225,-0.6515378355979919,-0.03129388764500618,0.05706518888473511,-0.9126158356666565,-0.10472652316093445,-0.005400292109698057,-1.0897411108016968,-0.14592134952545166,-0.03182593733072281,-0.8168049454689026,-0.09194091707468033,-0.016983825713396072,-0.693622887134552,-0.03089841641485691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.28750932216644287,-0.14594143629074097,-0.038386374711990356,-0.46043404936790466,-0.5004193782806396,-0.0567455030977726,-0.4093773663043976,-0.8294326663017273,-0.09379449486732483,-0.28996551036834717,-1.0034948587417603,-0.11978475749492645,-0.4178975522518158,-0.8976017832756042,0.04925626516342163,-0.5027769804000854,-1.1616193056106567,-0.07122424989938736,-0.4841529428958893,-0.8680583834648132,-0.1395016461610794,-0.438499391078949,-0.655714750289917,-0.1633976846933365,-0.2662106156349182,-0.9637771844863892,0.016297318041324615,-0.3430021107196808,-1.2565432786941528,-0.11303677409887314,-0.32968658208847046,-0.8504736423492432,-0.14232736825942993,-0.29248136281967163,-0.6774185299873352,-0.1191648617386818,-0.10319148004055023,-0.974488377571106,-0.03945900499820709,-0.16262947022914886,-1.228803277015686,-0.15400899946689606,-0.15810447931289673,-0.8087796568870544,-0.11420939117670059,-0.12880803644657135,-0.646345317363739,-0.046119410544633865,0.06635917723178864,-0.9387103319168091,-0.10217351466417313,0.0034440169110894203,-1.1128302812576294,-0.14666418731212616,-0.01801006868481636,-0.8309464454650879,-0.09301479905843735,0.00043143582297489047,-0.7277414798736572,-0.03215910494327545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.29005077481269836,-0.10270479321479797,-0.06262046098709106,-0.47612330317497253,-0.48400288820266724,-0.09867201745510101,-0.39926081895828247,-0.8552824258804321,-0.14735789597034454,-0.2519603967666626,-1.077263355255127,-0.18339939415454865,-0.4253627359867096,-0.8985833525657654,-0.012107494287192822,-0.5252037644386292,-1.1920032501220703,-0.16126194596290588,-0.5047728419303894,-0.8776004910469055,-0.24088412523269653,-0.45128950476646423,-0.6396533250808716,-0.2688482105731964,-0.26080670952796936,-0.9644975662231445,-0.04152529314160347,-0.3504047095775604,-1.2812590599060059,-0.19345931708812714,-0.3311135470867157,-0.8320764303207397,-0.21899855136871338,-0.2857719361782074,-0.6367892622947693,-0.19085565209388733,-0.09062235802412033,-0.9663837552070618,-0.09501691907644272,-0.15574611723423004,-1.2610805034637451,-0.23324306309223175,-0.15146413445472717,-0.7986019849777222,-0.18448753654956818,-0.12198410928249359,-0.606939435005188,-0.10663438588380814,0.08550533652305603,-0.9233923554420471,-0.1570032387971878,0.026248594745993614,-1.1297285556793213,-0.22284510731697083,-0.002252620179206133,-0.8268462419509888,-0.1683836430311203,0.005810953211039305,-0.6917083263397217,-0.10348404943943024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.290719211101532,-0.0894542708992958,-0.06208968535065651,-0.48327764868736267,-0.46588557958602905,-0.09262097626924515,-0.4061678647994995,-0.8437038064002991,-0.13613435626029968,-0.24853545427322388,-1.0494608879089355,-0.16699932515621185,-0.43969523906707764,-0.8883243203163147,0.00423344224691391,-0.5341445207595825,-1.187355637550354,-0.14607493579387665,-0.5056856274604797,-0.8740735650062561,-0.2329060435295105,-0.44814684987068176,-0.6215541362762451,-0.2663915157318115,-0.2689005434513092,-0.9628040790557861,-0.02647426538169384,-0.350079208612442,-1.288682460784912,-0.1836901605129242,-0.3283403217792511,-0.8413580656051636,-0.22019052505493164,-0.2839922308921814,-0.6259452104568481,-0.1977505385875702,-0.09388197213411331,-0.969346821308136,-0.08213339000940323,-0.14784158766269684,-1.2596774101257324,-0.22484999895095825,-0.1478172093629837,-0.7937869429588318,-0.18496741354465485,-0.12612563371658325,-0.5908595323562622,-0.11116936802864075,0.0889228954911232,-0.9278655648231506,-0.14630161225795746,0.03444366902112961,-1.1182986497879028,-0.21444331109523773,0.0047693680971860886,-0.8076372146606445,-0.16303002834320068,0.007125008385628462,-0.6722527146339417,-0.09993741661310196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.3002792298793793,-0.09850893914699554,-0.06118205934762955,-0.49640220403671265,-0.4579477608203888,-0.09435448795557022,-0.4408600926399231,-0.809579610824585,-0.14053161442279816,-0.28985077142715454,-0.9918379783630371,-0.17326201498508453,-0.436935156583786,-0.9089847207069397,-0.0007045055390335619,-0.5311062932014465,-1.218196153640747,-0.157212033867836,-0.49443596601486206,-0.8993718028068542,-0.246359720826149,-0.4363328218460083,-0.6629818677902222,-0.2811429798603058,-0.2632236182689667,-0.9641433358192444,-0.033779069781303406,-0.3496103882789612,-1.300762414932251,-0.19725266098976135,-0.3246484696865082,-0.8606473803520203,-0.2354583442211151,-0.28454187512397766,-0.66493159532547,-0.21440966427326202,-0.08345505595207214,-0.9700860381126404,-0.09150703251361847,-0.14565572142601013,-1.2784024477005005,-0.23929455876350403,-0.13956086337566376,-0.8139523267745972,-0.19695395231246948,-0.11724913865327835,-0.6226479411125183,-0.12135986983776093,0.10233774781227112,-0.9300140738487244,-0.15773531794548035,0.04205287992954254,-1.1438283920288086,-0.23026876151561737,0.01823350600898266,-0.8236595988273621,-0.1779646873474121,0.02919418178498745,-0.6862061619758606,-0.11404038965702057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.2921246886253357,-0.09653786569833755,-0.05913310870528221,-0.4841025471687317,-0.4645655155181885,-0.08881372958421707,-0.4274161458015442,-0.8146311640739441,-0.13077057898044586,-0.2790161967277527,-0.9969303011894226,-0.15863335132598877,-0.43365952372550964,-0.9053713083267212,0.0014798024203628302,-0.5266008377075195,-1.2005590200424194,-0.15441547334194183,-0.4939191937446594,-0.8784581422805786,-0.24179816246032715,-0.4378349781036377,-0.6374303102493286,-0.2742415964603424,-0.2610749900341034,-0.9648318290710449,-0.030648963525891304,-0.33779996633529663,-1.2847639322280884,-0.19455945491790771,-0.3151678740978241,-0.8429157137870789,-0.23138949275016785,-0.27920272946357727,-0.6474435329437256,-0.2079356461763382,-0.0828922763466835,-0.9693455696105957,-0.08727876842021942,-0.13782696425914764,-1.2435874938964844,-0.23446987569332123,-0.1321667581796646,-0.7858681082725525,-0.1930839568376541,-0.11297595500946045,-0.6080668568611145,-0.11780478805303574,0.10082677751779556,-0.9272581934928894,-0.15201100707054138,0.04570693522691727,-1.1176503896713257,-0.22384300827980042,0.023401200771331787,-0.7994831800460815,-0.17243684828281403,0.030041882768273354,-0.6717897653579712,-0.10870400071144104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,-0.2933579385280609,-0.10149984061717987,-0.07624273002147675,-0.4812808334827423,-0.4618154764175415,-0.11692788451910019,-0.4273579716682434,-0.8314341902732849,-0.1650255024433136,-0.30511561036109924,-1.0624096393585205,-0.19815167784690857,-0.4259265959262848,-0.8999413251876831,-0.026462024077773094,-0.5166320204734802,-1.210822343826294,-0.19132114946842194,-0.47725462913513184,-0.8905370235443115,-0.28369757533073425,-0.4200744330883026,-0.6404969692230225,-0.31804051995277405,-0.250304639339447,-0.9669508934020996,-0.04851290583610535,-0.32507818937301636,-1.2993624210357666,-0.21535521745681763,-0.2946603000164032,-0.8569909930229187,-0.2511388063430786,-0.25409379601478577,-0.6580144166946411,-0.22878873348236084,-0.07207391411066055,-0.9728042483329773,-0.09562281519174576,-0.12292148917913437,-1.268730640411377,-0.25226038694381714,-0.11798301339149475,-0.8028602600097656,-0.20839115977287292,-0.09954734146595001,-0.6045107245445251,-0.13003426790237427,0.1121072918176651,-0.9306992888450623,-0.1510438174009323,0.05941513925790787,-1.147509217262268,-0.23512518405914307,0.035761427134275436,-0.8261735439300537,-0.18458205461502075,0.03894946351647377,-0.6790416836738586,-0.11886642873287201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
