label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
N,0.0,0.0,0.0,-0.2868160605430603,0.05887438729405403,-0.15186807513237,-0.584497332572937,-0.401178240776062,-0.2446608543395996,-0.6955721974372864,-0.9168696999549866,-0.30757975578308105,-0.7507074475288391,-1.325013518333435,-0.3741723597049713,-0.5314292907714844,-0.7435547113418579,-0.3409371078014374,-0.6583314538002014,-1.2993718385696411,-0.4940847158432007,-0.75640469789505,-1.6827478408813477,-0.5854836106300354,-0.8133317828178406,-1.995197057723999,-0.6399211883544922,-0.3071916103363037,-0.8969067335128784,-0.31810638308525085,-0.4386049807071686,-1.5027949810028076,-0.44131067395210266,-0.5409796833992004,-1.8921594619750977,-0.4688601493835449,-0.6018115878105164,-2.2094168663024902,-0.47820764780044556,-0.06014271825551987,-0.9847298264503479,-0.29789504408836365,-0.20256270468235016,-1.5949220657348633,-0.4034471809864044,-0.3341398537158966,-1.848589301109314,-0.36053764820098877,-0.41379314661026,-1.9912399053573608,-0.31347426772117615,0.18152496218681335,-1.010129690170288,-0.2882806062698364,0.06474509835243225,-1.5691355466842651,-0.3860263526439667,-0.06540804356336594,-1.8372067213058472,-0.3650813400745392,-0.16784067451953888,-1.994775652885437,-0.3277324140071869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.02148699201643467,-0.5426617860794067,-0.21230274438858032,-0.28346967697143555,-1.121034860610962,-0.38873469829559326,-0.5935637354850769,-1.5682977437973022,-0.5099061131477356,-0.8332879543304443,-1.9558135271072388,-0.6440702676773071,-0.3787859380245209,-0.886947512626648,-0.6666998267173767,-0.5167388319969177,-1.7565205097198486,-0.9265652298927307,-0.6121761798858643,-2.3478143215179443,-1.0554845333099365,-0.687778651714325,-2.8649792671203613,-1.1244854927062988,-0.4592617154121399,-0.6237384080886841,-0.6324784755706787,-0.5889112949371338,-1.457684874534607,-0.8894181251525879,-0.7191373705863953,-2.1640889644622803,-0.9829712510108948,-0.8300167322158813,-2.7876687049865723,-1.0418611764907837,-0.5156332850456238,-0.4525032341480255,-0.5857086181640625,-0.7073237895965576,-1.1659634113311768,-0.8161914944648743,-0.8441961407661438,-1.892786979675293,-0.8823583126068115,-0.9504099488258362,-2.4970617294311523,-0.9096956849098206,-0.5736547708511353,-0.31751078367233276,-0.5394864678382874,-0.8758290410041809,-0.8528251647949219,-0.7386229038238525,-1.0220940113067627,-1.3688418865203857,-0.811782717704773,-1.1126891374588013,-1.8344752788543701,-0.8472902178764343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.24340179562568665,-0.010371520183980465,-0.07892352342605591,-0.4168717563152313,-0.36829665303230286,-0.1375814974308014,-0.36348432302474976,-0.7759429216384888,-0.19862310588359833,-0.284875750541687,-1.1003206968307495,-0.24994945526123047,-0.49399715662002563,-0.7779880166053772,-0.071241594851017,-0.6143878102302551,-0.9026827216148376,-0.2273407131433487,-0.5363153219223022,-0.6394562721252441,-0.3334812819957733,-0.4487777352333069,-0.40419188141822815,-0.3822711706161499,-0.34556853771209717,-0.9328517317771912,-0.10183396190404892,-0.4953213036060333,-1.100414514541626,-0.27285274863243103,-0.45082876086235046,-0.7655231952667236,-0.3380539119243622,-0.3776876628398895,-0.46675175428390503,-0.33696964383125305,-0.17646008729934692,-0.9870597720146179,-0.150056853890419,-0.2605060040950775,-0.9726805090904236,-0.30092722177505493,-0.2087407112121582,-0.5451731085777283,-0.2900811731815338,-0.16942641139030457,-0.2604767978191376,-0.23845751583576202,-0.012866511940956116,-0.9601028561592102,-0.20584088563919067,-0.09114173799753189,-0.850775957107544,-0.28878968954086304,-0.07192482799291611,-0.5096439719200134,-0.2512291669845581,-0.05902490392327309,-0.3246159851551056,-0.19845756888389587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.2728433310985565,-0.0700111836194992,-0.08167329430580139,-0.4362066388130188,-0.44715577363967896,-0.13730508089065552,-0.37402504682540894,-0.8512860536575317,-0.19761894643306732,-0.29656365513801575,-1.1825995445251465,-0.24459168314933777,-0.49660995602607727,-0.7986270189285278,-0.0344129279255867,-0.6168203949928284,-0.9720542430877686,-0.19865240156650543,-0.5422341227531433,-0.7106984853744507,-0.3126421272754669,-0.4548858106136322,-0.437624990940094,-0.3613721430301666,-0.3402610421180725,-0.9384281635284424,-0.059792086482048035,-0.4911539554595947,-1.172608733177185,-0.22863109409809113,-0.45631811022758484,-0.8623352646827698,-0.30064657330513,-0.3954918384552002,-0.5502355098724365,-0.3044074475765228,-0.16252444684505463,-0.985954225063324,-0.10675951093435287,-0.23605352640151978,-1.0263830423355103,-0.2596370577812195,-0.2016875296831131,-0.5809164047241211,-0.2471550852060318,-0.1815544217824936,-0.26278290152549744,-0.19159115850925446,0.008637060411274433,-0.9551794528961182,-0.16290567815303802,-0.07262600213289261,-0.9040462970733643,-0.24465486407279968,-0.06769745796918869,-0.5746350288391113,-0.20538192987442017,-0.0654139593243599,-0.3668128252029419,-0.15019860863685608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.2635382115840912,-0.10682205855846405,-0.08236923813819885,-0.4301150143146515,-0.47894707322120667,-0.14583121240139008,-0.38672691583633423,-0.8823993802070618,-0.21538643538951874,-0.2983112931251526,-1.2332677841186523,-0.2695617973804474,-0.4894333481788635,-0.8032739758491516,-0.04665117710828781,-0.6014996767044067,-1.0142104625701904,-0.2243189513683319,-0.5167079567909241,-0.7693978548049927,-0.34481239318847656,-0.4299341142177582,-0.5004338622093201,-0.3939511477947235,-0.33472293615341187,-0.9393737316131592,-0.0744151696562767,-0.47143974900245667,-1.198825716972351,-0.26371970772743225,-0.4298183023929596,-0.905164897441864,-0.34483885765075684,-0.36903849244117737,-0.581168532371521,-0.3490597605705261,-0.1611047238111496,-0.9987800121307373,-0.1228126585483551,-0.22518093883991241,-1.0481737852096558,-0.28841671347618103,-0.18308599293231964,-0.6166694760322571,-0.2808291018009186,-0.1612878292798996,-0.28382381796836853,-0.2229330837726593,0.010663177818059921,-0.9881379008293152,-0.18001389503479004,-0.06018091365695,-0.9532331824302673,-0.26502639055252075,-0.05035453662276268,-0.6188182830810547,-0.22588329017162323,-0.04802672937512398,-0.38341984152793884,-0.16719387471675873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.2717956602573395,-0.09581182897090912,-0.08566945046186447,-0.448612242937088,-0.477370947599411,-0.1481669694185257,-0.4067893326282501,-0.8908978700637817,-0.21601852774620056,-0.311181902885437,-1.2466741800308228,-0.2681938409805298,-0.5089025497436523,-0.7892447710037231,-0.05128200352191925,-0.6275052428245544,-1.0165135860443115,-0.23117825388908386,-0.5390337705612183,-0.7741639018058777,-0.35205307602882385,-0.448494553565979,-0.4996247887611389,-0.40090587735176086,-0.3513009250164032,-0.9329639077186584,-0.07852310687303543,-0.4919721782207489,-1.2183290719985962,-0.27190709114074707,-0.4471321702003479,-0.922960102558136,-0.3536265790462494,-0.3823413848876953,-0.5885609984397888,-0.3563688397407532,-0.17331042885780334,-0.9986310005187988,-0.12644611299037933,-0.23873166739940643,-1.0745221376419067,-0.29708513617515564,-0.19192840158939362,-0.6314587593078613,-0.28887027502059937,-0.16767418384552002,-0.2878877818584442,-0.22834788262844086,0.004074832424521446,-0.9945272207260132,-0.18332549929618835,-0.06526996195316315,-0.9712117314338684,-0.27395176887512207,-0.052409227937459946,-0.6289529204368591,-0.23519381880760193,-0.0473497100174427,-0.38592401146888733,-0.17505262792110443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.28914380073547363,-0.09511584788560867,-0.07542932033538818,-0.45640993118286133,-0.4672953486442566,-0.13575300574302673,-0.40029409527778625,-0.8808351159095764,-0.20379486680030823,-0.29243940114974976,-1.2079287767410278,-0.25766775012016296,-0.5179926156997681,-0.7958992123603821,-0.05075261369347572,-0.6207261085510254,-0.9853338599205017,-0.2245485633611679,-0.5332183241844177,-0.7233399152755737,-0.34197404980659485,-0.44428831338882446,-0.46176981925964355,-0.3918391764163971,-0.3608757555484772,-0.928896427154541,-0.0831870436668396,-0.48886430263519287,-1.20013427734375,-0.2733192443847656,-0.44682490825653076,-0.9102957248687744,-0.35538312792778015,-0.3839147090911865,-0.599014163017273,-0.36179861426353455,-0.18654154241085052,-0.9931440353393555,-0.13361220061779022,-0.22972454130649567,-1.0732988119125366,-0.29559090733528137,-0.18766537308692932,-0.6442965865135193,-0.2880355417728424,-0.1654300093650818,-0.315207839012146,-0.23194630444049835,-0.01493739988654852,-0.9895959496498108,-0.19300895929336548,-0.06339064985513687,-0.9504204988479614,-0.2739814519882202,-0.05524396523833275,-0.6129748225212097,-0.2368205338716507,-0.05243997275829315,-0.3765036463737488,-0.18121880292892456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.28339138627052307,-0.08645350486040115,-0.0857568234205246,-0.4566066861152649,-0.4730086922645569,-0.14750143885612488,-0.3951839208602905,-0.8902902603149414,-0.21247223019599915,-0.29648786783218384,-1.2323201894760132,-0.26314035058021545,-0.5258632898330688,-0.7880218029022217,-0.06439029425382614,-0.6326757073402405,-1.002046823501587,-0.2319336235523224,-0.534728467464447,-0.7544863820075989,-0.3438461422920227,-0.44380679726600647,-0.4919273555278778,-0.39070025086402893,-0.3654169738292694,-0.9265328645706177,-0.08948308974504471,-0.4974510073661804,-1.191116213798523,-0.2651849687099457,-0.43542230129241943,-0.8853403925895691,-0.3352319598197937,-0.36710646748542786,-0.5665709972381592,-0.3363000452518463,-0.187284916639328,-0.9925543665885925,-0.13422781229019165,-0.24336382746696472,-1.0999174118041992,-0.28857526183128357,-0.1919042319059372,-0.6651362776756287,-0.2777741849422455,-0.16830892860889435,-0.3259487748146057,-0.22265754640102386,-0.011157948523759842,-0.9873472452163696,-0.18843066692352295,-0.0659567192196846,-0.9624413251876831,-0.27251023054122925,-0.048121917992830276,-0.6265096664428711,-0.23757697641849518,-0.042817890644073486,-0.39037373661994934,-0.18407003581523895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.28026527166366577,-0.07923202216625214,-0.08290481567382812,-0.4563160836696625,-0.472141295671463,-0.1396654099225998,-0.4066177010536194,-0.8929416537284851,-0.19988898932933807,-0.3167763650417328,-1.2313674688339233,-0.24597884714603424,-0.5301814079284668,-0.7842526435852051,-0.06266827136278152,-0.6430080533027649,-0.9915457963943481,-0.22390709817409515,-0.5453527569770813,-0.7492215037345886,-0.32793715596199036,-0.45524290204048157,-0.4894636869430542,-0.37017008662223816,-0.3707103729248047,-0.9246182441711426,-0.08749256283044815,-0.5015175938606262,-1.1811025142669678,-0.2631355822086334,-0.4301195740699768,-0.8770637512207031,-0.32791298627853394,-0.35795140266418457,-0.5652996301651001,-0.32433247566223145,-0.193771094083786,-0.9892735481262207,-0.13162566721439362,-0.24340137839317322,-1.090283751487732,-0.2859734296798706,-0.1880212277173996,-0.6643553376197815,-0.2722085118293762,-0.16674891114234924,-0.3285425007343292,-0.21435074508190155,-0.020393170416355133,-0.9807812571525574,-0.18477290868759155,-0.06600470840930939,-0.9749251008033752,-0.26709696650505066,-0.0479702390730381,-0.645889401435852,-0.23035015165805817,-0.04876219853758812,-0.40660107135772705,-0.17539554834365845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,-0.27855437994003296,-0.057128794491291046,-0.08614290505647659,-0.4600413143634796,-0.45372843742370605,-0.1403646320104599,-0.3986753225326538,-0.8701818585395813,-0.19661232829093933,-0.2991633415222168,-1.1961690187454224,-0.23953185975551605,-0.5321793556213379,-0.7682729959487915,-0.06442257016897202,-0.6350811719894409,-0.9632054567337036,-0.22729773819446564,-0.5340726971626282,-0.7164536118507385,-0.33428525924682617,-0.44309210777282715,-0.45800113677978516,-0.37832045555114746,-0.3747866451740265,-0.9229421019554138,-0.08782339096069336,-0.5049497485160828,-1.1684497594833374,-0.26122429966926575,-0.43551507592201233,-0.8603470921516418,-0.3267342746257782,-0.3659002184867859,-0.5456580519676208,-0.323539674282074,-0.1991286426782608,-0.9964274168014526,-0.13122166693210602,-0.2454758584499359,-1.0744634866714478,-0.2846810221672058,-0.1870286613702774,-0.6378210783004761,-0.2733488380908966,-0.16567233204841614,-0.30038735270500183,-0.2176048457622528,-0.026379795745015144,-0.992327094078064,-0.18417862057685852,-0.06687142699956894,-0.9540055990219116,-0.268194317817688,-0.04279143735766411,-0.6168821454048157,-0.2342103272676468,-0.040681689977645874,-0.38338181376457214,-0.1812135875225067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
