label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
O,0.0,0.0,0.0,-0.09041910618543625,-0.11326234042644501,-0.2189260870218277,-0.12581448256969452,-0.3303404450416565,-0.3397330641746521,-0.028536705300211906,-0.5687636733055115,-0.4325294494628906,0.08668739348649979,-0.7763789892196655,-0.506856381893158,-0.2648008465766907,-0.9208750128746033,-0.1646360456943512,-0.18606798350811005,-1.1910043954849243,-0.31362709403038025,-0.0918390303850174,-1.0906682014465332,-0.43320930004119873,-0.014904689975082874,-0.9115071892738342,-0.5007826685905457,-0.10424971580505371,-0.9886281490325928,-0.1083807423710823,-0.021496830508112907,-1.281425952911377,-0.26316580176353455,0.07404255121946335,-1.1115986108779907,-0.3771049976348877,0.12358659505844116,-0.8967618346214294,-0.43275249004364014,0.03620452433824539,-0.9756898880004883,-0.07658667862415314,0.12299441546201706,-1.2096081972122192,-0.21040430665016174,0.19394119083881378,-1.0585265159606934,-0.2806508243083954,0.21214523911476135,-0.8466928601264954,-0.30235540866851807,0.1539166271686554,-0.8889937996864319,-0.06343188136816025,0.2350500077009201,-1.0980353355407715,-0.16724856197834015,0.27461981773376465,-1.0018540620803833,-0.21615898609161377,0.26646652817726135,-0.8387339115142822,-0.2328025996685028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.09212256222963333,-0.10765440762042999,-0.22335422039031982,-0.1304282397031784,-0.31370362639427185,-0.34739950299263,-0.03198562189936638,-0.5445601940155029,-0.4414832592010498,0.08436775207519531,-0.7543866038322449,-0.5168712735176086,-0.26392778754234314,-0.9148741364479065,-0.17538832128047943,-0.18365733325481415,-1.1470247507095337,-0.3233638405799866,-0.08961653709411621,-1.0496277809143066,-0.44179704785346985,-0.014986957423388958,-0.8772323727607727,-0.5090382695198059,-0.10717661678791046,-0.987417995929718,-0.11627007275819778,-0.019938793033361435,-1.2394565343856812,-0.2687837779521942,0.07682803273200989,-1.0785456895828247,-0.38129985332489014,0.12499921023845673,-0.8679031133651733,-0.43786516785621643,0.03154522180557251,-0.9749251008033752,-0.08115480840206146,0.12226059287786484,-1.1803467273712158,-0.21693217754364014,0.19388116896152496,-1.0305496454238892,-0.2880913019180298,0.21087510883808136,-0.8194931745529175,-0.311064213514328,0.14653529226779938,-0.8890736699104309,-0.06470412760972977,0.2314678132534027,-1.0735445022583008,-0.1742151528596878,0.2738805413246155,-0.971488893032074,-0.22580935060977936,0.26642778515815735,-0.8073874711990356,-0.24357111752033234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.08654412627220154,-0.10554821044206619,-0.2544110417366028,-0.11839626729488373,-0.30870309472084045,-0.3938327133655548,-0.017435222864151,-0.5405396819114685,-0.49965354800224304,0.10617510229349136,-0.753882110118866,-0.5874157547950745,-0.27135157585144043,-0.9132111072540283,-0.19772517681121826,-0.17978313565254211,-1.1705392599105835,-0.363246887922287,-0.08047246932983398,-1.0773003101348877,-0.49727582931518555,0.003113272599875927,-0.9014071226119995,-0.5738566517829895,-0.11344368755817413,-0.9853499531745911,-0.1273418664932251,-0.020434366539120674,-1.2709083557128906,-0.30243119597435,0.08480223268270493,-1.1094145774841309,-0.4338551461696625,0.14441214501857758,-0.8935534358024597,-0.499329149723053,0.02697598934173584,-0.9798797965049744,-0.08424776792526245,0.1264873892068863,-1.1967997550964355,-0.24171115458011627,0.20721197128295898,-1.044084072113037,-0.3312460482120514,0.2346980720758438,-0.8286415934562683,-0.36161544919013977,0.14101436734199524,-0.9070566296577454,-0.06151609122753143,0.2349497675895691,-1.0915862321853638,-0.1857256442308426,0.28426647186279297,-0.9774772524833679,-0.2503434419631958,0.2852695882320404,-0.8006244897842407,-0.27568796277046204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.08319049328565598,-0.10676806420087814,-0.2320309281349182,-0.10358107835054398,-0.3126024901866913,-0.35611703991889954,0.004644134547561407,-0.5469918251037598,-0.4486215114593506,0.12537574768066406,-0.7378286719322205,-0.5223843455314636,-0.2518286406993866,-0.9148939847946167,-0.17049255967140198,-0.16044871509075165,-1.170218586921692,-0.32070374488830566,-0.060977425426244736,-1.0815476179122925,-0.44306474924087524,0.02091548591852188,-0.9133896827697754,-0.5122746229171753,-0.09450763463973999,-0.9900012612342834,-0.10471822321414948,-0.000662356847897172,-1.2479925155639648,-0.263777494430542,0.10076244175434113,-1.089539647102356,-0.3813340663909912,0.15446259081363678,-0.8831168413162231,-0.4376877546310425,0.04396675154566765,-0.9877048134803772,-0.06451043486595154,0.14442795515060425,-1.167456865310669,-0.2059662938117981,0.21889628469944,-1.0128861665725708,-0.2811749279499054,0.24049703776836395,-0.8089190721511841,-0.30299633741378784,0.1586412936449051,-0.9158775806427002,-0.04372109845280647,0.2509462237358093,-1.0735727548599243,-0.1545124650001526,0.2928151786327362,-0.953138530254364,-0.20837821066379547,0.28887781500816345,-0.7854967713356018,-0.22585344314575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.07589024305343628,-0.10146131366491318,-0.23497651517391205,-0.09361182153224945,-0.30525633692741394,-0.3606208562850952,0.013467365875840187,-0.5341760516166687,-0.4537975490093231,0.1292532980442047,-0.7353343963623047,-0.528144896030426,-0.24323171377182007,-0.9212784171104431,-0.17906945943832397,-0.1473122090101242,-1.1744656562805176,-0.32484862208366394,-0.04675295203924179,-1.0756922960281372,-0.4431142508983612,0.03484918922185898,-0.9084267020225525,-0.5104150176048279,-0.09092484414577484,-0.9896133542060852,-0.11134723573923111,0.002742459299042821,-1.2516335248947144,-0.26570120453834534,0.11177746206521988,-1.0929524898529053,-0.38329604268074036,0.17227035760879517,-0.8899908065795898,-0.4418843984603882,0.04486330971121788,-0.9820585250854492,-0.06808274984359741,0.1455991119146347,-1.178823709487915,-0.20723548531532288,0.2299330234527588,-1.0310828685760498,-0.28674066066741943,0.2581993341445923,-0.8248818516731262,-0.313204288482666,0.15629355609416962,-0.9068080186843872,-0.04388369619846344,0.249238982796669,-1.0770461559295654,-0.1571459323167801,0.3009248375892639,-0.9649589657783508,-0.21579936146736145,0.3038087487220764,-0.7948991060256958,-0.2370229810476303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.04784858226776123,-0.07709288597106934,-0.3102057874202728,-0.0450587198138237,-0.2525329291820526,-0.47532135248184204,0.07945898175239563,-0.44172152876853943,-0.5930655002593994,0.21248984336853027,-0.6536843776702881,-0.6892176866531372,-0.21810029447078705,-0.8921329975128174,-0.2879297733306885,-0.0922950953245163,-1.0934170484542847,-0.48798123002052307,0.014183017425239086,-0.9782161116600037,-0.6353890895843506,0.10139671713113785,-0.801539957523346,-0.716953456401825,-0.06340799480676651,-0.9789314270019531,-0.1940944939851761,0.07348538190126419,-1.1801172494888306,-0.4097534418106079,0.16699117422103882,-0.9932330250740051,-0.547850489616394,0.21005862951278687,-0.788390040397644,-0.6111292243003845,0.07810613512992859,-0.9886468052864075,-0.13055779039859772,0.22291235625743866,-1.075302243232727,-0.3196552097797394,0.27741965651512146,-0.8805925846099854,-0.40801697969436646,0.2785605192184448,-0.6971298456192017,-0.43172621726989746,0.190291166305542,-0.9362863898277283,-0.09220926463603973,0.33074700832366943,-0.9815552830696106,-0.2322828471660614,0.3580667972564697,-0.8332828879356384,-0.3012993037700653,0.3368246257305145,-0.6911537647247314,-0.3272917568683624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.039739757776260376,-0.05347459763288498,-0.27576857805252075,-0.023344045504927635,-0.20599320530891418,-0.42505237460136414,0.10892166942358017,-0.3906525671482086,-0.5272162556648254,0.2413315325975418,-0.5879682302474976,-0.6059557795524597,-0.19439028203487396,-0.8668263554573059,-0.2805270254611969,-0.06561224162578583,-1.0055229663848877,-0.4622390568256378,0.04259759932756424,-0.8793022632598877,-0.5851672291755676,0.1273120939731598,-0.7110705971717834,-0.6510258316993713,-0.045923445373773575,-0.9794356822967529,-0.19646084308624268,0.12643109261989594,-1.0632802248001099,-0.3883555829524994,0.20963336527347565,-0.8414525985717773,-0.4897420108318329,0.2320525348186493,-0.6539513468742371,-0.5297993421554565,0.09189771860837936,-0.9847949147224426,-0.13777877390384674,0.2595573663711548,-0.9752223491668701,-0.2995852828025818,0.3039495348930359,-0.7627869248390198,-0.34390053153038025,0.2892463207244873,-0.602159321308136,-0.3424510359764099,0.19843192398548126,-0.9089927077293396,-0.10294139385223389,0.35304513573646545,-0.8756259679794312,-0.22231443226337433,0.37165695428848267,-0.7162622809410095,-0.2616066038608551,0.3380736708641052,-0.6023997664451599,-0.26539772748947144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.01671760529279709,0.032229118049144745,-0.3753449022769928,0.027508480474352837,-0.09954414516687393,-0.5841819643974304,0.1840737760066986,-0.26328161358833313,-0.7243742942810059,0.3248009979724884,-0.4918595552444458,-0.8361293077468872,-0.185379296541214,-0.8156788945198059,-0.4672098755836487,-0.029479218646883965,-0.8660241961479187,-0.734211266040802,0.08693066984415054,-0.6922476887702942,-0.88728928565979,0.1755385398864746,-0.5326985120773315,-0.9627942442893982,-0.03108215145766735,-0.9359733462333679,-0.35069623589515686,0.1978657841682434,-0.9428293704986572,-0.6436657905578613,0.2714667320251465,-0.6029600501060486,-0.7545326352119446,0.2776217758655548,-0.4076482653617859,-0.7842217087745667,0.12495269626379013,-0.9501517415046692,-0.2654770314693451,0.34279435873031616,-0.8538988828659058,-0.5069719552993774,0.3667522966861725,-0.5667170882225037,-0.5454519391059875,0.33197253942489624,-0.4269861578941345,-0.5265029072761536,0.24356582760810852,-0.89225172996521,-0.2100013643503189,0.43396085500717163,-0.7675119638442993,-0.3802800178527832,0.43682733178138733,-0.5577232241630554,-0.4298137128353119,0.39348435401916504,-0.46987876296043396,-0.4340372681617737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.03365088626742363,0.025745674967765808,-0.32537078857421875,-0.006400684360414743,-0.09123445302248001,-0.5105465650558472,0.14870168268680573,-0.26623275876045227,-0.6365346908569336,0.297154039144516,-0.47854870557785034,-0.7332981824874878,-0.20017941296100616,-0.8129739165306091,-0.38770198822021484,-0.056426141411066055,-0.9138129949569702,-0.6071353554725647,0.0753060057759285,-0.7450467348098755,-0.7314380407333374,0.1705150306224823,-0.5670917630195618,-0.7925232648849487,-0.037416428327560425,-0.9558210968971252,-0.29155778884887695,0.176770880818367,-0.9928722977638245,-0.53022301197052,0.2432105988264084,-0.6669373512268066,-0.6151221394538879,0.23594257235527039,-0.4751264750957489,-0.6323412656784058,0.1182207390666008,-0.9724964499473572,-0.22273001074790955,0.32217657566070557,-0.8982685804367065,-0.4206458628177643,0.34966620802879333,-0.6161782145500183,-0.43530717492103577,0.3107999265193939,-0.4777336120605469,-0.4061867892742157,0.2364364117383957,-0.9020801782608032,-0.1811104714870453,0.4167144000530243,-0.7952868342399597,-0.32132670283317566,0.42131033539772034,-0.5796175003051758,-0.34334009885787964,0.3720305860042572,-0.48575642704963684,-0.32905012369155884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,-0.01911582052707672,0.010779307223856449,-0.32751232385635376,0.0340137705206871,-0.10728277266025543,-0.510062038898468,0.2012929767370224,-0.2825649678707123,-0.6302784085273743,0.34956783056259155,-0.49813541769981384,-0.7210014462471008,-0.19110623002052307,-0.8177756071090698,-0.38603439927101135,-0.008695823140442371,-0.9174242615699768,-0.5815021395683289,0.12339869141578674,-0.7441303133964539,-0.6922863721847534,0.20674684643745422,-0.5761363506317139,-0.7499515414237976,-0.034046415239572525,-0.9591928124427795,-0.2806953191757202,0.19161371886730194,-1.00705087184906,-0.49412286281585693,0.27883267402648926,-0.6913586258888245,-0.5743919014930725,0.2879239022731781,-0.4944901168346405,-0.5973032116889954,0.12015673518180847,-0.9768260717391968,-0.20039696991443634,0.3355599045753479,-0.9303838014602661,-0.3785231411457062,0.37543773651123047,-0.6570953130722046,-0.39400893449783325,0.34308499097824097,-0.5078926086425781,-0.3727589547634125,0.23930877447128296,-0.9072288274765015,-0.14647364616394043,0.4205753207206726,-0.8332608342170715,-0.27529600262641907,0.43535470962524414,-0.6353654861450195,-0.29973137378692627,0.3949495851993561,-0.5437273383140564,-0.2921382486820221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
