label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
P,0.0,0.0,0.0,-0.15540951490402222,-0.40827661752700806,-0.0349779836833477,-0.426119327545166,-0.6457301378250122,-0.11705619841814041,-0.6740023493766785,-0.6228325366973877,-0.19730079174041748,-0.8561434149742126,-0.48775073885917664,-0.2917848229408264,-0.45504099130630493,-1.0751957893371582,-0.19903141260147095,-0.765876829624176,-1.0463039875030518,-0.33828282356262207,-0.9550314545631409,-0.9115533828735352,-0.43416324257850647,-1.0803128480911255,-0.8030222058296204,-0.4990140497684479,-0.4262910783290863,-0.8706076741218567,-0.2455976903438568,-0.7847208976745605,-0.5672764778137207,-0.37452566623687744,-0.7617525458335876,-0.37619948387145996,-0.4063311815261841,-0.6887897849082947,-0.3390204608440399,-0.4274766147136688,-0.3909953832626343,-0.5575048327445984,-0.2901739776134491,-0.7356203198432922,-0.19408059120178223,-0.4004085659980774,-0.6529433131217957,-0.06049886718392372,-0.3543480336666107,-0.5363124012947083,-0.07406201213598251,-0.3182513415813446,-0.3519838750362396,-0.21373321115970612,-0.33529871702194214,-0.6340648531913757,0.07850375771522522,-0.43438276648521423,-0.5583065152168274,0.14603109657764435,-0.4009853005409241,-0.44994214177131653,0.10134855657815933,-0.36316555738449097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.2059362530708313,-0.28765302896499634,-0.03586140275001526,-0.4724239408969879,-0.4408370852470398,-0.10501556843519211,-0.6949368715286255,-0.3247627317905426,-0.18042775988578796,-0.8212728500366211,-0.17999529838562012,-0.2636431157588959,-0.47134846448898315,-0.986356258392334,-0.12517529726028442,-0.7407975792884827,-1.0015565156936646,-0.24211722612380981,-0.9282455444335938,-1.0567114353179932,-0.340341717004776,-1.0783520936965942,-1.1180423498153687,-0.4144633114337921,-0.4310961067676544,-0.8853296637535095,-0.174205482006073,-0.7674285769462585,-0.7359985709190369,-0.27836886048316956,-0.9302462935447693,-0.6997398734092712,-0.3375035226345062,-1.0514494180679321,-0.7639292478561401,-0.3843708336353302,-0.384747177362442,-0.6756466031074524,-0.22485285997390747,-0.7068818807601929,-0.2711690068244934,-0.31896281242370605,-0.6173012852668762,-0.11478890478610992,-0.2973061800003052,-0.5000831484794617,-0.13814982771873474,-0.27537721395492554,-0.3387059271335602,-0.3932831585407257,-0.28132352232933044,-0.5838693976402283,-0.038251470774412155,-0.3671906590461731,-0.5033555626869202,0.0750017836689949,-0.3468594253063202,-0.39994099736213684,0.04306160286068916,-0.32073184847831726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.3354964256286621,-0.04681967943906784,0.07462882995605469,-0.5429630875587463,-0.2329496443271637,0.09560427814722061,-0.6932550072669983,-0.3398652970790863,0.08666180819272995,-0.7972522974014282,-0.4496569335460663,0.0839056447148323,-0.5412323474884033,-0.7928871512413025,0.14875030517578125,-0.7657855749130249,-0.45719075202941895,0.10209465771913528,-0.6798964142799377,-0.308614581823349,0.05806432291865349,-0.5823460817337036,-0.32369741797447205,0.03137046471238136,-0.5081630349159241,-0.857679545879364,0.07846111804246902,-0.7582215666770935,-0.3859277367591858,0.04728972166776657,-0.6464502811431885,-0.2399650663137436,0.03000875748693943,-0.5416240692138672,-0.28707587718963623,0.022849321365356445,-0.4659186005592346,-0.8180091381072998,0.0005536589305847883,-0.7020494937896729,-0.31604328751564026,-0.02740965038537979,-0.5706356763839722,-0.1639556586742401,-0.0009611605782993138,-0.46548697352409363,-0.21918985247612,0.016521431505680084,-0.4150272011756897,-0.6900812387466431,-0.07891256362199783,-0.603904128074646,-0.2648318111896515,-0.10876964032649994,-0.49689531326293945,-0.11497532576322556,-0.09131263196468353,-0.400122731924057,-0.14561966061592102,-0.06965512037277222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.29295435547828674,-0.05356234684586525,0.07847467064857483,-0.4958927035331726,-0.3137902617454529,0.07771576941013336,-0.6295125484466553,-0.5183468461036682,0.04038704186677933,-0.7580510377883911,-0.7286543250083923,-0.007230253424495459,-0.4849477708339691,-0.8607348203659058,0.10297030210494995,-0.6876295804977417,-0.7147142291069031,0.06234186142683029,-0.8309034705162048,-0.6831414699554443,0.007782340049743652,-0.9683157801628113,-0.6849547028541565,-0.04433104023337364,-0.42401108145713806,-0.9056193828582764,0.008259828202426434,-0.7251595258712769,-0.532588005065918,-0.04105207324028015,-0.8918449878692627,-0.3212931454181671,-0.09318371117115021,-1.0276790857315063,-0.20151717960834503,-0.13554668426513672,-0.36119675636291504,-0.8043283820152283,-0.08627653121948242,-0.6080032587051392,-0.3082827925682068,-0.12664222717285156,-0.4705263674259186,-0.13321425020694733,-0.09965168684720993,-0.36254289746284485,-0.1651308685541153,-0.08287028968334198,-0.30259108543395996,-0.6432281136512756,-0.18121185898780823,-0.48351871967315674,-0.1902576982975006,-0.2212303876876831,-0.3725827932357788,-0.062093768268823624,-0.20003512501716614,-0.2748737335205078,-0.10128623992204666,-0.18080349266529083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.32562974095344543,0.015965009108185768,0.028778448700904846,-0.5313980579376221,-0.16811706125736237,0.00044901613728143275,-0.6717073917388916,-0.33309128880500793,-0.05041217803955078,-0.7954407334327698,-0.4710599184036255,-0.11340206116437912,-0.5762779116630554,-0.8088645935058594,-0.034247007220983505,-0.8508872389793396,-0.7714186310768127,-0.13010765612125397,-1.0317256450653076,-0.8031517267227173,-0.2166232317686081,-1.2057764530181885,-0.8402202725410461,-0.2863960266113281,-0.4824121296405792,-0.8683996200561523,-0.1147197037935257,-0.8245015144348145,-0.4523242115974426,-0.23374783992767334,-1.0083421468734741,-0.12163357436656952,-0.29247671365737915,-1.1594421863555908,0.0902876928448677,-0.32450711727142334,-0.38155418634414673,-0.7758326530456543,-0.1947880983352661,-0.6265947818756104,-0.21720649302005768,-0.29783910512924194,-0.48381832242012024,-0.015903901308774948,-0.2775134742259979,-0.3572314381599426,-0.036690011620521545,-0.25045260787010193,-0.2835010290145874,-0.5972647070884705,-0.2756444215774536,-0.4629594683647156,-0.10355345159769058,-0.3626120388507843,-0.3611651659011841,0.05064981058239937,-0.3402472734451294,-0.26015135645866394,0.016033321619033813,-0.30790430307388306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.28269943594932556,0.0009224346722476184,-0.027588490396738052,-0.48681265115737915,-0.203750878572464,-0.07216013222932816,-0.631378173828125,-0.37776273488998413,-0.12479178607463837,-0.7620705962181091,-0.5239204168319702,-0.18091759085655212,-0.5222893953323364,-0.8408741354942322,-0.09813810884952545,-0.8030386567115784,-0.8682420253753662,-0.2079564779996872,-0.9775911569595337,-0.9119000434875488,-0.2863086462020874,-1.1361263990402222,-0.9545137286186218,-0.3438679873943329,-0.41865378618240356,-0.8953601717948914,-0.15185196697711945,-0.7356505990028381,-0.5472883582115173,-0.3042978346347809,-0.8998427987098694,-0.24195657670497894,-0.36441805958747864,-1.0281600952148438,-0.032448723912239075,-0.3869633078575134,-0.31179237365722656,-0.799082338809967,-0.20828907191753387,-0.5561167001724243,-0.24495664238929749,-0.34240806102752686,-0.43179967999458313,-0.04722218215465546,-0.32143932580947876,-0.3103804588317871,-0.034953948110342026,-0.28107544779777527,-0.21882130205631256,-0.5958649516105652,-0.26970547437667847,-0.4165518581867218,-0.12509404122829437,-0.37701860070228577,-0.33345624804496765,0.03002210706472397,-0.36076268553733826,-0.2356502264738083,0.007587755564600229,-0.32458019256591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.3046548664569855,-0.0040386999025940895,-0.017877725884318352,-0.5075368285179138,-0.22086064517498016,-0.04762640967965126,-0.6472369432449341,-0.4106864631175995,-0.08887901902198792,-0.7719552516937256,-0.5546544790267944,-0.13394957780838013,-0.5550052523612976,-0.8408671617507935,-0.05420907959342003,-0.8279843926429749,-0.8671313524246216,-0.14324308931827545,-1.000111699104309,-0.9156451225280762,-0.21020185947418213,-1.1596012115478516,-0.9643711447715759,-0.2618214190006256,-0.459903359413147,-0.8815589547157288,-0.1065027266740799,-0.7673933506011963,-0.526626467704773,-0.23230712115764618,-0.9355854392051697,-0.24481694400310516,-0.28723135590553284,-1.0712143182754517,-0.059937335550785065,-0.3120381832122803,-0.36310750246047974,-0.7775757312774658,-0.16267964243888855,-0.6072906255722046,-0.2508094310760498,-0.2766335606575012,-0.4866485893726349,-0.08066677302122116,-0.2648010849952698,-0.37256598472595215,-0.08785281330347061,-0.23789145052433014,-0.27867591381073,-0.578294038772583,-0.22375939786434174,-0.47316622734069824,-0.11933612078428268,-0.3128740191459656,-0.38909628987312317,0.01842946745455265,-0.30074235796928406,-0.29241448640823364,-0.011536790058016777,-0.27314937114715576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.295737624168396,-0.039857011288404465,-0.02453881874680519,-0.49994730949401855,-0.2615417242050171,-0.0592656135559082,-0.6387097835540771,-0.4483001232147217,-0.10167741030454636,-0.7608073949813843,-0.5861859917640686,-0.1471865475177765,-0.546804666519165,-0.8677517175674438,-0.07922918349504471,-0.8106002807617188,-0.8875947594642639,-0.17510491609573364,-0.9789137840270996,-0.930212140083313,-0.24694594740867615,-1.1354832649230957,-0.9719538688659668,-0.30180349946022034,-0.44244471192359924,-0.8878597021102905,-0.12628498673439026,-0.7437999844551086,-0.5353546738624573,-0.2552817761898041,-0.9006258249282837,-0.25951287150382996,-0.31055182218551636,-1.0233266353607178,-0.06961996108293533,-0.33762848377227783,-0.34062787890434265,-0.7666227221488953,-0.17635372281074524,-0.579079806804657,-0.23982536792755127,-0.2905052900314331,-0.4695033133029938,-0.10400103032588959,-0.2787069082260132,-0.36292004585266113,-0.13211478292942047,-0.2533606290817261,-0.25299450755119324,-0.5562378764152527,-0.23131737112998962,-0.4436124861240387,-0.10564073175191879,-0.3212316334247589,-0.36718490719795227,0.010185216553509235,-0.310602068901062,-0.2776455581188202,-0.04355252534151077,-0.2849201560020447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.30500704050064087,-0.04220307245850563,-0.010314970277249813,-0.5157380700111389,-0.255478173494339,-0.040351077914237976,-0.6580126285552979,-0.44422078132629395,-0.08334525674581528,-0.7872992753982544,-0.589410662651062,-0.12817102670669556,-0.5557215809822083,-0.8600680232048035,-0.05195581540465355,-0.8155637383460999,-0.879646897315979,-0.14518968760967255,-0.9776132702827454,-0.9211359620094299,-0.21314959228038788,-1.1273871660232544,-0.9600349068641663,-0.26436832547187805,-0.4574463367462158,-0.8825120329856873,-0.10915767401456833,-0.748367428779602,-0.5410462617874146,-0.2368292361497879,-0.8927850723266602,-0.264823317527771,-0.2877674400806427,-1.0049594640731812,-0.0844331681728363,-0.309922456741333,-0.3594101071357727,-0.7668284773826599,-0.17067082226276398,-0.5967063307762146,-0.24206717312335968,-0.28290697932243347,-0.48241809010505676,-0.09903936833143234,-0.2659221291542053,-0.3745846152305603,-0.13344374299049377,-0.23720210790634155,-0.2740008234977722,-0.5625109672546387,-0.23698201775550842,-0.46323636174201965,-0.11016269773244858,-0.32171759009361267,-0.3819526731967926,0.005841489415615797,-0.3068099915981293,-0.2890889346599579,-0.0578375980257988,-0.27904632687568665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,-0.2991727292537689,-0.054396919906139374,-0.016539491713047028,-0.5032185316085815,-0.26870182156562805,-0.04963051900267601,-0.6379430294036865,-0.4458382725715637,-0.09496527910232544,-0.7470279932022095,-0.5797558426856995,-0.14228343963623047,-0.5539542436599731,-0.8627524375915527,-0.053847867995500565,-0.8117862343788147,-0.8718369007110596,-0.14579987525939941,-0.9709567427635193,-0.9120242595672607,-0.2120746523141861,-1.1189992427825928,-0.9554826617240906,-0.2621837854385376,-0.4581221342086792,-0.8823644518852234,-0.10750380903482437,-0.7542505860328674,-0.5433832406997681,-0.23311476409435272,-0.9030098915100098,-0.2714122235774994,-0.28496038913726807,-1.0195956230163574,-0.08897292613983154,-0.3080656826496124,-0.35922545194625854,-0.7674378156661987,-0.16547591984272003,-0.5957775712013245,-0.24329708516597748,-0.27868878841400146,-0.4803791046142578,-0.10451153665781021,-0.26322871446609497,-0.3731338083744049,-0.13279256224632263,-0.23409563302993774,-0.2717219293117523,-0.5643461346626282,-0.22858478128910065,-0.46080684661865234,-0.11813998967409134,-0.31287720799446106,-0.3792749345302582,-0.004419470205903053,-0.297608345746994,-0.2876751124858856,-0.06011592969298363,-0.26918676495552063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
