label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
R,0.0,0.0,0.0,-0.27283909916877747,-0.05103834718465805,-0.0734853744506836,-0.4795324504375458,-0.36475664377212524,-0.1159449964761734,-0.4448256194591522,-0.754792332649231,-0.16917851567268372,-0.28679123520851135,-0.9450374245643616,-0.220938041806221,-0.47855180501937866,-0.834870457649231,-0.049862515181303024,-0.5532366037368774,-1.2696278095245361,-0.14299488067626953,-0.5895146131515503,-1.5655083656311035,-0.2134973704814911,-0.6217480301856995,-1.8343807458877563,-0.26645851135253906,-0.34480488300323486,-0.9348898530006409,-0.08420553803443909,-0.5170984864234924,-1.3974593877792358,-0.19562247395515442,-0.6309801340103149,-1.643415927886963,-0.26754292845726013,-0.7225098609924316,-1.885585904121399,-0.3072686195373535,-0.1849248856306076,-0.9408873915672302,-0.12883825600147247,-0.25537919998168945,-1.2606875896453857,-0.27981817722320557,-0.2322135865688324,-0.8793182969093323,-0.2799168825149536,-0.20893467962741852,-0.5898219347000122,-0.23683075606822968,-0.00934726744890213,-0.871269166469574,-0.1806778609752655,-0.0950780063867569,-1.0431621074676514,-0.299613893032074,-0.10386107116937637,-0.7507472634315491,-0.28515294194221497,-0.09909870475530624,-0.5208898782730103,-0.24700550734996796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.2735115587711334,-0.042759113013744354,-0.07405474781990051,-0.4804951548576355,-0.37022432684898376,-0.1135530173778534,-0.44524043798446655,-0.7686194181442261,-0.16338525712490082,-0.2952898144721985,-0.9633467197418213,-0.21207213401794434,-0.47780099511146545,-0.834194540977478,-0.04727890342473984,-0.5564746856689453,-1.2636260986328125,-0.13705682754516602,-0.5946056842803955,-1.5559695959091187,-0.20649640262126923,-0.6283717751502991,-1.8223357200622559,-0.25958722829818726,-0.3453517258167267,-0.9351407885551453,-0.07901831716299057,-0.5098696947097778,-1.3794491291046143,-0.1870039850473404,-0.6237332820892334,-1.6257596015930176,-0.2597929835319519,-0.7146769165992737,-1.8628884553909302,-0.30224964022636414,-0.1875985562801361,-0.9428277015686035,-0.12158843874931335,-0.2556699812412262,-1.2450138330459595,-0.26845142245292664,-0.2438359558582306,-0.886987566947937,-0.2782755196094513,-0.22634553909301758,-0.605253279209137,-0.24559347331523895,-0.014152459800243378,-0.8816541433334351,-0.17144571244716644,-0.09367022663354874,-1.0387433767318726,-0.2927093505859375,-0.1094895675778389,-0.7528210878372192,-0.2889821231365204,-0.11003783345222473,-0.5212324261665344,-0.2603001892566681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.2606281340122223,-0.02414625510573387,-0.07363428175449371,-0.4763496518135071,-0.33252137899398804,-0.11227139830589294,-0.4581042230129242,-0.7342833876609802,-0.16105064749717712,-0.30204135179519653,-0.8999329805374146,-0.2086787074804306,-0.48993852734565735,-0.8222758769989014,-0.05048595368862152,-0.5579398274421692,-1.2413883209228516,-0.13786301016807556,-0.5904094576835632,-1.5251280069351196,-0.2075016051530838,-0.6188763976097107,-1.7790660858154297,-0.26267009973526,-0.35777270793914795,-0.9300089478492737,-0.08415481448173523,-0.5198951363563538,-1.3692562580108643,-0.188412144780159,-0.6252883076667786,-1.6244134902954102,-0.25888189673423767,-0.7140575647354126,-1.8677617311477661,-0.30139070749282837,-0.1986384391784668,-0.9313113689422607,-0.12833166122436523,-0.26326748728752136,-1.2440260648727417,-0.2730061113834381,-0.23817451298236847,-0.8945242762565613,-0.28192755579948425,-0.2144315093755722,-0.6081510782241821,-0.24966563284397125,-0.024174503982067108,-0.8519384860992432,-0.1800314038991928,-0.09798295795917511,-1.0094069242477417,-0.3035781681537628,-0.10837552696466446,-0.7360633611679077,-0.3038644790649414,-0.10862872749567032,-0.5029630661010742,-0.27806299924850464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.2624046206474304,-0.028431756421923637,-0.07332929968833923,-0.4721110165119171,-0.34707900881767273,-0.11131954193115234,-0.4421007037162781,-0.7279047966003418,-0.15938712656497955,-0.29205548763275146,-0.8999609351158142,-0.20644499361515045,-0.4717743396759033,-0.8259364366531372,-0.04484190791845322,-0.548523485660553,-1.2357512712478638,-0.12901048362255096,-0.5885210037231445,-1.5177408456802368,-0.194107785820961,-0.6236574053764343,-1.7744389772415161,-0.24478308856487274,-0.34661340713500977,-0.9348520636558533,-0.07688095420598984,-0.5130029320716858,-1.3560270071029663,-0.17783425748348236,-0.6245147585868835,-1.5942304134368896,-0.24544991552829742,-0.7131689786911011,-1.8183777332305908,-0.2845810055732727,-0.19285960495471954,-0.9455808401107788,-0.1198168694972992,-0.260026752948761,-1.232377052307129,-0.2643684446811676,-0.24318139255046844,-0.8731697201728821,-0.27760061621665955,-0.22442297637462616,-0.5826327204704285,-0.2477976679801941,-0.021626809611916542,-0.8780457377433777,-0.1697043776512146,-0.09585067629814148,-1.00310218334198,-0.29315444827079773,-0.111179880797863,-0.717106282711029,-0.29502856731414795,-0.11509452760219574,-0.4843560755252838,-0.2704392373561859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.2522404193878174,0.006059689912945032,-0.08940216898918152,-0.47409719228744507,-0.2970507740974426,-0.13583669066429138,-0.4416666626930237,-0.6936452388763428,-0.18778635561466217,-0.2802466154098511,-0.8620511889457703,-0.23753023147583008,-0.4877632260322571,-0.8208216428756714,-0.07850652188062668,-0.5679817199707031,-1.240970253944397,-0.17926745116710663,-0.6081495881080627,-1.5264201164245605,-0.2555389702320099,-0.6411766409873962,-1.7850534915924072,-0.31270167231559753,-0.35484349727630615,-0.9285207986831665,-0.10924824327230453,-0.5286267995834351,-1.3834706544876099,-0.22888872027397156,-0.6370660066604614,-1.6349848508834839,-0.30392128229141235,-0.7243840098381042,-1.8850492238998413,-0.34440913796424866,-0.19402433931827545,-0.929561972618103,-0.15073814988136292,-0.2621102035045624,-1.2212706804275513,-0.3123721182346344,-0.23220619559288025,-0.8579896092414856,-0.32016557455062866,-0.20504674315452576,-0.5868147015571594,-0.281192421913147,-0.017179640009999275,-0.8486664295196533,-0.20044660568237305,-0.08663966506719589,-1.0017277002334595,-0.336139440536499,-0.09198159724473953,-0.7053956389427185,-0.33226558566093445,-0.09302568435668945,-0.4764050245285034,-0.29924607276916504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.25072360038757324,-0.009977007284760475,-0.08982120454311371,-0.45637065172195435,-0.31659790873527527,-0.1352788507938385,-0.4204891324043274,-0.6908451914787292,-0.186923086643219,-0.28511640429496765,-0.8740707039833069,-0.2372739315032959,-0.476701021194458,-0.8269103169441223,-0.06197011470794678,-0.5486092567443848,-1.2186551094055176,-0.1558641791343689,-0.5890874266624451,-1.4982428550720215,-0.2302250862121582,-0.6242728233337402,-1.7569905519485474,-0.28809884190559387,-0.34647250175476074,-0.9334577322006226,-0.09280825406312943,-0.5184869766235352,-1.34481942653656,-0.20425556600093842,-0.6298342347145081,-1.5847643613815308,-0.27903828024864197,-0.7201139330863953,-1.8156028985977173,-0.32350289821624756,-0.18617992103099823,-0.9349848031997681,-0.1366892158985138,-0.24965323507785797,-1.2235990762710571,-0.2996874749660492,-0.2327233850955963,-0.8657126426696777,-0.3240911364555359,-0.21844801306724548,-0.5799331068992615,-0.3002752363681793,-0.013898179866373539,-0.8581361770629883,-0.1880819946527481,-0.07884326577186584,-0.971068263053894,-0.33407580852508545,-0.09003710746765137,-0.6732084155082703,-0.34785109758377075,-0.09434855729341507,-0.4396698474884033,-0.3297605812549591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.25072112679481506,-0.0023235948756337166,-0.09150739759206772,-0.46114909648895264,-0.3106614351272583,-0.13857939839363098,-0.42313098907470703,-0.6870726346969604,-0.19045446813106537,-0.2811734676361084,-0.866774320602417,-0.24117091298103333,-0.48353448510169983,-0.816322922706604,-0.07576298713684082,-0.556931734085083,-1.2153490781784058,-0.1713491678237915,-0.5969614386558533,-1.4965399503707886,-0.2459164708852768,-0.6327117681503296,-1.7576937675476074,-0.3047839105129242,-0.3506580889225006,-0.9305374026298523,-0.10554204136133194,-0.5232946872711182,-1.3429685831069946,-0.21871739625930786,-0.6365094780921936,-1.5821865797042847,-0.29474741220474243,-0.7302464842796326,-1.8163233995437622,-0.3407343029975891,-0.18957188725471497,-0.9356725811958313,-0.14685717225074768,-0.2519998848438263,-1.2110908031463623,-0.30540281534194946,-0.23986351490020752,-0.857038140296936,-0.32576510310173035,-0.2324015498161316,-0.5791482329368591,-0.3017580807209015,-0.017880447208881378,-0.8620714545249939,-0.1961292177438736,-0.08620376139879227,-0.9548556208610535,-0.3377465307712555,-0.09746818989515305,-0.6530060172080994,-0.3480379581451416,-0.10154396295547485,-0.4246150851249695,-0.32872864603996277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.241568461060524,0.00020912325999233872,-0.09158263355493546,-0.45297616720199585,-0.30058494210243225,-0.1377560794353485,-0.4244932532310486,-0.6808278560638428,-0.18836164474487305,-0.2820793390274048,-0.8564906716346741,-0.23845268785953522,-0.4780897796154022,-0.8159076571464539,-0.07203467190265656,-0.5516451597213745,-1.2034316062927246,-0.16400796175003052,-0.5931312441825867,-1.4829044342041016,-0.2352663278579712,-0.6311429738998413,-1.7408634424209595,-0.2910933196544647,-0.34767070412635803,-0.932154655456543,-0.10105784237384796,-0.5223047733306885,-1.3498181104660034,-0.2045525461435318,-0.6335507035255432,-1.5805609226226807,-0.26976293325424194,-0.7269974946975708,-1.8010718822479248,-0.30844730138778687,-0.1887073963880539,-0.941275954246521,-0.14290523529052734,-0.2569323480129242,-1.2321829795837402,-0.3000037968158722,-0.2416333109140396,-0.8825555443763733,-0.32284924387931824,-0.22776705026626587,-0.6004990339279175,-0.2997981011867523,-0.01663392223417759,-0.8675270676612854,-0.1921798586845398,-0.08464270085096359,-0.9684017300605774,-0.33203962445259094,-0.09505781531333923,-0.6666556000709534,-0.34436506032943726,-0.09369061887264252,-0.43149876594543457,-0.327251136302948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.24751414358615875,-0.01290307380259037,-0.08291605114936829,-0.46041375398635864,-0.3197256028652191,-0.12708081305027008,-0.43331190943717957,-0.6961883902549744,-0.17791593074798584,-0.28930386900901794,-0.8766586184501648,-0.2283201366662979,-0.48794233798980713,-0.821078360080719,-0.07127365469932556,-0.569269597530365,-1.2258318662643433,-0.16438350081443787,-0.6139190793037415,-1.5055372714996338,-0.23571331799030304,-0.6551005244255066,-1.766679048538208,-0.29219797253608704,-0.35251811146736145,-0.9299585819244385,-0.10444100201129913,-0.5266916155815125,-1.3488917350769043,-0.21507449448108673,-0.6421527862548828,-1.5793864727020264,-0.28892767429351807,-0.739157497882843,-1.8106672763824463,-0.3334430754184723,-0.189506396651268,-0.9367390871047974,-0.14772377908229828,-0.2547975480556488,-1.2186000347137451,-0.30064883828163147,-0.2429720163345337,-0.8581169247627258,-0.31413689255714417,-0.23659850656986237,-0.5860486626625061,-0.28629568219184875,-0.015146647579967976,-0.8659310936927795,-0.19844302535057068,-0.09170079231262207,-0.9658775925636292,-0.33048489689826965,-0.1005210131406784,-0.6588833332061768,-0.3320857286453247,-0.1006045863032341,-0.43468576669692993,-0.30792102217674255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,-0.2416723221540451,-0.004049126524478197,-0.0917736068367958,-0.4549127221107483,-0.30889013409614563,-0.14014467597007751,-0.42593756318092346,-0.7022859454154968,-0.19313697516918182,-0.28036993741989136,-0.8821463584899902,-0.2438698410987854,-0.4861101806163788,-0.8186655044555664,-0.07675493508577347,-0.5632206201553345,-1.2210556268692017,-0.17448723316192627,-0.6046858429908752,-1.5069717168807983,-0.24732758104801178,-0.6417145729064941,-1.7662321329116821,-0.3021720349788666,-0.35017794370651245,-0.9306003451347351,-0.1065756231546402,-0.5281081199645996,-1.3591489791870117,-0.21905186772346497,-0.642338752746582,-1.5942875146865845,-0.2877331078052521,-0.7387233972549438,-1.824546217918396,-0.32529181241989136,-0.1857355535030365,-0.9360238313674927,-0.14823071658611298,-0.2435631901025772,-1.2249808311462402,-0.306995689868927,-0.22069454193115234,-0.8505641222000122,-0.3166862428188324,-0.2074401080608368,-0.5660414695739746,-0.2811945974826813,-0.00875033438205719,-0.8593720197677612,-0.19785131514072418,-0.07309804856777191,-0.9809582233428955,-0.3300962448120117,-0.08200827986001968,-0.674523115158081,-0.3270396292209625,-0.08623567223548889,-0.44604888558387756,-0.2971871495246887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
