label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
S,0.0,0.0,0.0,-0.2510834038257599,-0.03348049148917198,-0.11190642416477203,-0.48357778787612915,-0.3031325936317444,-0.1574830561876297,-0.4393899142742157,-0.6639419794082642,-0.20129327476024628,-0.2548912763595581,-0.8039104342460632,-0.21984732151031494,-0.459700345993042,-0.8816167712211609,-0.016586478799581528,-0.4834488034248352,-1.0681219100952148,-0.14457088708877563,-0.41607898473739624,-0.7271468043327332,-0.20557856559753418,-0.39482617378234863,-0.6592634320259094,-0.23642615973949432,-0.2921591103076935,-0.9561344385147095,-0.021213820204138756,-0.31223833560943604,-1.146155595779419,-0.15524718165397644,-0.26443809270858765,-0.7385503053665161,-0.16590282320976257,-0.2577028274536133,-0.7319096922874451,-0.1403345912694931,-0.12660981714725494,-0.9504246115684509,-0.05707431957125664,-0.11492819339036942,-1.1612662076950073,-0.18532142043113708,-0.10192321240901947,-0.7828629612922668,-0.13884899020195007,-0.11071422696113586,-0.7543971538543701,-0.07448839396238327,0.04085953161120415,-0.8896294236183167,-0.1075049340724945,0.047929465770721436,-1.0411444902420044,-0.17058759927749634,0.03242204710841179,-0.763091504573822,-0.13013719022274017,0.01887577399611473,-0.6952455043792725,-0.08233354985713959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.25273045897483826,-0.026688197627663612,-0.11372838914394379,-0.4912383556365967,-0.2944512963294983,-0.16041605174541473,-0.45191386342048645,-0.6679556965827942,-0.20486392080783844,-0.2659608721733093,-0.8215237259864807,-0.2229333221912384,-0.4730839431285858,-0.8704405426979065,-0.020437734201550484,-0.49870777130126953,-1.0741764307022095,-0.15039542317390442,-0.42684924602508545,-0.7297443151473999,-0.2103034108877182,-0.40797990560531616,-0.6622622013092041,-0.2403227835893631,-0.30476808547973633,-0.9520999193191528,-0.024944454431533813,-0.324295312166214,-1.1591784954071045,-0.16249674558639526,-0.27004843950271606,-0.7453758120536804,-0.17181789875030518,-0.2677875757217407,-0.7373685240745544,-0.14435867965221405,-0.1382189244031906,-0.9545382857322693,-0.06084669008851051,-0.12444457411766052,-1.1820402145385742,-0.19320333003997803,-0.10648566484451294,-0.7972202301025391,-0.14456269145011902,-0.11993860453367233,-0.763240396976471,-0.07749342173337936,0.030867166817188263,-0.9010896682739258,-0.1113806664943695,0.04248901829123497,-1.0722187757492065,-0.17913958430290222,0.030915405601263046,-0.7920796871185303,-0.13882988691329956,0.014264005236327648,-0.7168135046958923,-0.08994898200035095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.2657293379306793,-0.04422076418995857,-0.10834313929080963,-0.49387797713279724,-0.3157098591327667,-0.15486915409564972,-0.4462997317314148,-0.6841413974761963,-0.20216618478298187,-0.26671281456947327,-0.8393333554267883,-0.22466787695884705,-0.47521811723709106,-0.8708280324935913,-0.003063674783334136,-0.5088011622428894,-1.060050368309021,-0.13734829425811768,-0.43914151191711426,-0.7288609147071838,-0.2048952579498291,-0.41021445393562317,-0.6557010412216187,-0.23785807192325592,-0.3070181906223297,-0.9516348838806152,-0.011438386514782906,-0.33613502979278564,-1.147673487663269,-0.15197081863880157,-0.2840287387371063,-0.7485053539276123,-0.1681986153125763,-0.2738480567932129,-0.7368100881576538,-0.1436542272567749,-0.14233458042144775,-0.951723039150238,-0.05235356464982033,-0.1425490528345108,-1.1587899923324585,-0.1850738376379013,-0.12518596649169922,-0.7896167635917664,-0.1430623084306717,-0.13158677518367767,-0.7588812708854675,-0.07915682345628738,0.023238224908709526,-0.8974154591560364,-0.10764311254024506,0.020606182515621185,-1.042520523071289,-0.17164330184459686,0.006230028811842203,-0.7732996940612793,-0.1325785368680954,-0.005792465526610613,-0.7052537202835083,-0.0843718871474266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.257572740316391,-0.0399482287466526,-0.10941321402788162,-0.4844837188720703,-0.3064364194869995,-0.1571144163608551,-0.44457361102104187,-0.671806275844574,-0.20527568459510803,-0.26951444149017334,-0.8236310482025146,-0.22833304107189178,-0.4699001908302307,-0.8664127588272095,-0.009761754423379898,-0.4915575385093689,-1.060800552368164,-0.14355449378490448,-0.42049700021743774,-0.725963294506073,-0.20877070724964142,-0.39783722162246704,-0.6480970978736877,-0.24074018001556396,-0.3061337471008301,-0.9518095850944519,-0.01845725253224373,-0.3259407579898834,-1.1555497646331787,-0.15648552775382996,-0.27202677726745605,-0.7510797381401062,-0.16861572861671448,-0.26899605989456177,-0.7351351976394653,-0.1426520198583603,-0.14306683838367462,-0.9567767381668091,-0.059373799711465836,-0.13035428524017334,-1.1743481159210205,-0.190140038728714,-0.11341995000839233,-0.801770031452179,-0.1445014327764511,-0.12887544929981232,-0.764180064201355,-0.07989378273487091,0.022325800731778145,-0.9037995934486389,-0.11506672203540802,0.03185058385133743,-1.0648484230041504,-0.17857329547405243,0.017874158918857574,-0.793821394443512,-0.13805115222930908,-0.0021592227276414633,-0.7153854966163635,-0.08986693620681763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.2512408196926117,-0.030338343232870102,-0.11270758509635925,-0.4825059175491333,-0.2985367476940155,-0.1576293557882309,-0.437496542930603,-0.6524986624717712,-0.20025192201137543,-0.25212469696998596,-0.7870786786079407,-0.2167481780052185,-0.4681766927242279,-0.8723389506340027,-0.011777299456298351,-0.486377477645874,-1.0416032075881958,-0.13799326121807098,-0.4175370931625366,-0.7028085589408875,-0.19928644597530365,-0.4034142792224884,-0.6506304144859314,-0.23189789056777954,-0.30550968647003174,-0.9520584344863892,-0.01576494425535202,-0.3200734555721283,-1.1266252994537354,-0.14738692343235016,-0.2686249315738678,-0.724928617477417,-0.15690761804580688,-0.2678810656070709,-0.7331838011741638,-0.1312164068222046,-0.14302368462085724,-0.9491138458251953,-0.05180102586746216,-0.1258082538843155,-1.1352245807647705,-0.17455889284610748,-0.11057148873806,-0.7693398594856262,-0.12878547608852386,-0.12434627115726471,-0.7561770677566528,-0.06678571552038193,0.0218865554779768,-0.8942840099334717,-0.10329499840736389,0.03287472948431969,-1.0208680629730225,-0.16134130954742432,0.021631969138979912,-0.7526965737342834,-0.12258408218622208,0.0066454242914915085,-0.6990395188331604,-0.07726507633924484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.2508125603199005,-0.032581109553575516,-0.12106450647115707,-0.49726080894470215,-0.30973151326179504,-0.17330852150917053,-0.4640456736087799,-0.6637693047523499,-0.22263562679290771,-0.2696017920970917,-0.7795872688293457,-0.2444431632757187,-0.4828145503997803,-0.8552405834197998,-0.030311625450849533,-0.5099547505378723,-1.074218511581421,-0.16615740954875946,-0.43830806016921997,-0.7158082723617554,-0.22489112615585327,-0.4181315302848816,-0.6503546237945557,-0.25402531027793884,-0.3125292956829071,-0.949254035949707,-0.03524589166045189,-0.3236531913280487,-1.1634653806686401,-0.17335286736488342,-0.27460360527038574,-0.7239609360694885,-0.17539691925048828,-0.2856404185295105,-0.7265574336051941,-0.14387750625610352,-0.141309916973114,-0.9550079703330994,-0.0741223692893982,-0.12284911423921585,-1.1826096773147583,-0.20692439377307892,-0.10950708389282227,-0.788131058216095,-0.1558162122964859,-0.1304231435060501,-0.7599748373031616,-0.08860249817371368,0.03338973969221115,-0.9044234156608582,-0.12869182229042053,0.04196808114647865,-1.0647612810134888,-0.19864849746227264,0.03441033512353897,-0.7936710715293884,-0.16087062656879425,0.016939779743552208,-0.7306413054466248,-0.11501811444759369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.2522245943546295,-0.015550275333225727,-0.11264114081859589,-0.49176299571990967,-0.27896371483802795,-0.159531369805336,-0.45740973949432373,-0.6414052248001099,-0.2043764293193817,-0.2762788236141205,-0.7847582697868347,-0.22316282987594604,-0.47415751218795776,-0.8598955273628235,-0.021635087206959724,-0.5017474293708801,-1.0498946905136108,-0.15026603639125824,-0.43160107731819153,-0.7014448642730713,-0.20814231038093567,-0.40831446647644043,-0.6399779915809631,-0.2374378889799118,-0.30952188372612,-0.9504881501197815,-0.027721378952264786,-0.3356124758720398,-1.1441162824630737,-0.1610562950372696,-0.2812967300415039,-0.722412109375,-0.16423611342906952,-0.2705528438091278,-0.726158082485199,-0.1333252340555191,-0.14178243279457092,-0.9583713412284851,-0.06564290076494217,-0.13499124348163605,-1.1646596193313599,-0.191556915640831,-0.11809961497783661,-0.7731642723083496,-0.13685669004917145,-0.1231570765376091,-0.751899242401123,-0.06831061840057373,0.030098754912614822,-0.9130585193634033,-0.11884278059005737,0.02444055676460266,-1.0377869606018066,-0.17738282680511475,0.01225331798195839,-0.7547552585601807,-0.1325162649154663,0.005199743900448084,-0.7033202052116394,-0.08324939757585526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.2512970566749573,-0.014900927431881428,-0.11194220185279846,-0.49934476613998413,-0.28100499510765076,-0.1599135547876358,-0.47741883993148804,-0.6329415440559387,-0.2060583531856537,-0.2903673052787781,-0.7695684432983398,-0.22557759284973145,-0.48532962799072266,-0.8492051362991333,-0.023825442418456078,-0.5092974305152893,-1.0710322856903076,-0.15450477600097656,-0.4291433095932007,-0.716048538684845,-0.20924033224582672,-0.41076570749282837,-0.6337260603904724,-0.23550748825073242,-0.31649771332740784,-0.9480007290840149,-0.033523499965667725,-0.32661935687065125,-1.1750941276550293,-0.16899226605892181,-0.26823413372039795,-0.727182149887085,-0.17072397470474243,-0.28621160984039307,-0.7016065120697021,-0.13780806958675385,-0.1447257101535797,-0.9599977731704712,-0.0754869282245636,-0.12146368622779846,-1.1893202066421509,-0.20642077922821045,-0.09778076410293579,-0.7874811291694641,-0.1555326282978058,-0.1279071867465973,-0.7486405968666077,-0.08869820833206177,0.030875492841005325,-0.9063608646392822,-0.13188740611076355,0.047384489327669144,-1.0547268390655518,-0.2018451988697052,0.04763425514101982,-0.7707458138465881,-0.1629035472869873,0.02309495583176613,-0.6991603374481201,-0.11620974540710449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.24764007329940796,-0.0033166175708174706,-0.11042924970388412,-0.48988425731658936,-0.2666691243648529,-0.15683670341968536,-0.4638286828994751,-0.6338124871253967,-0.20096170902252197,-0.28438064455986023,-0.7769351005554199,-0.2204313576221466,-0.4777238965034485,-0.8511610627174377,-0.027689773589372635,-0.5075177550315857,-1.0521968603134155,-0.15152274072170258,-0.4315943121910095,-0.7148910164833069,-0.207611083984375,-0.39980348944664,-0.6369711756706238,-0.23667888343334198,-0.3102959096431732,-0.9499632120132446,-0.03586683049798012,-0.33587586879730225,-1.1642011404037476,-0.16633260250091553,-0.27809062600135803,-0.7399632930755615,-0.16959644854068756,-0.2664858400821686,-0.7112398147583008,-0.13869525492191315,-0.1399512141942978,-0.9579491019248962,-0.07422507554292679,-0.13142327964305878,-1.1751017570495605,-0.19887328147888184,-0.10990320146083832,-0.783129870891571,-0.14505602419376373,-0.11428987234830856,-0.7420349717140198,-0.07707936316728592,0.034484416246414185,-0.9049729108810425,-0.12707862257957458,0.03222173824906349,-1.0487053394317627,-0.1876964271068573,0.023320689797401428,-0.7678496241569519,-0.1425531655550003,0.015354270115494728,-0.7003507614135742,-0.09284811466932297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,-0.25126132369041443,-0.016521422192454338,-0.10184488445520401,-0.49422064423561096,-0.28189337253570557,-0.1469365358352661,-0.4697079658508301,-0.6504343748092651,-0.1913793683052063,-0.2894010543823242,-0.8016162514686584,-0.2120984047651291,-0.4792078137397766,-0.8546956777572632,-0.03209251910448074,-0.5185350775718689,-1.1031841039657593,-0.15569020807743073,-0.4476930797100067,-0.7686201333999634,-0.2129034698009491,-0.41025394201278687,-0.6617003083229065,-0.24116568267345428,-0.30551621317863464,-0.9512220621109009,-0.04285416379570961,-0.33329519629478455,-1.2081788778305054,-0.1668820083141327,-0.2828074097633362,-0.7877107858657837,-0.17000505328178406,-0.2733229994773865,-0.7292191982269287,-0.14161433279514313,-0.130679190158844,-0.9599885940551758,-0.08181419968605042,-0.12569266557693481,-1.229889988899231,-0.20197144150733948,-0.10712985694408417,-0.8381624221801758,-0.1490107774734497,-0.11127272248268127,-0.7583770155906677,-0.08304286748170853,0.04714510589838028,-0.9022844433784485,-0.13401281833648682,0.04618677496910095,-1.1009962558746338,-0.19618889689445496,0.03398824855685234,-0.8198952674865723,-0.1513763815164566,0.02439897134900093,-0.7144961953163147,-0.10184039175510406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
