label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
T,0.0,0.0,0.0,-0.27454674243927,-0.23741334676742554,-0.07367055863142014,-0.39351311326026917,-0.701092541217804,-0.11228189617395401,-0.3265479803085327,-1.114040493965149,-0.16055400669574738,-0.23788374662399292,-1.421555757522583,-0.19504112005233765,-0.328175812959671,-1.0066994428634644,-0.006302286870777607,-0.38719847798347473,-1.3106850385665894,-0.1745484471321106,-0.3341762125492096,-1.0573201179504395,-0.2863733172416687,-0.2733706533908844,-0.7874265909194946,-0.33201098442077637,-0.15506528317928314,-0.9874589443206787,-0.029657315462827682,-0.15500998497009277,-1.214882731437683,-0.21924585103988647,-0.1638854593038559,-0.8009950518608093,-0.277528315782547,-0.17068025469779968,-0.4886142909526825,-0.2686751186847687,0.004475793801248074,-0.9017506837844849,-0.08015403151512146,0.01477653905749321,-1.0811721086502075,-0.2488555759191513,-0.042631082236766815,-0.6621854305267334,-0.2283155620098114,-0.08803442865610123,-0.3810614347457886,-0.16446498036384583,0.14837849140167236,-0.771338164806366,-0.1392463743686676,0.15428563952445984,-0.9067215919494629,-0.23478801548480988,0.09456919878721237,-0.62176513671875,-0.20293621718883514,0.049253251403570175,-0.43619146943092346,-0.14865688979625702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.2708134055137634,-0.23391881585121155,-0.07122737169265747,-0.39043954014778137,-0.7031870484352112,-0.10901930928230286,-0.32388830184936523,-1.1185657978057861,-0.15650735795497894,-0.23639410734176636,-1.4267855882644653,-0.18992139399051666,-0.33027729392051697,-1.0042741298675537,-0.008612374775111675,-0.38792774081230164,-1.3158929347991943,-0.1724427044391632,-0.3342972695827484,-1.0677887201309204,-0.27937760949134827,-0.27316486835479736,-0.8015224933624268,-0.32225000858306885,-0.1566198170185089,-0.9871139526367188,-0.03280610591173172,-0.15456648170948029,-1.218869924545288,-0.2185235321521759,-0.1609807014465332,-0.8059255480766296,-0.2731185853481293,-0.16847005486488342,-0.49491989612579346,-0.2625437080860138,0.003735980950295925,-0.9046834111213684,-0.08315154910087585,0.015918876975774765,-1.0926556587219238,-0.2481851875782013,-0.035990700125694275,-0.670292854309082,-0.22383788228034973,-0.07948660850524902,-0.3875364065170288,-0.15856218338012695,0.14935536682605743,-0.7767978310585022,-0.14184924960136414,0.155056893825531,-0.9171016216278076,-0.23418378829956055,0.09830036014318466,-0.628885805606842,-0.1994888335466385,0.05422430485486984,-0.44189217686653137,-0.14406262338161469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.25977665185928345,-0.2124166637659073,-0.07026038318872452,-0.37692010402679443,-0.676019012928009,-0.10542794317007065,-0.3083361089229584,-1.08855140209198,-0.1486845761537552,-0.2318703979253769,-1.397483468055725,-0.17797617614269257,-0.3324950933456421,-1.0008693933486938,-0.009057162329554558,-0.3846953213214874,-1.3078205585479736,-0.16580095887184143,-0.3313327133655548,-1.0550422668457031,-0.266842782497406,-0.2751025855541229,-0.787024736404419,-0.30671656131744385,-0.15672755241394043,-0.9871222376823425,-0.03203223645687103,-0.1498485803604126,-1.2186617851257324,-0.21058672666549683,-0.15464982390403748,-0.7956252098083496,-0.2619301378726959,-0.16292773187160492,-0.4907550811767578,-0.25007835030555725,0.006083617452532053,-0.9054358601570129,-0.08014937490224838,0.0225361455231905,-1.086929440498352,-0.24308361113071442,-0.029125642031431198,-0.6545839905738831,-0.21932445466518402,-0.07450026273727417,-0.3834744393825531,-0.15497742593288422,0.15299956500530243,-0.7766876816749573,-0.13552209734916687,0.1553674042224884,-0.9040825963020325,-0.2270352989435196,0.0987970232963562,-0.608816385269165,-0.19183745980262756,0.05292530730366707,-0.4339110851287842,-0.13636864721775055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.263395756483078,-0.22995254397392273,-0.06750614196062088,-0.3790638744831085,-0.6808017492294312,-0.1044529527425766,-0.3115333914756775,-1.0871992111206055,-0.1511516273021698,-0.2312922328710556,-1.3960034847259521,-0.1843821108341217,-0.32870832085609436,-1.002118706703186,-0.002741187112405896,-0.38666898012161255,-1.301192045211792,-0.16134077310562134,-0.33359408378601074,-1.0622797012329102,-0.2651422917842865,-0.2743016481399536,-0.8021063804626465,-0.3064810335636139,-0.1548355370759964,-0.9875604510307312,-0.02738972008228302,-0.15153497457504272,-1.20908522605896,-0.20843765139579773,-0.1573207527399063,-0.7961374521255493,-0.26311448216438293,-0.1662377417087555,-0.48513472080230713,-0.25320014357566833,0.005186823662370443,-0.9065084457397461,-0.07728933542966843,0.019344313070178032,-1.0779166221618652,-0.24032220244407654,-0.0318935364484787,-0.6551723480224609,-0.2186589539051056,-0.07701651006937027,-0.37868303060531616,-0.15543238818645477,0.14894434809684753,-0.7763157486915588,-0.1346602737903595,0.15317894518375397,-0.8980100154876709,-0.22521138191223145,0.09731624275445938,-0.6081867218017578,-0.19145937263965607,0.05138774588704109,-0.4263121783733368,-0.1369422972202301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.264507919549942,-0.24359095096588135,-0.06630074232816696,-0.3877556025981903,-0.7071952819824219,-0.10210462659597397,-0.32083016633987427,-1.1168066263198853,-0.1493196040391922,-0.23081466555595398,-1.4209072589874268,-0.18250766396522522,-0.3255189061164856,-1.0050212144851685,0.0016283667646348476,-0.36958035826683044,-1.326945424079895,-0.15558232367038727,-0.30880674719810486,-1.0793062448501587,-0.25834059715270996,-0.2516869902610779,-0.8232518434524536,-0.30021214485168457,-0.1525002419948578,-0.988025963306427,-0.023419415578246117,-0.13472507894039154,-1.233751654624939,-0.202986478805542,-0.14073297381401062,-0.8139844536781311,-0.26050350069999695,-0.15637947618961334,-0.5039263963699341,-0.25337347388267517,0.007291307207196951,-0.9135259389877319,-0.07351752370595932,0.03190869837999344,-1.1091549396514893,-0.23504339158535004,-0.019275717437267303,-0.6854233741760254,-0.2165692001581192,-0.06855972111225128,-0.4056609869003296,-0.15610820055007935,0.15289835631847382,-0.7910673022270203,-0.1309717744588852,0.165651336312294,-0.9267480373382568,-0.22097554802894592,0.10659978538751602,-0.6351562738418579,-0.18942680954933167,0.055432576686143875,-0.44485968351364136,-0.13727228343486786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.2665477991104126,-0.24698853492736816,-0.06984736770391464,-0.3883218765258789,-0.6859268546104431,-0.11020910739898682,-0.33035916090011597,-1.0900936126708984,-0.15960440039634705,-0.24539276957511902,-1.3975834846496582,-0.19460529088974,-0.33310920000076294,-1.0020657777786255,-0.007192414253950119,-0.3831411600112915,-1.2890280485153198,-0.1685146540403366,-0.31446346640586853,-1.047000527381897,-0.27449479699134827,-0.2512418329715729,-0.7949702739715576,-0.3175806403160095,-0.15935540199279785,-0.9867254495620728,-0.03128383308649063,-0.15664829313755035,-1.2147958278656006,-0.21049530804157257,-0.15383675694465637,-0.8086507320404053,-0.26616671681404114,-0.15976634621620178,-0.5075410604476929,-0.25887370109558105,0.0009801852283999324,-0.9108049273490906,-0.08056146651506424,0.01538777630776167,-1.0914925336837769,-0.2430555671453476,-0.03194861486554146,-0.6779512763023376,-0.22102858126163483,-0.07632479816675186,-0.4008692800998688,-0.15829162299633026,0.14404664933681488,-0.7837648987770081,-0.13764648139476776,0.15158076584339142,-0.9173434972763062,-0.22959427535533905,0.09272821992635727,-0.6278405785560608,-0.1956857442855835,0.04243674501776695,-0.43384677171707153,-0.1411123424768448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.27430644631385803,-0.22828656435012817,-0.0776546522974968,-0.3997875154018402,-0.6877149939537048,-0.1131092756986618,-0.33803850412368774,-1.1119297742843628,-0.1577673852443695,-0.2532404363155365,-1.4319090843200684,-0.18842579424381256,-0.3383793830871582,-0.996224045753479,0.01195872575044632,-0.39123693108558655,-1.3124176263809204,-0.1547827422618866,-0.3336135447025299,-1.0742425918579102,-0.2662210464477539,-0.26937875151634216,-0.8260390162467957,-0.31173351407051086,-0.1616992950439453,-0.9867972731590271,-0.009193798527121544,-0.15710793435573578,-1.2479515075683594,-0.2024737447500229,-0.16132491827011108,-0.8165455460548401,-0.2643674910068512,-0.16968949139118195,-0.5117942094802856,-0.2544628977775574,0.0010026355739682913,-0.9065935611724854,-0.05865778401494026,0.008129418827593327,-1.1154062747955322,-0.24014237523078918,-0.04121639207005501,-0.6726997494697571,-0.22074533998966217,-0.08135945349931717,-0.3879692852497101,-0.15169787406921387,0.15131443738937378,-0.7781401872634888,-0.11604653298854828,0.15728282928466797,-0.93742835521698,-0.22505399584770203,0.10081871598958969,-0.6308797597885132,-0.19408604502677917,0.054917629808187485,-0.4284496307373047,-0.13592277467250824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.2713472247123718,-0.17621193826198578,-0.08052361011505127,-0.40962454676628113,-0.6641736030578613,-0.11558035016059875,-0.35021284222602844,-1.1076856851577759,-0.15526607632637024,-0.2535223364830017,-1.4082316160202026,-0.18023893237113953,-0.35040074586868286,-0.996654748916626,-0.02374432049691677,-0.3972660303115845,-1.3155708312988281,-0.18707871437072754,-0.35001856088638306,-1.0816518068313599,-0.28837618231773376,-0.29291415214538574,-0.7924319505691528,-0.32667702436447144,-0.16812081634998322,-0.9848557710647583,-0.042362697422504425,-0.14907242357730865,-1.2338919639587402,-0.23101359605789185,-0.15583918988704681,-0.8120338916778564,-0.28109610080718994,-0.1690867692232132,-0.4974135160446167,-0.26463764905929565,0.001099008833989501,-0.8998731970787048,-0.08742406964302063,0.01914641261100769,-1.0769716501235962,-0.2608833611011505,-0.03166242316365242,-0.645788848400116,-0.2377087026834488,-0.08229194581508636,-0.37202364206314087,-0.17115436494350433,0.1568659394979477,-0.7740200757980347,-0.13984447717666626,0.1617785543203354,-0.904441773891449,-0.24645115435123444,0.11091993004083633,-0.5987854599952698,-0.21628311276435852,0.06491443514823914,-0.4177624583244324,-0.16117870807647705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.2851306200027466,-0.17697454988956451,-0.07763109356164932,-0.43021121621131897,-0.681640625,-0.1126345843076706,-0.3593718111515045,-1.1353660821914673,-0.15400853753089905,-0.2357696145772934,-1.409354329109192,-0.18186888098716736,-0.3588181138038635,-0.9927966594696045,-0.02496560849249363,-0.41105952858924866,-1.313740611076355,-0.19135862588882446,-0.36446452140808105,-1.0876556634902954,-0.29795360565185547,-0.3061181306838989,-0.8017274141311646,-0.3403623700141907,-0.17390143871307373,-0.9836688041687012,-0.046410150825977325,-0.1666909009218216,-1.2409042119979858,-0.2437196671962738,-0.16754566133022308,-0.8311930298805237,-0.2978442907333374,-0.17221389710903168,-0.4885372817516327,-0.281491219997406,-0.0037905811332166195,-0.9077745079994202,-0.09403073787689209,0.009811853058636189,-1.0813339948654175,-0.27170228958129883,-0.03958505392074585,-0.6519156694412231,-0.25325635075569153,-0.08759302645921707,-0.3487998843193054,-0.18759514391422272,0.15404732525348663,-0.7924991250038147,-0.14948000013828278,0.15930625796318054,-0.9109700322151184,-0.25541460514068604,0.10801652818918228,-0.6063734292984009,-0.22838370501995087,0.06400755792856216,-0.40618178248405457,-0.17543822526931763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,-0.2793206572532654,-0.17996321618556976,-0.07015614211559296,-0.4301166534423828,-0.6350905299186707,-0.10574163496494293,-0.38740867376327515,-1.0787216424942017,-0.1473322957754135,-0.2982903718948364,-1.4045915603637695,-0.1773396134376526,-0.37728434801101685,-0.9644529819488525,-0.022978732362389565,-0.46341896057128906,-1.2695497274398804,-0.19041316211223602,-0.39822790026664734,-1.0775268077850342,-0.3028850853443146,-0.3244772255420685,-0.8202850222587585,-0.3485279679298401,-0.2025098353624344,-0.9781797528266907,-0.04641266167163849,-0.20676648616790771,-1.2329336404800415,-0.23365427553653717,-0.1910514086484909,-0.8345826864242554,-0.2886759340763092,-0.1853998899459839,-0.5099027752876282,-0.2778947651386261,-0.033399440348148346,-0.91518235206604,-0.09472834318876266,-0.026938319206237793,-1.107759714126587,-0.26578134298324585,-0.06258819997310638,-0.6730352640151978,-0.24359793961048126,-0.09505957365036011,-0.3652729392051697,-0.17785683274269104,0.12646518647670746,-0.801050066947937,-0.15015888214111328,0.12075663357973099,-0.9476760625839233,-0.25747737288475037,0.07391665875911713,-0.6379985213279724,-0.22854499518871307,0.0374116450548172,-0.4233322739601135,-0.174062117934227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
