label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
U,0.0,0.0,0.0,-0.16367442905902863,-0.16237562894821167,-0.09898841381072998,-0.23550386726856232,-0.48415231704711914,-0.15569722652435303,-0.12201609462499619,-0.7223721742630005,-0.2143467664718628,0.013087832368910313,-0.825019359588623,-0.2701365351676941,-0.19795644283294678,-0.9893353581428528,-0.09299273043870926,-0.2043265551328659,-1.4123613834381104,-0.18146367371082306,-0.19957759976387024,-1.6795735359191895,-0.23921790719032288,-0.19048050045967102,-1.9032647609710693,-0.2751123011112213,-0.06235479936003685,-0.9920668601989746,-0.10915742814540863,-0.0733582079410553,-1.443521499633789,-0.20703350007534027,-0.08783820271492004,-1.7309532165527344,-0.2646843492984772,-0.09790664911270142,-1.9724277257919312,-0.2907859683036804,0.06453277915716171,-0.8880153894424438,-0.13753296434879303,0.0717061311006546,-1.0745861530303955,-0.27384912967681885,0.020462190732359886,-0.8016337156295776,-0.2953169345855713,-0.01632876880466938,-0.6062815189361572,-0.2704935669898987,0.1700981706380844,-0.7188329696655273,-0.173326775431633,0.16064506769180298,-0.8431658148765564,-0.27918651700019836,0.09412121772766113,-0.6284410357475281,-0.27771633863449097,0.04687487334012985,-0.45840585231781006,-0.2507841885089874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.16058868169784546,-0.16763243079185486,-0.0906766876578331,-0.23392166197299957,-0.48796308040618896,-0.14192107319831848,-0.11415909230709076,-0.71823650598526,-0.1967787891626358,0.02786928042769432,-0.8038333654403687,-0.24919122457504272,-0.19187113642692566,-0.9874674081802368,-0.07992374151945114,-0.20008476078510284,-1.4052653312683105,-0.16130758821964264,-0.1941225826740265,-1.67035710811615,-0.21469688415527344,-0.1838071644306183,-1.8896071910858154,-0.248192697763443,-0.057823460549116135,-0.993520200252533,-0.09784757345914841,-0.06856980174779892,-1.4378111362457275,-0.1880047619342804,-0.08261653780937195,-1.7235040664672852,-0.2429274320602417,-0.09210098534822464,-1.9630653858184814,-0.2682526409626007,0.06686631590127945,-0.8925318717956543,-0.12767291069030762,0.07418880611658096,-1.0639283657073975,-0.2544935643672943,0.021910587325692177,-0.8019652962684631,-0.277108758687973,-0.015290767885744572,-0.612535834312439,-0.255086749792099,0.17056073248386383,-0.7239071726799011,-0.16468890011310577,0.16387510299682617,-0.8446292281150818,-0.261727899312973,0.09689135104417801,-0.6379250288009644,-0.26061809062957764,0.047584325075149536,-0.46981722116470337,-0.2360227257013321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.16805171966552734,-0.16735981404781342,-0.09877198189496994,-0.2563273012638092,-0.47466036677360535,-0.16054295003414154,-0.14215698838233948,-0.7038068175315857,-0.22522708773612976,-0.002854044083505869,-0.8187888264656067,-0.2864089608192444,-0.211952805519104,-0.9879163503646851,-0.09594782441854477,-0.2280718833208084,-1.419311761856079,-0.19122278690338135,-0.22275377810001373,-1.6912310123443604,-0.254304975271225,-0.21199247241020203,-1.9215666055679321,-0.2931942641735077,-0.07631012797355652,-0.9903815984725952,-0.1154172420501709,-0.09573976695537567,-1.469158411026001,-0.21446949243545532,-0.1172003298997879,-1.7667101621627808,-0.26967355608940125,-0.13321788609027863,-2.028219699859619,-0.2949550747871399,0.055647656321525574,-0.8859248757362366,-0.1478467434644699,0.052448172122240067,-1.0919396877288818,-0.27950289845466614,0.00772355729714036,-0.8125658631324768,-0.2873639464378357,-0.020647013559937477,-0.6046464443206787,-0.2544614374637604,0.17196322977542877,-0.710773766040802,-0.18935076892375946,0.16247890889644623,-0.8744084239006042,-0.2837075889110565,0.10190030187368393,-0.661526083946228,-0.2677392065525055,0.06032247841358185,-0.486557275056839,-0.2326190173625946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.17006996273994446,-0.15329037606716156,-0.0936206728219986,-0.2590070962905884,-0.47930824756622314,-0.14837349951267242,-0.1426694542169571,-0.7206390500068665,-0.206169992685318,0.007479676511138678,-0.8172463178634644,-0.26120659708976746,-0.21972081065177917,-0.9799020290374756,-0.09310157597064972,-0.23698610067367554,-1.4159213304519653,-0.17966870963573456,-0.23784516751766205,-1.6890661716461182,-0.23351764678955078,-0.23263217508792877,-1.9125014543533325,-0.26632237434387207,-0.08368364721536636,-0.9900823831558228,-0.11284516006708145,-0.10753472149372101,-1.4669194221496582,-0.20853257179260254,-0.12847955524921417,-1.7613166570663452,-0.2627553343772888,-0.14287887513637543,-2.003906488418579,-0.28595998883247375,0.04785337671637535,-0.8913489580154419,-0.14397954940795898,0.047719258815050125,-1.08701491355896,-0.2788693606853485,9.867381777439732e-06,-0.8148801922798157,-0.2987062335014343,-0.03280944749712944,-0.6117649674415588,-0.2723364233970642,0.16040092706680298,-0.721673309803009,-0.18208561837673187,0.15102671086788177,-0.8675335049629211,-0.28583985567092896,0.08689900487661362,-0.6526952385902405,-0.2811274230480194,0.0396469384431839,-0.47103074193000793,-0.25203150510787964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.166493222117424,-0.14398081600666046,-0.0879451334476471,-0.2634962499141693,-0.46379026770591736,-0.1382897049188614,-0.15362775325775146,-0.704683780670166,-0.19254015386104584,-0.015432402491569519,-0.7970516085624695,-0.24444738030433655,-0.23004822432994843,-0.9807958006858826,-0.07982611656188965,-0.25149649381637573,-1.391010046005249,-0.16116772592067719,-0.2534615397453308,-1.6559780836105347,-0.2134716808795929,-0.2502019703388214,-1.8758772611618042,-0.246595099568367,-0.09558655321598053,-0.9901734590530396,-0.10207740217447281,-0.12529446184635162,-1.4591461420059204,-0.19371294975280762,-0.14725187420845032,-1.7453482151031494,-0.24660104513168335,-0.16128790378570557,-1.9915852546691895,-0.26998403668403625,0.0364033579826355,-0.8930110335350037,-0.13582545518875122,0.03243020176887512,-1.0982884168624878,-0.2670181095600128,-0.00831537414342165,-0.808659553527832,-0.280043363571167,-0.03416181355714798,-0.6024450659751892,-0.24924029409885406,0.15273669362068176,-0.7261004447937012,-0.17651814222335815,0.13488204777240753,-0.8874891996383667,-0.2727286219596863,0.08140421658754349,-0.668454110622406,-0.2617833912372589,0.04624468460679054,-0.49564796686172485,-0.22993983328342438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.16902568936347961,-0.14684772491455078,-0.0852758139371872,-0.2727810740470886,-0.4727586507797241,-0.13469074666500092,-0.16136181354522705,-0.7119592428207397,-0.18922843039035797,-0.011274928227066994,-0.7893791198730469,-0.24171993136405945,-0.2349453866481781,-0.9784622192382812,-0.08404973149299622,-0.2616428732872009,-1.4111815690994263,-0.16444700956344604,-0.26594972610473633,-1.6871070861816406,-0.21387574076652527,-0.2649383246898651,-1.9103540182113647,-0.2446713149547577,-0.09840961545705795,-0.9893457293510437,-0.10728731751441956,-0.12707842886447906,-1.4616942405700684,-0.19922412931919098,-0.15307505428791046,-1.7564042806625366,-0.2515421509742737,-0.17225612699985504,-1.9999067783355713,-0.27367788553237915,0.03472921997308731,-0.8924785852432251,-0.14130669832229614,0.02986513078212738,-1.082970380783081,-0.27099716663360596,-0.01568811573088169,-0.7959983944892883,-0.2868345081806183,-0.04529518634080887,-0.5911917686462402,-0.2574528753757477,0.14927136898040771,-0.7235774993896484,-0.18188342452049255,0.1311332881450653,-0.8712559342384338,-0.27531227469444275,0.07376163452863693,-0.6602438688278198,-0.26580438017845154,0.03649656102061272,-0.4924301207065582,-0.2351246029138565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.17050598561763763,-0.1381550431251526,-0.08999258279800415,-0.2736636996269226,-0.44940003752708435,-0.1418132185935974,-0.16690070927143097,-0.7001710534095764,-0.1971355527639389,-0.02367340214550495,-0.7983580231666565,-0.249293252825737,-0.24969378113746643,-0.9703801870346069,-0.08252865076065063,-0.2720750868320465,-1.3856916427612305,-0.1650821566581726,-0.27774709463119507,-1.6566179990768433,-0.21796369552612305,-0.2804536819458008,-1.8802464008331299,-0.2511243224143982,-0.11562232673168182,-0.9877926111221313,-0.10438966751098633,-0.1479126513004303,-1.4600043296813965,-0.1949213296175003,-0.17301860451698303,-1.742126703262329,-0.24443767964839935,-0.19073626399040222,-1.9866273403167725,-0.26477110385894775,0.017974859103560448,-0.8937956094741821,-0.13833265006542206,0.020143531262874603,-1.0832840204238892,-0.2667863965034485,-0.02224005199968815,-0.7944304943084717,-0.27797091007232666,-0.05191338434815407,-0.596265435218811,-0.24580833315849304,0.13607332110404968,-0.7255408763885498,-0.17977973818778992,0.12713007628917694,-0.8815785646438599,-0.27081912755966187,0.07089697569608688,-0.6738846898078918,-0.25782322883605957,0.028740396723151207,-0.5132889747619629,-0.22516568005084991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.17590244114398956,-0.14234226942062378,-0.08281907439231873,-0.2806057631969452,-0.4560072720050812,-0.13215231895446777,-0.1779792755842209,-0.7027641534805298,-0.18697816133499146,-0.03998376801609993,-0.8046472668647766,-0.23965390026569366,-0.25495368242263794,-0.9694817066192627,-0.07671993225812912,-0.28605708479881287,-1.3873207569122314,-0.1563829630613327,-0.2938101291656494,-1.6570463180541992,-0.2066352367401123,-0.2955489158630371,-1.873305320739746,-0.23709699511528015,-0.11745748668909073,-0.987903892993927,-0.10123959183692932,-0.15096129477024078,-1.460059404373169,-0.18955500423908234,-0.18217965960502625,-1.7480629682540894,-0.24056167900562286,-0.20449230074882507,-1.9835147857666016,-0.26174578070640564,0.01849944144487381,-0.8987227082252502,-0.13709019124507904,0.008936936967074871,-1.0864181518554688,-0.2626068890094757,-0.03394554182887077,-0.8102757930755615,-0.27934974431991577,-0.05958978086709976,-0.6118931770324707,-0.25170159339904785,0.1352631151676178,-0.7357418537139893,-0.17928367853164673,0.11616427451372147,-0.8917944431304932,-0.2673034965991974,0.05964675918221474,-0.6840462684631348,-0.2557394802570343,0.022269153967499733,-0.5159167647361755,-0.22457675635814667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.17532742023468018,-0.13831698894500732,-0.0796201229095459,-0.2833585739135742,-0.4439016282558441,-0.12943385541439056,-0.18530113995075226,-0.6980559229850769,-0.1861957311630249,-0.054088983684778214,-0.8109496831893921,-0.24065369367599487,-0.2596685290336609,-0.9680539965629578,-0.07433198392391205,-0.28717169165611267,-1.3855420351028442,-0.15637724101543427,-0.29166311025619507,-1.6552948951721191,-0.20974569022655487,-0.2899244725704193,-1.8762708902359009,-0.24300023913383484,-0.12219782918691635,-0.9873479604721069,-0.10105334222316742,-0.15576185286045074,-1.4603960514068604,-0.19150081276893616,-0.18626739084720612,-1.7537156343460083,-0.24568131566047668,-0.20902331173419952,-1.99930739402771,-0.270558625459671,0.014412016607820988,-0.9008737206459045,-0.13868975639343262,0.003248711349442601,-1.0968140363693237,-0.2631929814815521,-0.03730202466249466,-0.8200323581695557,-0.27707353234291077,-0.06266187876462936,-0.6150009632110596,-0.24885395169258118,0.13430114090442657,-0.7400819659233093,-0.1830671727657318,0.1149815171957016,-0.9014464020729065,-0.2691378593444824,0.05777063965797424,-0.7019051909446716,-0.2559388279914856,0.017010904848575592,-0.5336880683898926,-0.22459198534488678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,-0.18719008564949036,-0.13051287829875946,-0.07785904407501221,-0.3063385486602783,-0.45525145530700684,-0.12244810909032822,-0.21796108782291412,-0.7240614295005798,-0.17428167164325714,-0.08247966319322586,-0.8360965251922607,-0.2240000218153,-0.2605450749397278,-0.965481162071228,-0.053861211985349655,-0.2956644594669342,-1.3700342178344727,-0.13153624534606934,-0.30565741658210754,-1.6352795362472534,-0.18730726838111877,-0.3083013594150543,-1.8577401638031006,-0.22434760630130768,-0.13042329251766205,-0.9883575439453125,-0.07835233211517334,-0.17659997940063477,-1.44853675365448,-0.1678636521100998,-0.21272000670433044,-1.7277175188064575,-0.22469662129878998,-0.23858743906021118,-1.968475580215454,-0.2516649663448334,0.0035235057584941387,-0.9159945249557495,-0.114349365234375,-0.004832173697650433,-1.1424518823623657,-0.23841683566570282,-0.040411144495010376,-0.8527891635894775,-0.24776139855384827,-0.06663868576288223,-0.628592848777771,-0.2158677577972412,0.13290126621723175,-0.7745944857597351,-0.15776731073856354,0.11630908399820328,-0.9549898505210876,-0.2496926486492157,0.06613441556692123,-0.7407078146934509,-0.23658275604248047,0.025843840092420578,-0.5534399151802063,-0.20308558642864227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
