label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
V,0.0,0.0,0.0,-0.14734186232089996,-0.20069533586502075,-0.06380268186330795,-0.23794381320476532,-0.546566367149353,-0.11268883943557739,-0.1376231610774994,-0.7535908222198486,-0.169558584690094,0.009805763140320778,-0.7378367185592651,-0.22339749336242676,-0.1338586062192917,-0.9857215881347656,-0.08752905577421188,-0.22021543979644775,-1.3592805862426758,-0.1485728621482849,-0.27174609899520874,-1.5947734117507935,-0.18603378534317017,-0.3046441972255707,-1.8003227710723877,-0.21552036702632904,0.013188682496547699,-0.9935327768325806,-0.11277753859758377,0.08788195252418518,-1.4290894269943237,-0.18116918206214905,0.14495715498924255,-1.7090100049972534,-0.22298115491867065,0.20705297589302063,-1.9389616250991821,-0.24544835090637207,0.13303259015083313,-0.8747909665107727,-0.14355361461639404,0.11079458147287369,-0.9966347217559814,-0.22403323650360107,0.025079334154725075,-0.7761310935020447,-0.22375182807445526,-0.011338574811816216,-0.6049723029136658,-0.198924258351326,0.23500144481658936,-0.6956296563148499,-0.18234072625637054,0.22622238099575043,-0.8636656999588013,-0.22941450774669647,0.14915123581886292,-0.7447463870048523,-0.20578965544700623,0.10708894580602646,-0.6072010397911072,-0.1762969046831131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.14717382192611694,-0.1986914873123169,-0.06095079705119133,-0.24111667275428772,-0.5511900186538696,-0.10663244873285294,-0.14131736755371094,-0.7563989758491516,-0.1604284644126892,0.007264140993356705,-0.7314816117286682,-0.2116995006799698,-0.13308483362197876,-0.9818652272224426,-0.0826515182852745,-0.21635711193084717,-1.3511018753051758,-0.14156408607959747,-0.2665939927101135,-1.5799967050552368,-0.1776416003704071,-0.29907628893852234,-1.7808386087417603,-0.20659661293029785,0.013575555756688118,-0.9940248131752014,-0.10830624401569366,0.0856497511267662,-1.42356276512146,-0.17444196343421936,0.1436847299337387,-1.697580099105835,-0.21549415588378906,0.2064819484949112,-1.9259599447250366,-0.23753002285957336,0.1338537633419037,-0.8796607255935669,-0.13932225108146667,0.10400407761335373,-0.9880864024162292,-0.21658724546432495,0.021422749385237694,-0.7647027373313904,-0.21621455252170563,-0.011800987645983696,-0.5976696014404297,-0.1922256499528885,0.2367463856935501,-0.7050560712814331,-0.1783526986837387,0.21541066467761993,-0.8539559245109558,-0.22361965477466583,0.1411346197128296,-0.728192150592804,-0.20044861733913422,0.10485637933015823,-0.5949448943138123,-0.171805739402771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.1471836268901825,-0.20359905064105988,-0.06293684244155884,-0.23900219798088074,-0.5551157593727112,-0.11017975956201553,-0.13697603344917297,-0.7580222487449646,-0.16578717529773712,0.011459740810096264,-0.7299591302871704,-0.218704953789711,-0.13129134476184845,-0.9851645231246948,-0.08432961255311966,-0.21314123272895813,-1.3537063598632812,-0.14421822130680084,-0.26257866621017456,-1.5823473930358887,-0.18129736185073853,-0.2944527268409729,-1.7848351001739502,-0.21102112531661987,0.014680231921374798,-0.9938209652900696,-0.11002018302679062,0.08970748633146286,-1.4235947132110596,-0.17792943120002747,0.149342879652977,-1.6978225708007812,-0.2193436473608017,0.21363936364650726,-1.9259545803070068,-0.24171403050422668,0.13453881442546844,-0.8762927651405334,-0.1413624882698059,0.1121111512184143,-0.9949643611907959,-0.22219237685203552,0.026784351095557213,-0.7686020731925964,-0.22162798047065735,-0.010086211375892162,-0.5946261882781982,-0.1965295970439911,0.23767858743667603,-0.6988083124160767,-0.18077778816223145,0.2274039089679718,-0.8633514046669006,-0.22779501974582672,0.15064704418182373,-0.7391386032104492,-0.20404742658138275,0.10931260138750076,-0.6007161736488342,-0.1747569888830185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.14902928471565247,-0.19305527210235596,-0.06579477339982986,-0.2446845918893814,-0.5459186434745789,-0.11511256545782089,-0.1451137512922287,-0.7565202116966248,-0.17170166969299316,0.005668359342962503,-0.729213297367096,-0.22532078623771667,-0.12930135428905487,-0.9779154062271118,-0.09145942330360413,-0.21584317088127136,-1.347602367401123,-0.1532517522573471,-0.26673176884651184,-1.581870436668396,-0.18962879478931427,-0.2994271218776703,-1.7897323369979858,-0.21876013278961182,0.01935790665447712,-0.9930896162986755,-0.11575046181678772,0.09260767698287964,-1.4197713136672974,-0.18675486743450165,0.1525728702545166,-1.6969283819198608,-0.22832664847373962,0.21394890546798706,-1.9298062324523926,-0.24940387904644012,0.14167453348636627,-0.8792233467102051,-0.14548839628696442,0.10333361476659775,-0.9806213974952698,-0.2301875352859497,0.017787905409932137,-0.7486534714698792,-0.2302219271659851,-0.016536425799131393,-0.5740357041358948,-0.2034098207950592,0.2475283294916153,-0.7057766914367676,-0.18322522938251495,0.2217453420162201,-0.848465085029602,-0.23373039066791534,0.14597991108894348,-0.7249613404273987,-0.21196430921554565,0.10901258885860443,-0.5935215950012207,-0.18251177668571472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.14428511261940002,-0.20306086540222168,-0.06559639424085617,-0.23463937640190125,-0.5432384610176086,-0.11669314652681351,-0.13469041883945465,-0.7477595806121826,-0.17598386108875275,0.01058709342032671,-0.7476258277893066,-0.23174691200256348,-0.12631264328956604,-0.9851788282394409,-0.08580713719129562,-0.21240748465061188,-1.3538798093795776,-0.15012381970882416,-0.2636660635471344,-1.585422158241272,-0.18944115936756134,-0.29401180148124695,-1.7885026931762695,-0.21965235471725464,0.019719526171684265,-0.9935775399208069,-0.11142124235630035,0.09583162516355515,-1.4223393201828003,-0.18458296358585358,0.1533171683549881,-1.6985059976577759,-0.2295079380273819,0.21640802919864655,-1.927909255027771,-0.2532747685909271,0.1391752064228058,-0.8765828013420105,-0.1430104672908783,0.11422811448574066,-0.9886472821235657,-0.22779077291488647,0.026132915169000626,-0.7606104016304016,-0.22722136974334717,-0.011204534210264683,-0.5887897610664368,-0.2012210190296173,0.2407858520746231,-0.6991369128227234,-0.1828135848045349,0.2278628796339035,-0.856454074382782,-0.23223555088043213,0.15147636830806732,-0.7323141098022461,-0.20803485810756683,0.11264899373054504,-0.6000791192054749,-0.17740872502326965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.1475437581539154,-0.20507439970970154,-0.06340772658586502,-0.24523404240608215,-0.5539823174476624,-0.11381015926599503,-0.14547863602638245,-0.7499939203262329,-0.17291001975536346,-0.0007168544107116759,-0.7260810732841492,-0.22945713996887207,-0.13643164932727814,-0.9803379774093628,-0.09233874827623367,-0.22280733287334442,-1.3431601524353027,-0.15702345967292786,-0.2745457589626312,-1.569000005722046,-0.19707375764846802,-0.30602455139160156,-1.7691469192504883,-0.2279192954301834,0.01020333357155323,-0.9930233955383301,-0.11747495830059052,0.08696939051151276,-1.4218099117279053,-0.1895807385444641,0.14186155796051025,-1.692476511001587,-0.23182392120361328,0.2028929591178894,-1.9175183773040771,-0.25448715686798096,0.13216175138950348,-0.8810511231422424,-0.14785517752170563,0.10783851891756058,-1.0021098852157593,-0.23149196803569794,0.021537212654948235,-0.7721620202064514,-0.23074863851070404,-0.014650777913630009,-0.5888083577156067,-0.20480111241340637,0.23860777914524078,-0.7064749598503113,-0.1861545592546463,0.23392875492572784,-0.8930730819702148,-0.23502714931964874,0.15670619904994965,-0.7791690230369568,-0.21159355342388153,0.11357510834932327,-0.6412597894668579,-0.1817583441734314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.14718590676784515,-0.20630405843257904,-0.06197579205036163,-0.2475118637084961,-0.5510260462760925,-0.11180614680051804,-0.15188279747962952,-0.743424117565155,-0.17067484557628632,-0.008152814581990242,-0.7213435769081116,-0.22724202275276184,-0.13885457813739777,-0.9777867794036865,-0.09177856892347336,-0.22758662700653076,-1.339063048362732,-0.15716040134429932,-0.28115731477737427,-1.5661320686340332,-0.19710421562194824,-0.3142207860946655,-1.7658697366714478,-0.22789829969406128,0.008452285081148148,-0.9929205179214478,-0.11848001927137375,0.08276081085205078,-1.4246941804885864,-0.1919785887002945,0.13429611921310425,-1.6969645023345947,-0.2353929579257965,0.19172586500644684,-1.9235002994537354,-0.25880250334739685,0.13021759688854218,-0.8805452585220337,-0.1503278613090515,0.10584850609302521,-1.001368522644043,-0.2348293662071228,0.01992594264447689,-0.7693971991539001,-0.2343175858259201,-0.016705747693777084,-0.5893823504447937,-0.2086450606584549,0.234938845038414,-0.7035017609596252,-0.18997682631015778,0.22698909044265747,-0.8824349641799927,-0.23953858017921448,0.1508016437292099,-0.7693567872047424,-0.21681959927082062,0.10777635127305984,-0.6378310918807983,-0.18765048682689667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.15659740567207336,-0.18990544974803925,-0.05609801039099693,-0.2640972435474396,-0.5366240739822388,-0.09949159622192383,-0.17746761441230774,-0.747341513633728,-0.15262065827846527,-0.03221037611365318,-0.7365527153015137,-0.20206722617149353,-0.15992416441440582,-0.9739762544631958,-0.07131937146186829,-0.25074708461761475,-1.329578161239624,-0.13307811319828033,-0.3027903139591217,-1.543291449546814,-0.17342275381088257,-0.3445177972316742,-1.7324607372283936,-0.2047070413827896,-0.013841786421835423,-0.9948618412017822,-0.10029049217700958,0.05585045367479324,-1.4244966506958008,-0.16788427531719208,0.10204338282346725,-1.7065986394882202,-0.21149715781211853,0.14716023206710815,-1.9451366662979126,-0.23621246218681335,0.10817909985780716,-0.884954571723938,-0.13591846823692322,0.06339064985513687,-1.0110290050506592,-0.21495217084884644,-0.015173053368926048,-0.7970210313796997,-0.21925528347492218,-0.046661559492349625,-0.6304083466529846,-0.19932331144809723,0.21615076065063477,-0.7140393257141113,-0.17951588332653046,0.18805408477783203,-0.8776610493659973,-0.22864532470703125,0.10657496005296707,-0.762043297290802,-0.21243567764759064,0.06021314859390259,-0.6361318826675415,-0.18960443139076233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.15369252860546112,-0.18858090043067932,-0.06057814136147499,-0.26199209690093994,-0.5176249742507935,-0.10927048325538635,-0.1800471991300583,-0.7364920377731323,-0.16758102178573608,-0.046810220927000046,-0.7513644099235535,-0.22299247980117798,-0.16779476404190063,-0.9641793370246887,-0.08546541631221771,-0.26830536127090454,-1.3291441202163696,-0.1503342092037201,-0.3253185451030731,-1.5498743057250977,-0.1905994713306427,-0.36353379487991333,-1.7499357461929321,-0.22015836834907532,-0.02161368355154991,-0.9933311939239502,-0.11325181275606155,0.03891856223344803,-1.437800645828247,-0.18625220656394958,0.08797503262758255,-1.722509503364563,-0.22910703718662262,0.14031751453876495,-1.9640529155731201,-0.2511124312877655,0.10375979542732239,-0.8945335745811462,-0.14690667390823364,0.06349344551563263,-1.024006962776184,-0.2372528314590454,-0.014452851377427578,-0.7843436002731323,-0.24160964787006378,-0.045967333018779755,-0.5939428806304932,-0.2168647050857544,0.21644306182861328,-0.7347930669784546,-0.18763861060142517,0.20438136160373688,-0.9340938329696655,-0.24152982234954834,0.12799957394599915,-0.8106546401977539,-0.22054392099380493,0.08225546032190323,-0.6632558703422546,-0.19171038269996643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,-0.16450214385986328,-0.1646699458360672,-0.06358155608177185,-0.28086045384407043,-0.49437370896339417,-0.1114257201552391,-0.19579266011714935,-0.7117419242858887,-0.16648025810718536,-0.04915040358901024,-0.7133631110191345,-0.21885477006435394,-0.189869225025177,-0.9575725197792053,-0.08359962701797485,-0.29174134135246277,-1.3091368675231934,-0.1473798006772995,-0.3521938621997833,-1.5276027917861938,-0.1896848976612091,-0.397777795791626,-1.7238590717315674,-0.22176885604858398,-0.04506281390786171,-0.9928902983665466,-0.11017347127199173,0.009665031917393208,-1.4381599426269531,-0.17626313865184784,0.04960927367210388,-1.728271722793579,-0.21869151294231415,0.09116196632385254,-1.9771267175674438,-0.2432885468006134,0.08112769573926926,-0.8941166996955872,-0.14337901771068573,0.05488903075456619,-1.040350079536438,-0.22757472097873688,-0.013374975882470608,-0.8234379291534424,-0.23486539721488953,-0.04139544442296028,-0.6489481925964355,-0.21542267501354218,0.1947053223848343,-0.7305242419242859,-0.1839848756790161,0.18299569189548492,-0.9340528845787048,-0.23908057808876038,0.11263788491487503,-0.8021095991134644,-0.22061629593372345,0.07024116069078445,-0.6453015804290771,-0.19425037503242493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
