label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
W,0.0,0.0,0.0,-0.25613999366760254,-0.2538797855377197,-0.09663418680429459,-0.3739854693412781,-0.6700364947319031,-0.1793682724237442,-0.40226858854293823,-1.138940691947937,-0.2256680727005005,-0.40463367104530334,-1.4573701620101929,-0.2680903375148773,-0.37539973855018616,-0.8005494475364685,-0.37225541472435,-0.6341068148612976,-1.4703083038330078,-0.5156293511390686,-0.7501490116119385,-1.9114609956741333,-0.5880134105682373,-0.830730140209198,-2.2771332263946533,-0.6286637783050537,-0.12663105130195618,-0.9233506917953491,-0.3624749779701233,-0.27246206998825073,-1.7819257974624634,-0.4865119457244873,-0.34996524453163147,-2.32037353515625,-0.5316940546035767,-0.41230860352516174,-2.771470308303833,-0.5593066215515137,0.10550672560930252,-0.9378349781036377,-0.33970901370048523,0.11639124900102615,-1.7153297662734985,-0.4441019594669342,0.07565910369157791,-2.2177388668060303,-0.471023827791214,0.033810731023550034,-2.612515926361084,-0.4794076681137085,0.2873004078865051,-0.8853272199630737,-0.31203898787498474,0.3274734318256378,-1.4110971689224243,-0.39138153195381165,0.3224087655544281,-1.7736191749572754,-0.38985180854797363,0.30657219886779785,-2.0933656692504883,-0.37479937076568604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.18998156487941742,-0.05782045051455498,-0.11989040672779083,-0.3032865524291992,-0.3190901577472687,-0.2132129967212677,-0.3084472417831421,-0.6338621973991394,-0.2773958742618561,-0.26392990350723267,-0.8964273929595947,-0.34421592950820923,-0.36628398299217224,-0.7885733842849731,-0.3043823540210724,-0.5711080431938171,-1.3332408666610718,-0.432573527097702,-0.6752801537513733,-1.7079068422317505,-0.5059765577316284,-0.7551975250244141,-2.018512725830078,-0.553073525428772,-0.16539211571216583,-0.9355549812316895,-0.31206128001213074,-0.2912963330745697,-1.6188910007476807,-0.4208381474018097,-0.3591483533382416,-2.0567727088928223,-0.4815199375152588,-0.4275236427783966,-2.4170398712158203,-0.520297110080719,0.03005390800535679,-0.9092260599136353,-0.3178805708885193,0.069058857858181,-1.5189887285232544,-0.4364224970340729,0.06371010839939117,-1.9301631450653076,-0.4996386468410492,0.03744485229253769,-2.2541940212249756,-0.5346121788024902,0.19890858232975006,-0.7656466364860535,-0.32234683632850647,0.2423761487007141,-1.1227014064788818,-0.43182218074798584,0.2373449206352234,-1.269580602645874,-0.4500332772731781,0.21965649724006653,-1.3612011671066284,-0.44964030385017395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.12693126499652863,0.019962148740887642,-0.1484677642583847,-0.2068803906440735,-0.17495405673980713,-0.22828969359397888,-0.10586389154195786,-0.45229795575141907,-0.28324079513549805,0.023661231622099876,-0.670229971408844,-0.3385484218597412,-0.3334415853023529,-0.81126469373703,-0.18006981909275055,-0.49501103162765503,-1.2450366020202637,-0.2645036280155182,-0.5720050930976868,-1.5532548427581787,-0.3261294960975647,-0.6321521401405334,-1.8158422708511353,-0.3712722063064575,-0.17981623113155365,-0.9677736163139343,-0.1762966364622116,-0.2719340920448303,-1.51129150390625,-0.23849819600582123,-0.3209088444709778,-1.8711415529251099,-0.2980079650878906,-0.37172096967697144,-2.1645288467407227,-0.3395763039588928,-0.02369016967713833,-0.9380307793617249,-0.18403775990009308,0.017468728125095367,-1.4405430555343628,-0.28032875061035156,0.023520005866885185,-1.7839736938476562,-0.36222490668296814,0.013934734277427197,-2.065258502960205,-0.41526272892951965,0.12800060212612152,-0.7753432989120483,-0.19801169633865356,0.18151181936264038,-1.0109670162200928,-0.3045772314071655,0.20090603828430176,-0.945864200592041,-0.3293195962905884,0.21676021814346313,-0.8288335204124451,-0.33639049530029297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.1472526490688324,-0.023653682321310043,-0.14284966886043549,-0.2317875474691391,-0.2687983810901642,-0.20036423206329346,-0.1045038253068924,-0.5925701260566711,-0.23232710361480713,0.036277059465646744,-0.8303131461143494,-0.26237741112709045,-0.3320152759552002,-0.8213205337524414,-0.13097815215587616,-0.4739912152290344,-1.209553837776184,-0.18958793580532074,-0.5449457168579102,-1.4724164009094238,-0.23553796112537384,-0.59842848777771,-1.7048968076705933,-0.27269601821899414,-0.18445280194282532,-0.9754469990730286,-0.12033367156982422,-0.26372116804122925,-1.4343006610870361,-0.16832755506038666,-0.306370347738266,-1.734065055847168,-0.2204386293888092,-0.3468919098377228,-1.9891200065612793,-0.2584821581840515,-0.04549306631088257,-0.9709361791610718,-0.12488967180252075,-0.02409706637263298,-1.3975502252578735,-0.21913866698741913,-0.03099542111158371,-1.6861540079116821,-0.3073379099369049,-0.0523618645966053,-1.950937271118164,-0.36428457498550415,0.10138294845819473,-0.8481071591377258,-0.13599905371665955,0.12493705749511719,-1.0858453512191772,-0.24137787520885468,0.11827945709228516,-0.9796397089958191,-0.2748684883117676,0.0974525436758995,-0.8315017223358154,-0.2906235158443451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.15379926562309265,-0.060399558395147324,-0.11122746765613556,-0.2443242073059082,-0.32352983951568604,-0.14618200063705444,-0.12556782364845276,-0.636459469795227,-0.16341346502304077,0.017985841259360313,-0.841301679611206,-0.17859721183776855,-0.3270675539970398,-0.838772177696228,-0.07396887987852097,-0.46265169978141785,-1.2037808895111084,-0.1150234267115593,-0.5348305106163025,-1.444193959236145,-0.1539909690618515,-0.5935059189796448,-1.6538962125778198,-0.18779408931732178,-0.1890626847743988,-0.9792116284370422,-0.07348358631134033,-0.27072063088417053,-1.4067633152008057,-0.10173226147890091,-0.3182763159275055,-1.6782630681991577,-0.14502231776714325,-0.364126592874527,-1.8912365436553955,-0.17844504117965698,-0.05838929861783981,-0.9739375710487366,-0.08780871331691742,-0.054950181394815445,-1.392486810684204,-0.15658041834831238,-0.06443075835704803,-1.6637331247329712,-0.22930990159511566,-0.09238497912883759,-1.8970128297805786,-0.2787235975265503,0.08172059059143066,-0.855614423751831,-0.10886014997959137,0.10580085963010788,-1.1209579706192017,-0.18660010397434235,0.10151414573192596,-1.0255131721496582,-0.20454710721969604,0.07853519171476364,-0.8669880628585815,-0.21234798431396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.1522478312253952,-0.08376773446798325,-0.1092650517821312,-0.23733274638652802,-0.36027753353118896,-0.1392015516757965,-0.12295515835285187,-0.6667343378067017,-0.1520935744047165,0.0013600867241621017,-0.8587352633476257,-0.16173456609249115,-0.3164994716644287,-0.8434074521064758,-0.06785479187965393,-0.449544757604599,-1.2025920152664185,-0.10417807102203369,-0.5209848284721375,-1.425531268119812,-0.13969331979751587,-0.5804435014724731,-1.6299422979354858,-0.1715116947889328,-0.1838807314634323,-0.9805477857589722,-0.06865816563367844,-0.2652032673358917,-1.3996011018753052,-0.09024281799793243,-0.3116907477378845,-1.6528273820877075,-0.13058067858219147,-0.35783737897872925,-1.859382152557373,-0.16430442035198212,-0.05959998816251755,-0.9805862307548523,-0.08496292680501938,-0.051412731409072876,-1.374916911125183,-0.14610885083675385,-0.059483252465724945,-1.6310310363769531,-0.21847155690193176,-0.08846386522054672,-1.8619643449783325,-0.270559698343277,0.0757533460855484,-0.8706215023994446,-0.10894674807786942,0.09884850680828094,-1.127206563949585,-0.17702142894268036,0.0848051905632019,-1.018018126487732,-0.19346626102924347,0.051575519144535065,-0.8482369780540466,-0.2039421945810318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.1619124561548233,-0.10462816804647446,-0.08544555306434631,-0.25374525785446167,-0.43534207344055176,-0.09374498575925827,-0.13559922575950623,-0.739726722240448,-0.09053496271371841,-0.006437728647142649,-0.9176960587501526,-0.08338566869497299,-0.3310147225856781,-0.860447108745575,-0.012627212330698967,-0.46194249391555786,-1.182046890258789,-0.028502075001597404,-0.5309402346611023,-1.3852334022521973,-0.054381612688302994,-0.5888135433197021,-1.5666247606277466,-0.08117315173149109,-0.21009379625320435,-0.9775606393814087,-0.015357515774667263,-0.3014839291572571,-1.3542072772979736,-0.018739843741059303,-0.34348422288894653,-1.5830483436584473,-0.05167841911315918,-0.3829009532928467,-1.7566081285476685,-0.08082766830921173,-0.09283673018217087,-0.9754593968391418,-0.0341467447578907,-0.10009903460741043,-1.3443734645843506,-0.08218168467283249,-0.10563906282186508,-1.5907763242721558,-0.15647216141223907,-0.1314961463212967,-1.8122481107711792,-0.21054458618164062,0.036233603954315186,-0.8806625604629517,-0.059018347412347794,0.062374912202358246,-1.11940598487854,-0.11643967032432556,0.06626646965742111,-1.0431716442108154,-0.13690635561943054,0.04876231774687767,-0.9150813221931458,-0.15156075358390808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.14931170642375946,-0.10732341557741165,-0.10633431375026703,-0.234486386179924,-0.4482037127017975,-0.12012339383363724,-0.10852522403001785,-0.7837192416191101,-0.11764218658208847,0.01665693335235119,-0.9667336344718933,-0.11145926266908646,-0.3196239769458771,-0.848293662071228,-0.03604940325021744,-0.44374608993530273,-1.1812697649002075,-0.05689993500709534,-0.5143355131149292,-1.3830463886260986,-0.08489806205034256,-0.5790749788284302,-1.567610263824463,-0.11401815712451935,-0.19429424405097961,-0.9805322885513306,-0.02839387208223343,-0.2766512334346771,-1.3577232360839844,-0.033320456743240356,-0.3224271535873413,-1.5806779861450195,-0.06703710556030273,-0.368388831615448,-1.7669378519058228,-0.09884064644575119,-0.07621470093727112,-0.9925732612609863,-0.037863750010728836,-0.08352748304605484,-1.341172695159912,-0.08111609518527985,-0.09015937149524689,-1.574800968170166,-0.14756543934345245,-0.11195267736911774,-1.7955827713012695,-0.19884136319160461,0.048198286443948746,-0.9165019392967224,-0.057169318199157715,0.06418311595916748,-1.128568410873413,-0.11276305466890335,0.07186131179332733,-1.0635135173797607,-0.1340894103050232,0.06618603318929672,-0.9709464311599731,-0.15063974261283875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.14912138879299164,-0.11230559647083282,-0.1070922315120697,-0.23525281250476837,-0.4546366035938263,-0.12326017022132874,-0.10747168213129044,-0.7889030575752258,-0.1234675943851471,0.022744720801711082,-0.968993067741394,-0.12132561206817627,-0.3166164457798004,-0.8531941771507263,-0.04195110872387886,-0.44351741671562195,-1.1906676292419434,-0.0661061629652977,-0.5159742832183838,-1.3955793380737305,-0.09629397839307785,-0.5819974541664124,-1.5839035511016846,-0.1270693689584732,-0.1913367211818695,-0.9808873534202576,-0.0353577546775341,-0.2729603052139282,-1.3632361888885498,-0.04492774233222008,-0.3189522624015808,-1.5901201963424683,-0.08187998831272125,-0.36486196517944336,-1.7815783023834229,-0.11557010561227798,-0.07254847139120102,-0.9889337420463562,-0.0452648289501667,-0.0761961042881012,-1.348415493965149,-0.09360380470752716,-0.08265538513660431,-1.5862830877304077,-0.16293837130069733,-0.10239720344543457,-1.8114783763885498,-0.21595941483974457,0.05172426253557205,-0.9088432788848877,-0.06453961133956909,0.06847088038921356,-1.1203663349151611,-0.12658806145191193,0.07520478218793869,-1.049188494682312,-0.15002049505710602,0.0712696984410286,-0.9545531868934631,-0.16735200583934784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,-0.1376792937517166,-0.14481231570243835,-0.09205029159784317,-0.1959591656923294,-0.4657927453517914,-0.1048365980386734,-0.07225551456212997,-0.765969455242157,-0.1078597754240036,0.04310602694749832,-0.9323097467422485,-0.10691004246473312,-0.2751208543777466,-0.8829041123390198,-0.004795609507709742,-0.3883715867996216,-1.2143278121948242,-0.01787528023123741,-0.45207664370536804,-1.4111627340316772,-0.04411846771836281,-0.5067899227142334,-1.587123155593872,-0.07207315415143967,-0.1609029471874237,-0.9869670867919922,-0.0025095350574702024,-0.24485008418560028,-1.3509316444396973,0.0010995251359418035,-0.284054696559906,-1.5663903951644897,-0.032471977174282074,-0.32095298171043396,-1.7417713403701782,-0.06684619933366776,-0.05149395763874054,-0.9750475883483887,-0.01690736971795559,-0.05834052339196205,-1.331980586051941,-0.04994387552142143,-0.0609043724834919,-1.5524262189865112,-0.11227554082870483,-0.08044126629829407,-1.746598482131958,-0.16268889605998993,0.0644959881901741,-0.8809651136398315,-0.04037845879793167,0.07661076635122299,-1.1282833814620972,-0.0819544866681099,0.07884587347507477,-1.0801571607589722,-0.09657733142375946,0.06996504962444305,-0.9834819436073303,-0.11095971614122391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
