label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
Y,0.0,0.0,0.0,-0.2030051350593567,-0.3104998767375946,-0.06058923900127411,-0.3333873748779297,-0.7430062890052795,-0.09780385345220566,-0.41734492778778076,-1.0904141664505005,-0.14592742919921875,-0.4761274755001068,-1.374348521232605,-0.17138324677944183,-0.08321813493967056,-1.0605179071426392,-0.006437188480049372,-0.09560202062129974,-1.330702304840088,-0.11655370891094208,-0.13959866762161255,-1.0172444581985474,-0.1632317304611206,-0.14350846409797668,-0.8070676922798157,-0.1749275177717209,0.052881017327308655,-0.9983958601951599,-0.02023073099553585,0.03296564891934395,-1.2259420156478882,-0.16044653952121735,-0.04577978700399399,-0.859299898147583,-0.19062918424606323,-0.06326193362474442,-0.6538012027740479,-0.18000257015228271,0.1841585487127304,-0.8926112651824951,-0.054293423891067505,0.17765167355537415,-1.1201305389404297,-0.19415771961212158,0.07606300711631775,-0.7940396666526794,-0.17509379982948303,0.02829580567777157,-0.5793963074684143,-0.12147007137537003,0.3066881597042084,-0.7671628594398499,-0.09364712238311768,0.4380035102367401,-1.0720620155334473,-0.17832034826278687,0.5055901408195496,-1.2853450775146484,-0.19167587161064148,0.5600005388259888,-1.5196408033370972,-0.18185098469257355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20247898995876312,-0.3071032166481018,-0.06515440344810486,-0.3338737189769745,-0.7396087050437927,-0.10423489660024643,-0.4189363121986389,-1.088985800743103,-0.15339381992816925,-0.4796293079853058,-1.3755654096603394,-0.17913101613521576,-0.08160955458879471,-1.0584312677383423,-0.011384393088519573,-0.0956631600856781,-1.3287887573242188,-0.12205958366394043,-0.13961128890514374,-1.010034203529358,-0.1673252433538437,-0.14206820726394653,-0.8008502721786499,-0.1784168779850006,0.05513469874858856,-0.9981990456581116,-0.02364184893667698,0.03415078669786453,-1.227994441986084,-0.16394010186195374,-0.045019179582595825,-0.8563646674156189,-0.19173407554626465,-0.05996016040444374,-0.6551684141159058,-0.18001270294189453,0.1864306777715683,-0.8921021819114685,-0.056760452687740326,0.17919301986694336,-1.122394323348999,-0.19783377647399902,0.07717622816562653,-0.7917078733444214,-0.1761665940284729,0.03150727599859238,-0.5756778717041016,-0.12101592868566513,0.3085269033908844,-0.765367865562439,-0.09569527953863144,0.4409257471561432,-1.0742027759552002,-0.18240895867347717,0.5084954500198364,-1.2890657186508179,-0.1958390772342682,0.5640159249305725,-1.5242893695831299,-0.18608823418617249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.2033255249261856,-0.30828675627708435,-0.06494853645563126,-0.33418989181518555,-0.7428351640701294,-0.10344847291707993,-0.41918647289276123,-1.091665267944336,-0.15220165252685547,-0.4798513650894165,-1.3771140575408936,-0.1777779459953308,-0.08192151039838791,-1.0602718591690063,-0.01014418713748455,-0.09448827058076859,-1.3315423727035522,-0.12171852588653564,-0.1378168761730194,-1.0109436511993408,-0.16855689883232117,-0.14042849838733673,-0.8003411293029785,-0.1804109662771225,0.05587366595864296,-0.9981874823570251,-0.02235906943678856,0.03591044619679451,-1.228874921798706,-0.16460569202899933,-0.041388414800167084,-0.8560522794723511,-0.19410373270511627,-0.05657362565398216,-0.6502907872200012,-0.18267852067947388,0.1878712773323059,-0.8910266757011414,-0.0554664209485054,0.18141582608222961,-1.1217671632766724,-0.19766183197498322,0.08082036674022675,-0.7898180484771729,-0.17732368409633636,0.03472511097788811,-0.5723364353179932,-0.1222062036395073,0.3111670911312103,-0.763648509979248,-0.09430273622274399,0.4435504972934723,-1.0728806257247925,-0.18063104152679443,0.511857271194458,-1.287268877029419,-0.19417601823806763,0.5670391917228699,-1.5230032205581665,-0.1842525154352188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20232045650482178,-0.30829566717147827,-0.06474486738443375,-0.332933634519577,-0.7421817779541016,-0.10329184681177139,-0.4177364706993103,-1.0908422470092773,-0.15235762298107147,-0.47927385568618774,-1.3734464645385742,-0.1783664971590042,-0.07790645956993103,-1.0592982769012451,-0.008390977047383785,-0.09407209604978561,-1.32529616355896,-0.11867042630910873,-0.1365734040737152,-1.0100510120391846,-0.16403743624687195,-0.13748325407505035,-0.8005937337875366,-0.1747305989265442,0.058262310922145844,-0.9980952739715576,-0.02027997560799122,0.03434111922979355,-1.226897120475769,-0.16116546094417572,-0.04156492277979851,-0.8572807908058167,-0.18920162320137024,-0.053211405873298645,-0.6542589068412781,-0.1767013520002365,0.18995264172554016,-0.8922955989837646,-0.053029634058475494,0.18010008335113525,-1.1275674104690552,-0.19477017223834991,0.080908864736557,-0.7965536713600159,-0.1736888885498047,0.03833090513944626,-0.5789442658424377,-0.117876797914505,0.31324803829193115,-0.7654929161071777,-0.09152070432901382,0.44471853971481323,-1.0731313228607178,-0.1772119104862213,0.5114652514457703,-1.2863471508026123,-0.1899932473897934,0.5666934251785278,-1.5206573009490967,-0.179328054189682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.2092847377061844,-0.3079705238342285,-0.06802684813737869,-0.3444032073020935,-0.7406464219093323,-0.1084040030837059,-0.4331634044647217,-1.0945490598678589,-0.15939785540103912,-0.4945233166217804,-1.3831251859664917,-0.18682654201984406,-0.08647593855857849,-1.0586246252059937,-0.007657557725906372,-0.10106395930051804,-1.3354812860488892,-0.12196196615695953,-0.14382456243038177,-1.0180853605270386,-0.17108575999736786,-0.14364813268184662,-0.805341362953186,-0.1841491460800171,0.05146395415067673,-0.9984984397888184,-0.01877051591873169,0.027433983981609344,-1.2365034818649292,-0.16265016794204712,-0.049084894359111786,-0.8649775385856628,-0.19206473231315613,-0.05826440826058388,-0.6629988551139832,-0.18050581216812134,0.18401575088500977,-0.8952748775482178,-0.05189173296093941,0.17457017302513123,-1.133413553237915,-0.19676266610622406,0.07230648398399353,-0.7981846332550049,-0.1757582426071167,0.029803166165947914,-0.578644335269928,-0.11944388598203659,0.3090551495552063,-0.7703341841697693,-0.0912976935505867,0.4458816647529602,-1.0807909965515137,-0.1798291951417923,0.5148780345916748,-1.2998977899551392,-0.19429469108581543,0.5716089606285095,-1.5392372608184814,-0.1846240758895874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20574723184108734,-0.30989858508110046,-0.06502339243888855,-0.339441180229187,-0.7404395937919617,-0.10470543056726456,-0.42822447419166565,-1.0893973112106323,-0.15492260456085205,-0.49097874760627747,-1.3733041286468506,-0.1815904676914215,-0.08572191745042801,-1.0578566789627075,-0.012566870078444481,-0.10387735068798065,-1.330818772315979,-0.12386327981948853,-0.14468131959438324,-1.0144768953323364,-0.16803014278411865,-0.14411483705043793,-0.8078404664993286,-0.17822681367397308,0.051632896065711975,-0.9983564615249634,-0.02486765757203102,0.026828106492757797,-1.2346621751785278,-0.16645126044750214,-0.05016661807894707,-0.8620195388793945,-0.19250820577144623,-0.060857608914375305,-0.6647988557815552,-0.1793898046016693,0.18424774706363678,-0.8947118520736694,-0.05801459029316902,0.17453321814537048,-1.1333140134811401,-0.20068112015724182,0.07426101714372635,-0.7980636358261108,-0.1774352788925171,0.03246472030878067,-0.5808478593826294,-0.1206330880522728,0.3081793785095215,-0.7699830532073975,-0.0970768854022026,0.4410548806190491,-1.0807454586029053,-0.18472391366958618,0.5061050653457642,-1.29729163646698,-0.1979660540819168,0.5605415105819702,-1.5328158140182495,-0.1877187043428421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20620609819889069,-0.3070128560066223,-0.06640752404928207,-0.33868345618247986,-0.7387999296188354,-0.10678567737340927,-0.42709240317344666,-1.0886726379394531,-0.15789757668972015,-0.4913937747478485,-1.376217246055603,-0.18578453361988068,-0.08655499666929245,-1.0582048892974854,-0.010483765043318272,-0.10299386829137802,-1.3331013917922974,-0.12423694878816605,-0.14401875436306,-1.0145350694656372,-0.17184388637542725,-0.14324507117271423,-0.8060747385025024,-0.1838580220937729,0.052189942449331284,-0.9983817934989929,-0.022585803642868996,0.03076765313744545,-1.2330316305160522,-0.1657269150018692,-0.047407153993844986,-0.8610442876815796,-0.19428937137126923,-0.059952035546302795,-0.6634762287139893,-0.18220722675323486,0.1856064647436142,-0.8933079838752747,-0.05604188144207001,0.17880095541477203,-1.1287838220596313,-0.19994096457958221,0.07720071077346802,-0.7952052354812622,-0.17824305593967438,0.03342610225081444,-0.5804620981216431,-0.12177526950836182,0.3101685345172882,-0.7684566974639893,-0.0954551100730896,0.44292786717414856,-1.079512596130371,-0.18311208486557007,0.5086209177970886,-1.2974894046783447,-0.19614268839359283,0.563208818435669,-1.5360441207885742,-0.185367614030838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20609834790229797,-0.30402910709381104,-0.06913928687572479,-0.3399687111377716,-0.7315282225608826,-0.11124549061059952,-0.42930877208709717,-1.0817735195159912,-0.16353140771389008,-0.4950278401374817,-1.368269681930542,-0.19249890744686127,-0.0914710983633995,-1.0574734210968018,-0.013069096952676773,-0.10642049461603165,-1.3306907415390015,-0.1279221773147583,-0.14691667258739471,-1.0154340267181396,-0.175486221909523,-0.1467006802558899,-0.8054292798042297,-0.18692830204963684,0.048015251755714417,-0.9985526204109192,-0.0242327768355608,0.027982233092188835,-1.2300074100494385,-0.1690804660320282,-0.049699824303388596,-0.8594767451286316,-0.19849884510040283,-0.0625569075345993,-0.6614816188812256,-0.18644613027572632,0.18193422257900238,-0.8954595327377319,-0.05704161152243614,0.17651887238025665,-1.124650478363037,-0.20266681909561157,0.07414727658033371,-0.7936810851097107,-0.18260718882083893,0.028683295473456383,-0.5804296135902405,-0.12669280171394348,0.3072849214076996,-0.7733246088027954,-0.09596593677997589,0.4399024546146393,-1.084669589996338,-0.18429799377918243,0.5076351165771484,-1.3020519018173218,-0.1980130821466446,0.5643463134765625,-1.5397636890411377,-0.18755345046520233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20848247408866882,-0.29997947812080383,-0.07285501062870026,-0.3468310236930847,-0.7262598276138306,-0.11595351248979568,-0.4396408796310425,-1.078241229057312,-0.16853925585746765,-0.5083757042884827,-1.364517092704773,-0.19738814234733582,-0.09767789393663406,-1.0552048683166504,-0.01614866964519024,-0.11350422352552414,-1.3316948413848877,-0.130568265914917,-0.1507449597120285,-1.012710452079773,-0.17717038094997406,-0.14978376030921936,-0.7983613610267639,-0.18813268840312958,0.043274782598018646,-0.9987344145774841,-0.025629166513681412,0.022730953991413116,-1.2328612804412842,-0.17171189188957214,-0.050983209162950516,-0.8582667112350464,-0.20154832303524017,-0.06287068873643875,-0.6556179523468018,-0.18958961963653564,0.17677012085914612,-0.8977853059768677,-0.05701877549290657,0.17167648673057556,-1.1314873695373535,-0.20344558358192444,0.07269260287284851,-0.795755922794342,-0.18377837538719177,0.02798471972346306,-0.5780057907104492,-0.12802432477474213,0.3013034462928772,-0.7759138345718384,-0.09487397968769073,0.4329482614994049,-1.0871527194976807,-0.18407794833183289,0.5002949237823486,-1.3030567169189453,-0.1991422027349472,0.5554421544075012,-1.5413949489593506,-0.18976911902427673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,0.0,0.0,0.0,-0.20549210906028748,-0.293542742729187,-0.07001339644193649,-0.3439374566078186,-0.7194659113883972,-0.11203489452600479,-0.4360648989677429,-1.0658384561538696,-0.16347834467887878,-0.5048516392707825,-1.347335696220398,-0.1915653645992279,-0.09984304010868073,-1.0517070293426514,-0.017319876700639725,-0.1167551800608635,-1.3188644647598267,-0.13104459643363953,-0.15329299867153168,-1.002247929573059,-0.17764359712600708,-0.15321575105190277,-0.7927199006080627,-0.18886560201644897,0.04038708284497261,-0.99880450963974,-0.027538126334547997,0.01818173937499523,-1.2213647365570068,-0.17043304443359375,-0.05414000526070595,-0.8503336310386658,-0.19893163442611694,-0.06683746725320816,-0.6535837650299072,-0.18733729422092438,0.1736983209848404,-0.8980525732040405,-0.059114519506692886,0.16665035486221313,-1.1226258277893066,-0.20258454978466034,0.06975195556879044,-0.7910810112953186,-0.18253126740455627,0.024814719334244728,-0.5786881446838379,-0.1279834806919098,0.2969318628311157,-0.7769351005554199,-0.09684252738952637,0.4244413673877716,-1.0860283374786377,-0.18456807732582092,0.48959511518478394,-1.2985185384750366,-0.19882084429264069,0.5424454212188721,-1.5336607694625854,-0.18944613635540009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
