label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
Q,0.0,0.0,0.0,0.3365095853805542,-0.3651916980743408,-0.06612740457057953,0.8314348459243774,-0.5224801301956177,-0.06957335025072098,1.1724956035614014,-0.4031665623188019,-0.05179380625486374,1.1894371509552002,-0.18857286870479584,-0.028271261602640152,0.991134762763977,-0.022114170715212822,-0.15803195536136627,1.4804892539978027,0.055032480508089066,-0.20498867332935333,1.7355459928512573,0.024669647216796875,-0.2190992683172226,1.916429042816162,-0.033089011907577515,-0.23232759535312653,0.9488112926483154,0.28992170095443726,-0.12530949711799622,1.1964714527130127,0.03949405997991562,-0.15252350270748138,1.0648354291915894,-0.10329730063676834,-0.10158831626176834,0.9092950820922852,-0.12583360075950623,-0.06828756630420685,0.8702360391616821,0.4736749827861786,-0.09404083341360092,1.0661143064498901,0.18305619060993195,-0.12316315621137619,0.9534568190574646,0.07493767887353897,-0.07760245352983475,0.8114603757858276,0.06005262956023216,-0.04890400543808937,0.7749183177947998,0.5786141157150269,-0.06813376396894455,0.9398497343063354,0.32767343521118164,-0.07821183651685715,0.8693668842315674,0.22887550294399261,-0.04655999317765236,0.7484701871871948,0.2012081891298294,-0.01859329454600811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,0.3216882050037384,-0.37681740522384644,-0.07621768116950989,0.8313979506492615,-0.5436944365501404,-0.07645774632692337,1.2005441188812256,-0.4152289927005768,-0.04761146754026413,1.2197701930999756,-0.17754344642162323,-0.01182295847684145,0.9892579913139343,-0.02433292381465435,-0.17452099919319153,1.4950436353683472,0.04521927610039711,-0.2064344733953476,1.7532602548599243,0.0038059176877141,-0.21414226293563843,1.9429274797439575,-0.06330721080303192,-0.2287292182445526,0.9509219527244568,0.2816270887851715,-0.12819352746009827,1.2185996770858765,0.023796556517481804,-0.14105115830898285,1.0827473402023315,-0.11066684871912003,-0.0815664529800415,0.9351018667221069,-0.12226539850234985,-0.047371361404657364,0.8803132176399231,0.4572334289550781,-0.08131857961416245,1.085060477256775,0.15748991072177887,-0.09349539875984192,0.9719297885894775,0.04971407726407051,-0.04028839245438576,0.8304241895675659,0.03730250522494316,-0.013178814202547073,0.7922152280807495,0.5568594336509705,-0.0413350835442543,0.9591127038002014,0.29190319776535034,-0.049143530428409576,0.8829941153526306,0.18595758080482483,-0.020658913999795914,0.75823974609375,0.156967431306839,0.0023095542564988136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,0.33936890959739685,-0.3730989694595337,-0.07590384036302567,0.8528451323509216,-0.5288574695587158,-0.07584478706121445,1.2074394226074219,-0.395402193069458,-0.050046615302562714,1.2037664651870728,-0.15339156985282898,-0.018516002222895622,0.9913748502731323,-0.01714180037379265,-0.16808071732521057,1.4868836402893066,0.03640078380703926,-0.20670369267463684,1.7456707954406738,0.0013485242379829288,-0.21993757784366608,1.9360861778259277,-0.04903373494744301,-0.23955869674682617,0.9472726583480835,0.2912539541721344,-0.13358788192272186,1.2010654211044312,0.03988111391663551,-0.1656641662120819,1.060410499572754,-0.09156915545463562,-0.11720699816942215,0.9075593948364258,-0.09853218495845795,-0.08516215533018112,0.8704953193664551,0.46755746006965637,-0.0996355190873146,1.071437120437622,0.18122506141662598,-0.1309572011232376,0.9586266875267029,0.0741894319653511,-0.0823405385017395,0.8139490485191345,0.06571616977453232,-0.051212064921855927,0.7712907791137695,0.566867470741272,-0.07258248329162598,0.935748815536499,0.3094368278980255,-0.09073317050933838,0.865305483341217,0.2124234139919281,-0.06197595223784447,0.7366088032722473,0.19281013309955597,-0.035720374435186386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.057305362075567245,-0.5404123663902283,-0.0843215063214302,0.19666793942451477,-1.0141271352767944,-0.140274316072464,0.59688800573349,-1.2022300958633423,-0.16389957070350647,0.8737639784812927,-1.2035199403762817,-0.18719197809696198,0.5195615291595459,-0.8241283893585205,-0.2875864803791046,0.8660708069801331,-1.2193098068237305,-0.4019335210323334,1.0608855485916138,-1.4620925188064575,-0.4591332674026489,1.2244088649749756,-1.6497230529785156,-0.4980618357658386,0.7806749939918518,-0.5586808323860168,-0.2800394892692566,1.0776894092559814,-1.019696831703186,-0.37382772564888,0.892320454120636,-1.0260112285614014,-0.3256852924823761,0.7160160541534424,-0.9028371572494507,-0.26414403319358826,0.9141689538955688,-0.3276291787624359,-0.2648733854293823,1.0732938051223755,-0.7294453382492065,-0.3469111919403076,0.9121658802032471,-0.7416873574256897,-0.2644546329975128,0.7776907682418823,-0.6268373727798462,-0.18452586233615875,0.9782553315162659,-0.13061615824699402,-0.25159141421318054,1.0531278848648071,-0.4692016839981079,-0.28439125418663025,0.9204615950584412,-0.48802271485328674,-0.20297591388225555,0.8114333152770996,-0.38488733768463135,-0.12996360659599304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.043118372559547424,-0.5259256362915039,-0.07974421232938766,0.20793408155441284,-1.009002685546875,-0.1442161649465561,0.6101030111312866,-1.2117401361465454,-0.17354510724544525,0.9059473872184753,-1.2203449010849,-0.20532158017158508,0.5126097798347473,-0.8146775364875793,-0.3337939977645874,0.8701503276824951,-1.2297841310501099,-0.44907262921333313,1.0615166425704956,-1.4725439548492432,-0.5021633505821228,1.2257272005081177,-1.6569724082946777,-0.5376303195953369,0.7714551091194153,-0.5442216396331787,-0.3296661376953125,1.0912671089172363,-1.01699960231781,-0.4307337999343872,0.9219520092010498,-1.0254051685333252,-0.3903808295726776,0.7591871619224548,-0.9020490646362305,-0.3347378075122833,0.9139923453330994,-0.30630257725715637,-0.31041884422302246,1.0823261737823486,-0.7390550971031189,-0.38437986373901367,0.9194291234016418,-0.7530765533447266,-0.29319584369659424,0.7880693674087524,-0.6359996199607849,-0.20933614671230316,0.9899349808692932,-0.10825177282094955,-0.29184237122535706,1.0743979215621948,-0.482967346906662,-0.31379011273384094,0.9380410313606262,-0.502172589302063,-0.21902763843536377,0.8339383602142334,-0.3897830843925476,-0.13619011640548706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.043118372559547424,-0.5259256362915039,-0.07974421232938766,0.20793408155441284,-1.009002685546875,-0.1442161649465561,0.6101030111312866,-1.2117401361465454,-0.17354510724544525,0.9059473872184753,-1.2203449010849,-0.20532158017158508,0.5126097798347473,-0.8146775364875793,-0.3337939977645874,0.8701503276824951,-1.2297841310501099,-0.44907262921333313,1.0615166425704956,-1.4725439548492432,-0.5021633505821228,1.2257272005081177,-1.6569724082946777,-0.5376303195953369,0.7714551091194153,-0.5442216396331787,-0.3296661376953125,1.0912671089172363,-1.01699960231781,-0.4307337999343872,0.9219520092010498,-1.0254051685333252,-0.3903808295726776,0.7591871619224548,-0.9020490646362305,-0.3347378075122833,0.9139923453330994,-0.30630257725715637,-0.31041884422302246,1.0823261737823486,-0.7390550971031189,-0.38437986373901367,0.9194291234016418,-0.7530765533447266,-0.29319584369659424,0.7880693674087524,-0.6359996199607849,-0.20933614671230316,0.9899349808692932,-0.10825177282094955,-0.29184237122535706,1.0743979215621948,-0.482967346906662,-0.31379011273384094,0.9380410313606262,-0.502172589302063,-0.21902763843536377,0.8339383602142334,-0.3897830843925476,-0.13619011640548706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.08932018280029297,-0.5054053068161011,-0.10500402748584747,0.16730935871601105,-1.0154424905776978,-0.17347483336925507,0.5901790261268616,-1.234126329421997,-0.19867755472660065,0.8987955451011658,-1.2257463932037354,-0.22608880698680878,0.47611120343208313,-0.8200308084487915,-0.36742541193962097,0.8456504344940186,-1.2460519075393677,-0.49570268392562866,1.050612211227417,-1.5059689283370972,-0.5620989203453064,1.2286872863769531,-1.7052348852157593,-0.608318030834198,0.7541192173957825,-0.5554067492485046,-0.35046759247779846,1.0809416770935059,-1.032753825187683,-0.4604404866695404,0.9025090336799622,-1.0347493886947632,-0.4161469638347626,0.7341129779815674,-0.8942635655403137,-0.355863481760025,0.9075244665145874,-0.3229909837245941,-0.32106173038482666,1.1074907779693604,-0.7495239973068237,-0.403242290019989,0.9403481483459473,-0.7620056867599487,-0.3111174702644348,0.8013715744018555,-0.6310296654701233,-0.22511014342308044,0.9929934144020081,-0.12474308907985687,-0.29484131932258606,1.0960309505462646,-0.48265692591667175,-0.33172696828842163,0.956854522228241,-0.4992639422416687,-0.24711699783802032,0.8514017462730408,-0.37656891345977783,-0.17073146998882294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.055525027215480804,-0.5106644034385681,-0.06607069820165634,0.18664759397506714,-0.9994109869003296,-0.11820638179779053,0.5771502256393433,-1.1934046745300293,-0.1381600797176361,0.8763468861579895,-1.1712265014648438,-0.16236892342567444,0.5037263035774231,-0.825569748878479,-0.320161908864975,0.8643471002578735,-1.280602216720581,-0.4149017333984375,1.0589975118637085,-1.5377098321914673,-0.4496611952781677,1.2314002513885498,-1.7226486206054688,-0.4757782518863678,0.7659935355186462,-0.5528357625007629,-0.32806482911109924,1.0931264162063599,-1.0386661291122437,-0.4357714056968689,0.9067186117172241,-1.0236077308654785,-0.3961705267429352,0.7314372658729553,-0.8756892085075378,-0.33496570587158203,0.9130450487136841,-0.3111093044281006,-0.3184683620929718,1.0848307609558105,-0.7464290261268616,-0.38986504077911377,0.9123354554176331,-0.7485141754150391,-0.297206848859787,0.7836223244667053,-0.6219781637191772,-0.2096615731716156,0.9865420460700989,-0.11105994135141373,-0.3094537854194641,1.0912240743637085,-0.49889153242111206,-0.3276451528072357,0.9461917281150818,-0.5168607234954834,-0.23010630905628204,0.839371919631958,-0.3938249349594116,-0.1449877768754959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.055525027215480804,-0.5106644034385681,-0.06607069820165634,0.18664759397506714,-0.9994109869003296,-0.11820638179779053,0.5771502256393433,-1.1934046745300293,-0.1381600797176361,0.8763468861579895,-1.1712265014648438,-0.16236892342567444,0.5037263035774231,-0.825569748878479,-0.320161908864975,0.8643471002578735,-1.280602216720581,-0.4149017333984375,1.0589975118637085,-1.5377098321914673,-0.4496611952781677,1.2314002513885498,-1.7226486206054688,-0.4757782518863678,0.7659935355186462,-0.5528357625007629,-0.32806482911109924,1.0931264162063599,-1.0386661291122437,-0.4357714056968689,0.9067186117172241,-1.0236077308654785,-0.3961705267429352,0.7314372658729553,-0.8756892085075378,-0.33496570587158203,0.9130450487136841,-0.3111093044281006,-0.3184683620929718,1.0848307609558105,-0.7464290261268616,-0.38986504077911377,0.9123354554176331,-0.7485141754150391,-0.297206848859787,0.7836223244667053,-0.6219781637191772,-0.2096615731716156,0.9865420460700989,-0.11105994135141373,-0.3094537854194641,1.0912240743637085,-0.49889153242111206,-0.3276451528072357,0.9461917281150818,-0.5168607234954834,-0.23010630905628204,0.839371919631958,-0.3938249349594116,-0.1449877768754959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,-0.0727715864777565,-0.5059707164764404,-0.04906463623046875,0.16506263613700867,-0.9734207391738892,-0.09099464118480682,0.544849157333374,-1.1636215448379517,-0.10211258381605148,0.8261863589286804,-1.1593847274780273,-0.1179838627576828,0.47831907868385315,-0.8539915084838867,-0.31133636832237244,0.8219192028045654,-1.292057752609253,-0.40786176919937134,1.0008000135421753,-1.5439594984054565,-0.44470712542533875,1.1581414937973022,-1.7304768562316895,-0.4687384068965912,0.7426098585128784,-0.5887001156806946,-0.3193160593509674,1.0431619882583618,-1.032317042350769,-0.40159136056900024,0.8677228093147278,-1.018817663192749,-0.3465392291545868,0.7116146683692932,-0.879007875919342,-0.28262436389923096,0.8884909152984619,-0.34161177277565,-0.3103645443916321,1.0520638227462769,-0.7467721104621887,-0.36902114748954773,0.8894782662391663,-0.7440894842147827,-0.27414190769195557,0.7695080637931824,-0.6194726824760437,-0.19083242118358612,0.9655964970588684,-0.12772846221923828,-0.3000170886516571,1.0560880899429321,-0.48149263858795166,-0.3078617751598358,0.9218391180038452,-0.4888722896575928,-0.20642796158790588,0.8220095038414001,-0.3714165687561035,-0.12116308510303497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
