label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
A,0.0,0.0,0.0,0.2510402500629425,-0.09796091169118881,-0.1053895652294159,0.4907485246658325,-0.44907963275909424,-0.14356693625450134,0.5898649096488953,-0.8312069177627563,-0.1770731657743454,0.6500067710876465,-1.177656650543213,-0.19838105142116547,0.39299076795578003,-0.9159230589866638,-0.056583888828754425,0.47296062111854553,-1.112303614616394,-0.1939374953508377,0.4181574881076813,-0.7840524315834045,-0.2629767954349518,0.3567374050617218,-0.5422741770744324,-0.2825687527656555,0.22917750477790833,-0.9720215797424316,-0.0514952726662159,0.31957414746284485,-1.1495329141616821,-0.1996876746416092,0.27736005187034607,-0.7321649193763733,-0.23517107963562012,0.23276972770690918,-0.47656959295272827,-0.22146905958652496,0.05501497909426689,-0.963762640953064,-0.0685652419924736,0.12435826659202576,-1.1580615043640137,-0.23103685677051544,0.1198425441980362,-0.7099005579948425,-0.20728753507137299,0.1035366803407669,-0.4497174918651581,-0.14569005370140076,-0.1366937756538391,-0.8978530764579773,-0.09132029861211777,-0.06090425327420235,-0.9923089742660522,-0.2181718647480011,-0.020380418747663498,-0.6606410145759583,-0.20193937420845032,-0.011152752675116062,-0.4711567461490631,-0.15372136235237122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.2507764995098114,-0.0961296409368515,-0.10608261078596115,0.49076390266418457,-0.4450376629829407,-0.14464597404003143,0.589993953704834,-0.8280903697013855,-0.17842520773410797,0.6495000123977661,-1.1759326457977295,-0.1998787522315979,0.3938389718532562,-0.9155656695365906,-0.05682563781738281,0.4730679988861084,-1.1123164892196655,-0.19452784955501556,0.4176819324493408,-0.7815452218055725,-0.2634596526622772,0.35644498467445374,-0.540703296661377,-0.2829849421977997,0.23000270128250122,-0.9718215465545654,-0.05159154534339905,0.31979644298553467,-1.1497581005096436,-0.200072780251503,0.27687177062034607,-0.730669379234314,-0.2353004366159439,0.2323724627494812,-0.47675883769989014,-0.22130322456359863,0.05581151321530342,-0.9633867740631104,-0.06861845403909683,0.12460573762655258,-1.1564990282058716,-0.23166440427303314,0.11949461698532104,-0.7068769335746765,-0.20733322203159332,0.10310398787260056,-0.4483296573162079,-0.1451319456100464,-0.1360868364572525,-0.897101879119873,-0.09134647995233536,-0.06134284287691116,-0.9921875,-0.21831302344799042,-0.021168434992432594,-0.6597344279289246,-0.201525017619133,-0.012131252326071262,-0.4714837670326233,-0.15278945863246918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.24842864274978638,-0.09303858876228333,-0.10619328916072845,0.486350417137146,-0.43810710310935974,-0.1452966034412384,0.5861849188804626,-0.8149719834327698,-0.17934788763523102,0.6457085609436035,-1.1563812494277954,-0.20049120485782623,0.39377349615097046,-0.9123774170875549,-0.05815146490931511,0.47333937883377075,-1.1022759675979614,-0.19688506424427032,0.41860759258270264,-0.773801326751709,-0.2651918828487396,0.3565235435962677,-0.5383098721504211,-0.28403860330581665,0.22957560420036316,-0.9718461632728577,-0.05301092565059662,0.321124404668808,-1.1388911008834839,-0.20298615097999573,0.27958232164382935,-0.7188528776168823,-0.23761741816997528,0.2350388467311859,-0.4721870720386505,-0.2226819396018982,0.056099485605955124,-0.9651334881782532,-0.07019849866628647,0.12497435510158539,-1.1396234035491943,-0.2335023581981659,0.12122310698032379,-0.6925775408744812,-0.2092321217060089,0.10533349215984344,-0.4430552124977112,-0.14696301519870758,-0.1338261067867279,-0.8993880748748779,-0.0931456983089447,-0.058261290192604065,-0.9810009598731995,-0.21851839125156403,-0.01716160960495472,-0.6505299806594849,-0.2016979157924652,-0.0076766409911215305,-0.46961212158203125,-0.15320579707622528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.24903829395771027,-0.09623779356479645,-0.10476024448871613,0.48566755652427673,-0.4413960576057434,-0.1440635323524475,0.5871986746788025,-0.8198016881942749,-0.17890967428684235,0.6480230689048767,-1.164915919303894,-0.20151779055595398,0.3916606307029724,-0.9140140414237976,-0.05708610266447067,0.473232626914978,-1.1028997898101807,-0.19349096715450287,0.41741514205932617,-0.7752533555030823,-0.26210275292396545,0.3536251187324524,-0.5339718461036682,-0.28182750940322876,0.2281789779663086,-0.9722059369087219,-0.05243980512022972,0.32195931673049927,-1.1394636631011963,-0.19874241948127747,0.2790546119213104,-0.7248280644416809,-0.2340947687625885,0.23162326216697693,-0.4733657240867615,-0.2210533320903778,0.05448715388774872,-0.9644612073898315,-0.069801926612854,0.12575934827327728,-1.1414711475372314,-0.22952933609485626,0.1218143105506897,-0.6989086866378784,-0.20660673081874847,0.10351604223251343,-0.4452561140060425,-0.14656999707221985,-0.1362837851047516,-0.8978276252746582,-0.0928870141506195,-0.05843145772814751,-0.9846810698509216,-0.21663780510425568,-0.016033338382840157,-0.6575050950050354,-0.20040564239025116,-0.007354703266173601,-0.47361525893211365,-0.15310901403427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.2436714768409729,-0.08694951981306076,-0.10199269652366638,0.48080411553382874,-0.43290621042251587,-0.13821515440940857,0.5809494853019714,-0.8118109703063965,-0.16935566067695618,0.6451078653335571,-1.1483230590820312,-0.18766389787197113,0.3929213285446167,-0.9113301634788513,-0.05629020929336548,0.47536322474479675,-1.0947836637496948,-0.18597906827926636,0.4201693534851074,-0.7699292302131653,-0.2477898895740509,0.35632550716400146,-0.536663830280304,-0.26359203457832336,0.23005729913711548,-0.9718649983406067,-0.0505177304148674,0.32475370168685913,-1.135467529296875,-0.19095981121063232,0.2810126543045044,-0.7222427725791931,-0.22128494083881378,0.2332288920879364,-0.47899237275123596,-0.20555701851844788,0.05631939321756363,-0.9674270749092102,-0.06585346162319183,0.13169123232364655,-1.1345274448394775,-0.22070372104644775,0.12550252676010132,-0.6966720819473267,-0.19641625881195068,0.10495588183403015,-0.45267316699028015,-0.1364532709121704,-0.13438831269741058,-0.9047676920890808,-0.08644117414951324,-0.04940279573202133,-0.9835608601570129,-0.20511165261268616,-0.008088999427855015,-0.658202052116394,-0.18769964575767517,-0.0017382443184033036,-0.47942155599594116,-0.1406421959400177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.24741441011428833,-0.09035998582839966,-0.1004379466176033,0.48287948966026306,-0.4362746775150299,-0.13659711182117462,0.583389401435852,-0.8135740756988525,-0.16857613623142242,0.6482516527175903,-1.1502690315246582,-0.1885288506746292,0.3926094174385071,-0.9116504788398743,-0.05416402593255043,0.47530412673950195,-1.0998425483703613,-0.18243849277496338,0.4214113652706146,-0.777510404586792,-0.24476154148578644,0.3593669533729553,-0.5428749918937683,-0.2615428566932678,0.23071862757205963,-0.9717721939086914,-0.049272388219833374,0.32413068413734436,-1.1361644268035889,-0.18851162493228912,0.2816998064517975,-0.7249261736869812,-0.21986733376979828,0.23571766912937164,-0.4769689738750458,-0.20541271567344666,0.05747564136981964,-0.965888261795044,-0.06530744582414627,0.1308003067970276,-1.1383123397827148,-0.2185182124376297,0.12514954805374146,-0.701274037361145,-0.19441944360733032,0.10607147961854935,-0.450327068567276,-0.13517989218235016,-0.13301517069339752,-0.9010427594184875,-0.08667106926441193,-0.053313713520765305,-0.9821030497550964,-0.20509247481822968,-0.010493629612028599,-0.6585033535957336,-0.18807098269462585,-0.0010123185347765684,-0.47526004910469055,-0.14148294925689697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.25153058767318726,-0.09915289282798767,-0.10517764091491699,0.4855611026287079,-0.44064566493034363,-0.14481937885284424,0.585269033908844,-0.8175754547119141,-0.17992421984672546,0.6473648548126221,-1.1610503196716309,-0.20253409445285797,0.3916292190551758,-0.912753164768219,-0.05522604659199715,0.472535640001297,-1.0972585678100586,-0.1911686360836029,0.4186362028121948,-0.7727645635604858,-0.2601575553417206,0.35696476697921753,-0.5325786471366882,-0.28053101897239685,0.2294447273015976,-0.9720062017440796,-0.0505874864757061,0.32345080375671387,-1.136763572692871,-0.19809895753860474,0.28141286969184875,-0.7266445159912109,-0.23534823954105377,0.23543760180473328,-0.47411301732063293,-0.2234112173318863,0.05675669386982918,-0.9656442999839783,-0.06799746304750443,0.12765538692474365,-1.1403393745422363,-0.22766955196857452,0.12404939532279968,-0.7028859853744507,-0.20608724653720856,0.10716456919908524,-0.45026329159736633,-0.1471971571445465,-0.1332322508096695,-0.8998157978057861,-0.09134683758020401,-0.056170959025621414,-0.9780620336532593,-0.21544745564460754,-0.013826558366417885,-0.6542060971260071,-0.20077772438526154,-0.0032047051936388016,-0.4730536639690399,-0.1547301560640335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.25217533111572266,-0.10013003647327423,-0.10302869975566864,0.48662152886390686,-0.4437103569507599,-0.14158548414707184,0.5875198841094971,-0.8211445808410645,-0.17638996243476868,0.6485827565193176,-1.1668620109558105,-0.1998528242111206,0.3936692476272583,-0.9129042029380798,-0.052053146064281464,0.4736139178276062,-1.0986355543136597,-0.18742777407169342,0.41875159740448,-0.7810193300247192,-0.2587338984012604,0.35727766156196594,-0.5360120534896851,-0.2807939350605011,0.23134657740592957,-0.97170090675354,-0.047709494829177856,0.32241952419281006,-1.1397136449813843,-0.19328950345516205,0.28007349371910095,-0.7350472807884216,-0.2309248149394989,0.2357081174850464,-0.47255897521972656,-0.21943262219429016,0.05842017009854317,-0.9656976461410522,-0.06545364856719971,0.12693989276885986,-1.1430433988571167,-0.22222065925598145,0.12373191118240356,-0.7104060053825378,-0.20141568779945374,0.10884348303079605,-0.44984549283981323,-0.14345160126686096,-0.13131700456142426,-0.9001328945159912,-0.08928536623716354,-0.05627605319023132,-0.9816761612892151,-0.21166276931762695,-0.013931339606642723,-0.6603748798370361,-0.19765163958072662,-0.0021536629647016525,-0.47403737902641296,-0.15232984721660614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.25052574276924133,-0.09782009571790695,-0.10210224986076355,0.48500296473503113,-0.4396214485168457,-0.13968488574028015,0.5847916603088379,-0.8173101544380188,-0.17346376180648804,0.6460816860198975,-1.1612200736999512,-0.19556958973407745,0.3936121165752411,-0.9117112159729004,-0.05169637128710747,0.47255703806877136,-1.098203182220459,-0.1848480999469757,0.4179537296295166,-0.7811166048049927,-0.2533751130104065,0.358506441116333,-0.5392026305198669,-0.27378904819488525,0.2307269275188446,-0.9718661308288574,-0.04734151437878609,0.32188212871551514,-1.1360197067260742,-0.19196386635303497,0.27936601638793945,-0.731011688709259,-0.22868172824382782,0.23679444193840027,-0.4721679091453552,-0.21653057634830475,0.057454753667116165,-0.9669128656387329,-0.06468486040830612,0.12622863054275513,-1.1391890048980713,-0.22092418372631073,0.12218297272920609,-0.7065570950508118,-0.20030246675014496,0.10841338336467743,-0.44837504625320435,-0.1425035446882248,-0.13227412104606628,-0.9018325805664062,-0.08789042383432388,-0.057734858244657516,-0.9767369031906128,-0.20975209772586823,-0.014662888832390308,-0.6552806496620178,-0.19613201916217804,-0.0007607849547639489,-0.47056329250335693,-0.15107180178165436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.250878244638443,-0.10327925533056259,-0.10192175209522247,0.48919907212257385,-0.43950262665748596,-0.1384257823228836,0.5947995781898499,-0.8141481280326843,-0.17127172648906708,0.6305626034736633,-1.1778476238250732,-0.19233721494674683,0.3964915871620178,-0.9099571108818054,-0.052073393017053604,0.47398197650909424,-1.1050915718078613,-0.18682712316513062,0.4219343364238739,-0.7868596911430359,-0.2558254897594452,0.36299994587898254,-0.5429699420928955,-0.2753974497318268,0.23419401049613953,-0.9710040092468262,-0.04800407961010933,0.32132434844970703,-1.1461222171783447,-0.19402402639389038,0.2812356948852539,-0.7357545495033264,-0.2310185581445694,0.2393607199192047,-0.4746612310409546,-0.21850155293941498,0.06010502949357033,-0.967421293258667,-0.06564726680517197,0.1254759430885315,-1.1507623195648193,-0.22278299927711487,0.123722143471241,-0.7113981246948242,-0.20131272077560425,0.11057841777801514,-0.4485945701599121,-0.14232833683490753,-0.13130414485931396,-0.9037981033325195,-0.08923126012086868,-0.05914853885769844,-0.9873940348625183,-0.21151702105998993,-0.014819475822150707,-0.6642615795135498,-0.19715239107608795,-0.0006775723304599524,-0.47617340087890625,-0.151148721575737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
