label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
B,0.0,0.0,0.0,-0.1969144195318222,-0.1380215436220169,-0.11940474063158035,-0.33758798241615295,-0.44507458806037903,-0.19660161435604095,-0.32712042331695557,-0.7820569276809692,-0.26472288370132446,-0.19517172873020172,-0.9340552091598511,-0.3363841474056244,-0.2912878096103668,-0.9118178486824036,-0.14499105513095856,-0.329874187707901,-1.3140288591384888,-0.24894952774047852,-0.3464914560317993,-1.5847513675689697,-0.3332518935203552,-0.3487822711467743,-1.8440111875534058,-0.39868831634521484,-0.1577809751033783,-0.9746868014335632,-0.15840068459510803,-0.19566631317138672,-1.456411600112915,-0.2533082365989685,-0.2117353081703186,-1.782714605331421,-0.33228424191474915,-0.22344756126403809,-2.0918548107147217,-0.39196106791496277,-0.02436624839901924,-0.9343141913414001,-0.1847711056470871,-0.04598395153880119,-1.3701088428497314,-0.28010958433151245,-0.06066494062542915,-1.6623564958572388,-0.349831223487854,-0.07400710880756378,-1.9294383525848389,-0.398415744304657,0.1120590940117836,-0.8206437826156616,-0.2217089980840683,0.10879719257354736,-1.1506518125534058,-0.30594518780708313,0.10093612968921661,-1.3830221891403198,-0.3528989553451538,0.08880766481161118,-1.5977041721343994,-0.3877270519733429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.19431976974010468,-0.1298147588968277,-0.11445067822933197,-0.3387075960636139,-0.42977815866470337,-0.19161967933177948,-0.3232578933238983,-0.7607369422912598,-0.2597085237503052,-0.19613584876060486,-0.93868088722229,-0.3323252499103546,-0.2935732901096344,-0.912190854549408,-0.15727564692497253,-0.3319489657878876,-1.325838327407837,-0.26510509848594666,-0.3454477787017822,-1.599442720413208,-0.3509286642074585,-0.3465130031108856,-1.8598519563674927,-0.4163409471511841,-0.1589706987142563,-0.9719160199165344,-0.17351551353931427,-0.19556449353694916,-1.4646724462509155,-0.2687928378582001,-0.20907776057720184,-1.7947529554367065,-0.34763795137405396,-0.21985159814357758,-2.1083831787109375,-0.40798890590667725,-0.02453954890370369,-0.9255508184432983,-0.20111896097660065,-0.04565564543008804,-1.3736144304275513,-0.2949589490890503,-0.05790827423334122,-1.6654332876205444,-0.3617135286331177,-0.07006765902042389,-1.935400128364563,-0.4094157814979553,0.11255072057247162,-0.8037792444229126,-0.23859894275665283,0.1057911142706871,-1.1503289937973022,-0.32383936643600464,0.09497633576393127,-1.3900126218795776,-0.36982691287994385,0.08125664293766022,-1.6147651672363281,-0.40365251898765564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.19266267120838165,-0.13174796104431152,-0.11796505749225616,-0.33510449528694153,-0.4307251274585724,-0.19736088812351227,-0.32477620244026184,-0.7582002878189087,-0.26710620522499084,-0.19626566767692566,-0.929121196269989,-0.34124884009361267,-0.2933586537837982,-0.9073039889335632,-0.16050483286380768,-0.3345697820186615,-1.3146483898162842,-0.27095967531204224,-0.349485844373703,-1.5876065492630005,-0.3583489954471588,-0.3493695855140686,-1.8474763631820679,-0.4245721101760864,-0.15917328000068665,-0.9715238213539124,-0.1755145937204361,-0.1971171498298645,-1.4636163711547852,-0.2731403410434723,-0.2103329449892044,-1.797189712524414,-0.35348576307296753,-0.21930955350399017,-2.11296010017395,-0.4144630432128906,-0.024469641968607903,-0.926882803440094,-0.2021896243095398,-0.04805631935596466,-1.3693655729293823,-0.2985982596874237,-0.06262446939945221,-1.6580994129180908,-0.3674144148826599,-0.07536599040031433,-1.9241060018539429,-0.41589656472206116,0.11192931979894638,-0.8049737215042114,-0.23887421190738678,0.10390037298202515,-1.143127202987671,-0.326047420501709,0.09308843314647675,-1.3798339366912842,-0.37366312742233276,0.08086256682872772,-1.6014556884765625,-0.4083586633205414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.19360901415348053,-0.13349516689777374,-0.11165059357881546,-0.336577445268631,-0.43930771946907043,-0.18612830340862274,-0.3238038718700409,-0.7725509405136108,-0.2519911229610443,-0.19466213881969452,-0.9368841052055359,-0.3223133385181427,-0.29361504316329956,-0.9120685458183289,-0.14869573712348938,-0.33356526494026184,-1.3202087879180908,-0.2526489794254303,-0.3494383692741394,-1.5923514366149902,-0.3363580107688904,-0.35204389691352844,-1.8512238264083862,-0.400922954082489,-0.15986819565296173,-0.9732557535171509,-0.1649705022573471,-0.1974005401134491,-1.458392858505249,-0.25663432478904724,-0.2114744782447815,-1.7852842807769775,-0.33356696367263794,-0.2218921184539795,-2.0956928730010986,-0.39269137382507324,-0.025942843407392502,-0.9286941289901733,-0.19258803129196167,-0.04951752349734306,-1.3708553314208984,-0.2829059362411499,-0.061754558235406876,-1.6616660356521606,-0.34817737340927124,-0.07240704447031021,-1.9302587509155273,-0.39513692259788513,0.10953638702630997,-0.8082906603813171,-0.2300676703453064,0.10016739368438721,-1.1489874124526978,-0.31174367666244507,0.08989033102989197,-1.3867005109786987,-0.3561917841434479,0.07866257429122925,-1.6091458797454834,-0.389303982257843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.19084607064723969,-0.1368045210838318,-0.11043170839548111,-0.33296987414360046,-0.43686217069625854,-0.1875443011522293,-0.3155387341976166,-0.7562494277954102,-0.25626638531684875,-0.1873472034931183,-0.915684163570404,-0.3297424018383026,-0.29032644629478455,-0.9107580184936523,-0.15700414776802063,-0.32962027192115784,-1.318403720855713,-0.26508328318595886,-0.34178677201271057,-1.586548924446106,-0.35062238574028015,-0.34171444177627563,-1.8432930707931519,-0.4154410660266876,-0.1571490615606308,-0.9717564582824707,-0.176050066947937,-0.19733309745788574,-1.4748289585113525,-0.272177129983902,-0.21230095624923706,-1.8228009939193726,-0.3519408106803894,-0.22389666736125946,-2.1537039279937744,-0.41250091791152954,-0.02402537129819393,-0.9241188764572144,-0.20599843561649323,-0.049402981996536255,-1.3694648742675781,-0.3017507791519165,-0.06164616346359253,-1.6608467102050781,-0.37167811393737793,-0.0736553966999054,-1.9299346208572388,-0.4206632971763611,0.11257404088973999,-0.800102949142456,-0.24515865743160248,0.10355053842067719,-1.1409415006637573,-0.3321573734283447,0.0916440412402153,-1.3775050640106201,-0.3796744644641876,0.07694137841463089,-1.6004490852355957,-0.41434329748153687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.1904343217611313,-0.14324040710926056,-0.10300342738628387,-0.33232012391090393,-0.44667068123817444,-0.17323292791843414,-0.3168019652366638,-0.7712572813034058,-0.23652656376361847,-0.18846265971660614,-0.9310610890388489,-0.3040318489074707,-0.28763309121131897,-0.9145810008049011,-0.13536441326141357,-0.32786017656326294,-1.3186134099960327,-0.2347630113363266,-0.34360161423683167,-1.5813486576080322,-0.3149203956127167,-0.34684884548187256,-1.8331001996994019,-0.376883864402771,-0.15701879560947418,-0.9753286838531494,-0.15517476201057434,-0.19515658915042877,-1.45986807346344,-0.2449404001235962,-0.21170899271965027,-1.7931936979293823,-0.3218578100204468,-0.22513091564178467,-2.1127967834472656,-0.38073381781578064,-0.02692672424018383,-0.9299576878547668,-0.18611378967761993,-0.05214574560523033,-1.372786283493042,-0.27756500244140625,-0.06420112401247025,-1.6637998819351196,-0.3456019461154938,-0.07661331444978714,-1.9351822137832642,-0.3937437832355499,0.10682819783687592,-0.8084190487861633,-0.22583073377609253,0.09913037717342377,-1.1422343254089355,-0.3093244731426239,0.08853095769882202,-1.3782180547714233,-0.35502415895462036,0.07480879873037338,-1.6030772924423218,-0.38873231410980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.20335786044597626,-0.15743476152420044,-0.0917520523071289,-0.3521292805671692,-0.4568828046321869,-0.15556484460830688,-0.35044723749160767,-0.7875238656997681,-0.21599219739437103,-0.22906959056854248,-0.939565122127533,-0.28003987669944763,-0.3263540267944336,-0.9037763476371765,-0.1059354841709137,-0.3792765438556671,-1.3213061094284058,-0.1953868269920349,-0.402240514755249,-1.585773229598999,-0.26977527141571045,-0.41296669840812683,-1.835585355758667,-0.3282849192619324,-0.19577208161354065,-0.9720431566238403,-0.12963581085205078,-0.24603377282619476,-1.4513558149337769,-0.20867379009723663,-0.2729191780090332,-1.7642457485198975,-0.2790084183216095,-0.29811790585517883,-2.064296007156372,-0.3340471386909485,-0.0616162084043026,-0.9462648034095764,-0.16511540114879608,-0.09380527585744858,-1.398545742034912,-0.24490700662136078,-0.11127035319805145,-1.6977012157440186,-0.30496448278427124,-0.1307445913553238,-1.9714288711547852,-0.3491746485233307,0.07631684839725494,-0.8463552594184875,-0.20964185893535614,0.060517650097608566,-1.189315915107727,-0.2825051248073578,0.0469963513314724,-1.4285087585449219,-0.3205541968345642,0.029113497585058212,-1.6493771076202393,-0.34991422295570374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.20180800557136536,-0.14176946878433228,-0.08705688267946243,-0.3529728949069977,-0.42856550216674805,-0.15023639798164368,-0.35037481784820557,-0.7551923394203186,-0.20879226922988892,-0.23090454936027527,-0.9307093024253845,-0.2710103988647461,-0.32496377825737,-0.9034762978553772,-0.11828365176916122,-0.38098832964897156,-1.3230969905853271,-0.20693351328372955,-0.4079473912715912,-1.583961009979248,-0.2780669927597046,-0.42361611127853394,-1.8304415941238403,-0.3335857093334198,-0.1961488127708435,-0.9702383875846863,-0.1419968456029892,-0.25517717003822327,-1.4522795677185059,-0.22132927179336548,-0.287788450717926,-1.7650507688522339,-0.2897591292858124,-0.31691622734069824,-2.060192346572876,-0.34232768416404724,-0.0613219253718853,-0.9385916590690613,-0.1751120537519455,-0.10260713845491409,-1.4016058444976807,-0.25497016310691833,-0.12430518120527267,-1.6958047151565552,-0.3139573931694031,-0.14707349240779877,-1.9691523313522339,-0.3569315969944,0.07693217694759369,-0.8360093832015991,-0.2158275842666626,0.05921761691570282,-1.182223916053772,-0.2903327941894531,0.041138406842947006,-1.419793963432312,-0.32905080914497375,0.01864513009786606,-1.6460776329040527,-0.35754910111427307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.20513509213924408,-0.12716366350650787,-0.0987311527132988,-0.36297526955604553,-0.41482025384902954,-0.1640789806842804,-0.37964102625846863,-0.7509809136390686,-0.22397077083587646,-0.27108949422836304,-0.9482640624046326,-0.2869948148727417,-0.3449990153312683,-0.8858842849731445,-0.11970609426498413,-0.4167774021625519,-1.299713373184204,-0.2149331122636795,-0.4502648413181305,-1.5625219345092773,-0.29147568345069885,-0.4683423936367035,-1.8114286661148071,-0.34978464245796204,-0.22193920612335205,-0.9652905464172363,-0.13768501579761505,-0.2963787019252777,-1.4377899169921875,-0.222162663936615,-0.3392581641674042,-1.7487404346466064,-0.29431676864624023,-0.3762272298336029,-2.0376203060150146,-0.3491019308567047,-0.09003443270921707,-0.9455300569534302,-0.1676345020532608,-0.14286570250988007,-1.3954081535339355,-0.2512876093387604,-0.17416462302207947,-1.6956075429916382,-0.3163648247718811,-0.20234139263629913,-1.9626282453536987,-0.3630250096321106,0.047334905713796616,-0.8547329306602478,-0.20660081505775452,0.016289586201310158,-1.2014890909194946,-0.28311043977737427,-0.009928368031978607,-1.4383840560913086,-0.3277249038219452,-0.0376112125813961,-1.653119444847107,-0.36078447103500366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,-0.20009899139404297,-0.1151406466960907,-0.09742090851068497,-0.35316649079322815,-0.40886643528938293,-0.16134938597679138,-0.37640127539634705,-0.7418293356895447,-0.220004141330719,-0.2598361670970917,-0.9252910017967224,-0.28154677152633667,-0.3369678854942322,-0.8916102051734924,-0.10983946919441223,-0.3996657729148865,-1.2837886810302734,-0.2001955658197403,-0.4332978129386902,-1.5402541160583496,-0.2760297358036041,-0.4526442587375641,-1.7830753326416016,-0.33553263545036316,-0.21630848944187164,-0.9679126739501953,-0.12788942456245422,-0.2832043468952179,-1.41836416721344,-0.2100401520729065,-0.32369011640548706,-1.7214350700378418,-0.2832655608654022,-0.36120930314064026,-2.0111029148101807,-0.3385012745857239,-0.08588001877069473,-0.9451031684875488,-0.15759137272834778,-0.1387997269630432,-1.3790539503097534,-0.24051478505134583,-0.17457494139671326,-1.664872646331787,-0.3052026629447937,-0.20838654041290283,-1.9306296110153198,-0.35139644145965576,0.04860671982169151,-0.8471085429191589,-0.1962791532278061,0.021300340071320534,-1.1747488975524902,-0.2731623351573944,-0.003762145061045885,-1.4015449285507202,-0.31757694482803345,-0.031372930854558945,-1.6144181489944458,-0.3501403033733368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
