label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
C,0.0,0.0,0.0,0.23146824538707733,-0.21966245770454407,0.027766527608036995,0.439214825630188,-0.5029056668281555,0.008387249894440174,0.6178380846977234,-0.6689020395278931,-0.031216412782669067,0.7354867458343506,-0.7565690279006958,-0.06319019198417664,0.10492175072431564,-1.0124927759170532,0.05984504148364067,0.30204764008522034,-1.3790364265441895,-0.016482707113027573,0.49470704793930054,-1.4046882390975952,-0.10329996049404144,0.6623705625534058,-1.3048834800720215,-0.15959841012954712,0.09134926646947861,-0.9958065152168274,-0.004974117502570152,0.3600463569164276,-1.5156946182250977,-0.1216312125325203,0.5575495362281799,-1.4360407590866089,-0.22838427126407623,0.6779632568359375,-1.2132453918457031,-0.27831706404685974,0.10363373905420303,-0.9533049464225769,-0.06941497325897217,0.2958833575248718,-1.4123848676681519,-0.14087654650211334,0.4955589771270752,-1.3967840671539307,-0.191981703042984,0.6232069730758667,-1.227663516998291,-0.21099308133125305,0.15868909657001495,-0.8684588670730591,-0.1353822499513626,0.3006669878959656,-1.2055975198745728,-0.15892301499843597,0.44625547528266907,-1.259387493133545,-0.16646906733512878,0.5617395043373108,-1.2060874700546265,-0.1671595573425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.2300596982240677,-0.2197006195783615,0.021082445979118347,0.4384559392929077,-0.5041981339454651,-0.003233748720958829,0.618331253528595,-0.6714140176773071,-0.04630677029490471,0.734514057636261,-0.7578403353691101,-0.08152182400226593,0.09662847965955734,-1.0155357122421265,0.04730986803770065,0.292373925447464,-1.394141435623169,-0.034133270382881165,0.4881816804409027,-1.4215291738510132,-0.12412112206220627,0.6592113375663757,-1.3166886568069458,-0.18197137117385864,0.08602381497621536,-0.9961769580841064,-0.015207347460091114,0.3556881546974182,-1.5256237983703613,-0.13671086728572845,0.5543941259384155,-1.4470261335372925,-0.246119886636734,0.6750357747077942,-1.2227604389190674,-0.2975813150405884,0.10017407685518265,-0.9528735876083374,-0.07741933315992355,0.2919425666332245,-1.4154369831085205,-0.15209922194480896,0.4931556284427643,-1.40425443649292,-0.20569032430648804,0.6215721368789673,-1.234410285949707,-0.22623062133789062,0.1560084968805313,-0.8671645522117615,-0.14154011011123657,0.29586103558540344,-1.2055885791778564,-0.1667521446943283,0.44196343421936035,-1.2632392644882202,-0.17616230249404907,0.5580540299415588,-1.2107453346252441,-0.1784108430147171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.23904427886009216,-0.21324095129966736,0.03553462028503418,0.4396314322948456,-0.4902326166629791,0.021337201818823814,0.6133431792259216,-0.6502468585968018,-0.016492875292897224,0.733661413192749,-0.7431449890136719,-0.04875746741890907,0.1198955699801445,-1.005129337310791,0.0712377279996872,0.3054165244102478,-1.3407236337661743,-0.002852112054824829,0.49014294147491455,-1.3645933866500854,-0.08578193932771683,0.6498816609382629,-1.274726390838623,-0.14004571735858917,0.10036175698041916,-0.9949499368667603,0.0014723265776410699,0.3516414761543274,-1.4895035028457642,-0.11111145466566086,0.5489892363548279,-1.4193954467773438,-0.2131747007369995,0.6726101636886597,-1.20847487449646,-0.26128584146499634,0.10871703177690506,-0.9576265811920166,-0.0691971555352211,0.2922919988632202,-1.3890904188156128,-0.1430862694978714,0.49299347400665283,-1.3748762607574463,-0.19687774777412415,0.6210267543792725,-1.2114038467407227,-0.21725234389305115,0.1551457792520523,-0.8773061633110046,-0.14097028970718384,0.2934149503707886,-1.2048410177230835,-0.17513273656368256,0.4408695101737976,-1.2573316097259521,-0.19188420474529266,0.5596656799316406,-1.2001656293869019,-0.1978873610496521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.2385537028312683,-0.2157011479139328,0.04616529121994972,0.4322032034397125,-0.4925413429737091,0.038335468620061874,0.6021170020103455,-0.6417388916015625,0.0022469679825007915,0.7300674319267273,-0.7400340437889099,-0.02983807772397995,0.13650037348270416,-0.9948226809501648,0.09627342969179153,0.31378373503685,-1.3259303569793701,0.02872210554778576,0.4941909611225128,-1.3416603803634644,-0.04845554381608963,0.6386643052101135,-1.244693636894226,-0.09686373174190521,0.10852442681789398,-0.993821918964386,0.023249110206961632,0.34358692169189453,-1.4655801057815552,-0.07694443315267563,0.5389766693115234,-1.3937828540802002,-0.17060865461826324,0.6545026898384094,-1.1823853254318237,-0.21336205303668976,0.11189822852611542,-0.9604993462562561,-0.05231067165732384,0.28725898265838623,-1.4013277292251587,-0.11901358515024185,0.4836224913597107,-1.376866102218628,-0.16706041991710663,0.6017701029777527,-1.2136905193328857,-0.18328024446964264,0.15180137753486633,-0.88639897108078,-0.12816675007343292,0.2902644872665405,-1.2211967706680298,-0.15852592885494232,0.4341144263744354,-1.262318730354309,-0.16985303163528442,0.5416570901870728,-1.1987035274505615,-0.17078152298927307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.24274942278862,-0.21833838522434235,0.034417349845170975,0.44492483139038086,-0.4986523687839508,0.02319337986409664,0.6218308210372925,-0.6543457508087158,-0.014794746413826942,0.7454448342323303,-0.7576183676719666,-0.04716825112700462,0.13016605377197266,-1.0003037452697754,0.09665786474943161,0.3099660575389862,-1.3409080505371094,0.02526799961924553,0.49903401732444763,-1.3657984733581543,-0.05811625346541405,0.6588364839553833,-1.2722200155258179,-0.11146591603755951,0.10929300636053085,-0.9936088919639587,0.028221091255545616,0.3510078191757202,-1.4814293384552002,-0.08505460619926453,0.5549905896186829,-1.4125330448150635,-0.19265776872634888,0.6808339357376099,-1.1961445808410645,-0.2425120621919632,0.11599383503198624,-0.9632518291473389,-0.043675266206264496,0.2896159291267395,-1.41706383228302,-0.11875727027654648,0.4960298240184784,-1.402790904045105,-0.1784200221300125,0.6233730912208557,-1.2338671684265137,-0.20045776665210724,0.15774080157279968,-0.8958404660224915,-0.11687309294939041,0.29795658588409424,-1.2404167652130127,-0.14821231365203857,0.44904616475105286,-1.2872610092163086,-0.16460278630256653,0.5650693774223328,-1.2175227403640747,-0.1694287657737732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.23850592970848083,-0.21844905614852905,0.03722841292619705,0.4381214380264282,-0.4963915944099426,0.026697808876633644,0.6126278042793274,-0.6481835842132568,-0.010605632327497005,0.7342069745063782,-0.7582380175590515,-0.043047428131103516,0.12718208134174347,-0.9990930557250977,0.09723836183547974,0.3016962707042694,-1.3359543085098267,0.030191421508789062,0.48824018239974976,-1.361503005027771,-0.049411311745643616,0.6418160200119019,-1.26969575881958,-0.10055253654718399,0.10394253581762314,-0.9941787719726562,0.028362924233078957,0.3401365578174591,-1.4786653518676758,-0.07795650511980057,0.543601930141449,-1.4100100994110107,-0.18136394023895264,0.6649263501167297,-1.197462558746338,-0.2298533022403717,0.1084454283118248,-0.9636745452880859,-0.04345361888408661,0.28042611479759216,-1.4191913604736328,-0.11422237753868103,0.48464134335517883,-1.4040509462356567,-0.17074096202850342,0.608026921749115,-1.2365083694458008,-0.19181114435195923,0.1487579494714737,-0.8895233273506165,-0.11603941768407822,0.28861671686172485,-1.2350776195526123,-0.14672879874706268,0.44010838866233826,-1.2844704389572144,-0.16215083003044128,0.5544270277023315,-1.2185693979263306,-0.16642965376377106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.24313215911388397,-0.22844579815864563,0.04947518929839134,0.4318644404411316,-0.5093818306922913,0.037787970155477524,0.5991610288619995,-0.6464459896087646,-0.0042514498345553875,0.7241305112838745,-0.7337824106216431,-0.044159095734357834,0.14290519058704376,-1.0007150173187256,0.08827883750200272,0.30041271448135376,-1.3552470207214355,0.019944459199905396,0.4863646626472473,-1.3637199401855469,-0.05581817403435707,0.6301534175872803,-1.2627322673797607,-0.10312105715274811,0.10838019847869873,-0.9940386414527893,0.011869894340634346,0.3262157738208771,-1.4653369188308716,-0.08522988855838776,0.5316269397735596,-1.3896820545196533,-0.17845560610294342,0.6493360996246338,-1.187901258468628,-0.2233552783727646,0.10690009593963623,-0.9598618149757385,-0.06656147539615631,0.2797427177429199,-1.389915943145752,-0.13190463185310364,0.4817124903202057,-1.3631443977355957,-0.18283414840698242,0.599919319152832,-1.2062714099884033,-0.20249676704406738,0.14423595368862152,-0.8801700472831726,-0.14448857307434082,0.28273457288742065,-1.2130340337753296,-0.17361386120319366,0.428859680891037,-1.2616465091705322,-0.18665426969528198,0.5340080857276917,-1.2063376903533936,-0.19030024111270905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.2585633099079132,-0.22721818089485168,0.06747877597808838,0.4304508566856384,-0.5132924318313599,0.0721212849020958,0.5892243981361389,-0.6497952342033386,0.04278549924492836,0.7162048816680908,-0.7380267977714539,0.01496885996311903,0.14650629460811615,-0.9949514269828796,0.1211777925491333,0.2996845841407776,-1.3407851457595825,0.06858357042074203,0.47856929898262024,-1.3469430208206177,0.003838293021544814,0.6100768446922302,-1.250545620918274,-0.038464538753032684,0.10310013592243195,-0.9938679933547974,0.03996174409985542,0.30473408102989197,-1.4430030584335327,-0.03360271826386452,0.5059855580329895,-1.3917115926742554,-0.11099791526794434,0.6278911232948303,-1.2165324687957764,-0.15148544311523438,0.09952433407306671,-0.9560899138450623,-0.04434433951973915,0.282889187335968,-1.3649605512619019,-0.09699749946594238,0.47887617349624634,-1.34677255153656,-0.1395013928413391,0.5968973636627197,-1.2084681987762451,-0.15861763060092926,0.13873670995235443,-0.8793874979019165,-0.12753131985664368,0.28187295794487,-1.1905397176742554,-0.15645380318164825,0.41977259516716003,-1.234710931777954,-0.16859446465969086,0.5195662379264832,-1.1872689723968506,-0.17346152663230896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.25246140360832214,-0.22811610996723175,0.0748872384428978,0.4214686453342438,-0.5120899677276611,0.08651188760995865,0.5724753141403198,-0.6451888680458069,0.06331277638673782,0.694038450717926,-0.7239999771118164,0.041913408786058426,0.1433163434267044,-0.9952433109283447,0.12845741212368011,0.2908584773540497,-1.3268334865570068,0.07344751060009003,0.47142311930656433,-1.3260759115219116,0.008069077506661415,0.603053867816925,-1.2160131931304932,-0.03243041783571243,0.10525615513324738,-0.9933834075927734,0.04593819007277489,0.3029170632362366,-1.4361834526062012,-0.029411202296614647,0.5049178600311279,-1.3819934129714966,-0.1069222241640091,0.6255450248718262,-1.204257607460022,-0.14514467120170593,0.10626894235610962,-0.9543014764785767,-0.0395900160074234,0.27973780035972595,-1.35892915725708,-0.09378479421138763,0.4747760593891144,-1.3359017372131348,-0.1377260833978653,0.5892189145088196,-1.1952672004699707,-0.15559729933738708,0.14771881699562073,-0.8698468804359436,-0.12305647134780884,0.28728553652763367,-1.1834461688995361,-0.15575309097766876,0.4256415367126465,-1.2253727912902832,-0.17151542007923126,0.5246947407722473,-1.172472596168518,-0.17672894895076752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.24538926780223846,-0.25263285636901855,0.03841862827539444,0.43712151050567627,-0.5462327599525452,0.02374166063964367,0.6065006852149963,-0.6996232867240906,-0.016949310898780823,0.7106624245643616,-0.7943835258483887,-0.05265132710337639,0.09713248163461685,-1.0212781429290771,0.07808487862348557,0.26977139711380005,-1.4088897705078125,-0.0022255191579461098,0.4637209177017212,-1.4369864463806152,-0.09418948739767075,0.6261219382286072,-1.3342095613479614,-0.15414905548095703,0.07421524822711945,-0.9972333312034607,0.004216885194182396,0.31871497631073,-1.5268354415893555,-0.11877928674221039,0.5231579542160034,-1.4412517547607422,-0.239375039935112,0.6440212726593018,-1.2298989295959473,-0.2996184229850769,0.07915587723255157,-0.9553632140159607,-0.07008622586727142,0.25612595677375793,-1.4195576906204224,-0.1476605087518692,0.46069005131721497,-1.4145292043685913,-0.2130119502544403,0.5892791152000427,-1.2588489055633545,-0.24236376583576202,0.12989749014377594,-0.8646713495254517,-0.14473460614681244,0.2583855986595154,-1.2192482948303223,-0.17294873297214508,0.4015224874019623,-1.295037865638733,-0.1899603009223938,0.5130494832992554,-1.2647584676742554,-0.19976580142974854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
