label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
D,0.0,0.0,0.0,0.1362648606300354,-0.22962047159671783,-0.0788792297244072,0.1868187040090561,-0.6104830503463745,-0.11204300075769424,0.106041818857193,-0.866873025894165,-0.1454095095396042,0.030715756118297577,-1.0215959548950195,-0.1731257289648056,0.07800136506557465,-1.0185497999191284,-0.019990980625152588,0.11858022212982178,-1.3936729431152344,-0.07751565426588058,0.1759888380765915,-1.6518516540527344,-0.13323193788528442,0.22211496531963348,-1.8528265953063965,-0.1740855723619461,-0.05812235549092293,-0.9980316758155823,-0.023547938093543053,-0.11528023332357407,-1.302189826965332,-0.10081062465906143,-0.05407694727182388,-1.3919167518615723,-0.15190711617469788,0.019654326140880585,-1.4021698236465454,-0.1767553836107254,-0.1683933287858963,-0.9103331565856934,-0.040974054485559464,-0.26500776410102844,-1.2547054290771484,-0.12512046098709106,-0.16495469212532043,-1.350466251373291,-0.1509435623884201,-0.0545099675655365,-1.3609459400177002,-0.15511809289455414,-0.2529245615005493,-0.762748122215271,-0.06722074002027512,-0.2712152600288391,-1.030863881111145,-0.142145037651062,-0.21248041093349457,-1.1416057348251343,-0.16353532671928406,-0.14552046358585358,-1.1819064617156982,-0.16843661665916443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.13198043406009674,-0.20532289147377014,-0.08814329653978348,0.18624664843082428,-0.5292342305183411,-0.12301045656204224,0.09284335374832153,-0.7889030575752258,-0.15695752203464508,-0.008596979081630707,-0.9679407477378845,-0.18650873005390167,0.17154450714588165,-0.9870637059211731,-0.01374065037816763,0.20316043496131897,-1.3691561222076416,-0.07527611404657364,0.22241634130477905,-1.6337089538574219,-0.1326633095741272,0.24421550333499908,-1.8159316778182983,-0.1724855899810791,0.03776485472917557,-0.9991412162780762,-0.017050176858901978,0.020436624065041542,-1.3863513469696045,-0.12448332458734512,0.0044875540770590305,-1.360081434249878,-0.19895321130752563,0.012673651799559593,-1.2201651334762573,-0.22426842153072357,-0.0819549486041069,-0.9395080208778381,-0.033807363361120224,-0.11620042473077774,-1.2829351425170898,-0.12675033509731293,-0.10299120843410492,-1.3289275169372559,-0.17781862616539001,-0.06707976013422012,-1.2526880502700806,-0.1896687000989914,-0.19594576954841614,-0.8168044090270996,-0.05911775305867195,-0.25727787613868713,-1.0977120399475098,-0.12702426314353943,-0.24156491458415985,-1.1866683959960938,-0.1570059359073639,-0.197056382894516,-1.1744416952133179,-0.16459111869335175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.13588184118270874,-0.2234746217727661,-0.08858136832714081,0.19700290262699127,-0.5362045168876648,-0.127815380692482,0.10760064423084259,-0.7949149012565613,-0.16610179841518402,0.008021674118936062,-0.970661461353302,-0.2014876902103424,0.18082033097743988,-0.9886155128479004,-0.0397975817322731,0.2173863649368286,-1.4369081258773804,-0.09699216485023499,0.23454923927783966,-1.735508680343628,-0.14783501625061035,0.2513434886932373,-1.9547756910324097,-0.18568453192710876,0.042128484696149826,-0.9981536865234375,-0.04375387728214264,0.023714451119303703,-1.3741315603256226,-0.15603934228420258,9.028448403114453e-05,-1.3423609733581543,-0.22839227318763733,0.0003676014894153923,-1.2000722885131836,-0.25218939781188965,-0.08200396597385406,-0.9336372017860413,-0.05782865732908249,-0.12018773704767227,-1.2884916067123413,-0.1487998366355896,-0.11463503539562225,-1.315652847290039,-0.19419458508491516,-0.0846785381436348,-1.2091718912124634,-0.20412714779376984,-0.19906508922576904,-0.8078894019126892,-0.080861397087574,-0.2660520672798157,-1.0910764932632446,-0.15076574683189392,-0.24942904710769653,-1.1583178043365479,-0.18037481606006622,-0.199302077293396,-1.104539394378662,-0.1865505427122116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.134488046169281,-0.17476384341716766,-0.09900034219026566,0.21286267042160034,-0.4809440076351166,-0.14282231032848358,0.11833115667104721,-0.7330297231674194,-0.18689300119876862,0.014803090132772923,-0.936636209487915,-0.22918446362018585,0.1973700076341629,-0.9852573275566101,-0.04396985098719597,0.24109597504138947,-1.4324339628219604,-0.10104600340127945,0.26309216022491455,-1.7187716960906982,-0.15478548407554626,0.2787586748600006,-1.9356812238693237,-0.19766058027744293,0.06210499256849289,-0.99697345495224,-0.04676518961787224,0.05667604133486748,-1.3817987442016602,-0.16380493342876434,0.05780213326215744,-1.2663360834121704,-0.25666379928588867,0.07067638635635376,-1.067380666732788,-0.29875266551971436,-0.059759970754384995,-0.9526018500328064,-0.05807270482182503,-0.08069221675395966,-1.2992992401123047,-0.14828668534755707,-0.07749532908201218,-1.2736129760742188,-0.21784906089305878,-0.06489873677492142,-1.1069695949554443,-0.24896392226219177,-0.17294536530971527,-0.8465995788574219,-0.07808012515306473,-0.22998815774917603,-1.1280943155288696,-0.13974037766456604,-0.2112060785293579,-1.1978009939193726,-0.18364763259887695,-0.17249883711338043,-1.1528115272521973,-0.20754709839820862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.14767207205295563,-0.160735085606575,-0.10879011452198029,0.2321249544620514,-0.4536852538585663,-0.15411223471164703,0.13962186872959137,-0.6891341805458069,-0.19953767955303192,0.042381059378385544,-0.890457808971405,-0.2430412918329239,0.22460803389549255,-0.9863588809967041,-0.046648792922496796,0.2732962369918823,-1.4469504356384277,-0.10681796073913574,0.2996123135089874,-1.722324252128601,-0.16288918256759644,0.3252169191837311,-1.9342094659805298,-0.2069261521100998,0.08318614959716797,-0.9955511093139648,-0.04424956813454628,0.08635742217302322,-1.3716553449630737,-0.168592631816864,0.06088598817586899,-1.2055810689926147,-0.26305997371673584,0.06571841239929199,-0.9999845623970032,-0.30392026901245117,-0.04759901762008667,-0.9524649977684021,-0.05208418518304825,-0.05890313535928726,-1.2839709520339966,-0.1531694084405899,-0.06724068522453308,-1.207029938697815,-0.2231307476758957,-0.054206833243370056,-1.0148199796676636,-0.24994705617427826,-0.16387994587421417,-0.8540318012237549,-0.0693294033408165,-0.21520085632801056,-1.1399540901184082,-0.14084625244140625,-0.19814898073673248,-1.1608179807662964,-0.183918297290802,-0.1559218019247055,-1.058983564376831,-0.2032105028629303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.14290443062782288,-0.15933337807655334,-0.10287132114171982,0.22938096523284912,-0.44260209798812866,-0.15234273672103882,0.13630995154380798,-0.6818296313285828,-0.2005189061164856,0.028853347525000572,-0.8663697242736816,-0.24738645553588867,0.2213396281003952,-0.9695562124252319,-0.06472177058458328,0.26482805609703064,-1.4214726686477661,-0.12890055775642395,0.29361459612846375,-1.7055743932724,-0.18496228754520416,0.3163808584213257,-1.9254010915756226,-0.22915597259998322,0.08133231848478317,-0.9944179058074951,-0.0672161653637886,0.08429136872291565,-1.3683702945709229,-0.19049349427223206,0.06891725212335587,-1.1997860670089722,-0.2721635401248932,0.07237694412469864,-0.9814812541007996,-0.3037516474723816,-0.04835078492760658,-0.9485781192779541,-0.078557088971138,-0.06704849749803543,-1.29168701171875,-0.1781340390443802,-0.0691463053226471,-1.2165231704711914,-0.2319069355726242,-0.05784798786044121,-1.030765414237976,-0.24789898097515106,-0.16629290580749512,-0.8395909667015076,-0.09879784286022186,-0.217296302318573,-1.1207554340362549,-0.16860659420490265,-0.19555945694446564,-1.1491185426712036,-0.20121979713439941,-0.1541064828634262,-1.0603631734848022,-0.21267321705818176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.14161138236522675,-0.15049880743026733,-0.11164337396621704,0.2263115644454956,-0.4372979700565338,-0.16336336731910706,0.12763787806034088,-0.6818430423736572,-0.2132052332162857,0.02440280094742775,-0.8852694630622864,-0.2612016499042511,0.22444431483745575,-0.9738133549690247,-0.06987132877111435,0.26691219210624695,-1.431227445602417,-0.1366579830646515,0.29309818148612976,-1.7148783206939697,-0.19356733560562134,0.3167029023170471,-1.9392015933990479,-0.23788151144981384,0.08445291966199875,-0.9940992593765259,-0.06807727366685867,0.08369548618793488,-1.3490575551986694,-0.19442668557167053,0.05779450014233589,-1.1666713953018188,-0.27787068486213684,0.061636634171009064,-0.9559575915336609,-0.3103748857975006,-0.0453798845410347,-0.9487010836601257,-0.07585902512073517,-0.06346520036458969,-1.2770670652389526,-0.1815096139907837,-0.07410172373056412,-1.1794646978378296,-0.2354118376970291,-0.064589723944664,-0.987079918384552,-0.24947446584701538,-0.16168616712093353,-0.8440591096878052,-0.09312563389539719,-0.21661216020584106,-1.133154273033142,-0.1678885966539383,-0.20052894949913025,-1.1438968181610107,-0.2002253532409668,-0.16146695613861084,-1.0382695198059082,-0.20941844582557678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.13609597086906433,-0.15707814693450928,-0.10301537811756134,0.2225015014410019,-0.43675610423088074,-0.1543714553117752,0.1311485469341278,-0.6740010380744934,-0.20521149039268494,0.015246840193867683,-0.8461012840270996,-0.2548646628856659,0.21241354942321777,-0.9676481485366821,-0.06705504655838013,0.25586363673210144,-1.4197893142700195,-0.13179220259189606,0.28422266244888306,-1.7052727937698364,-0.18713907897472382,0.3043133616447449,-1.9330400228500366,-0.23050089180469513,0.07317832112312317,-0.9948022961616516,-0.0708051323890686,0.08258276432752609,-1.3730225563049316,-0.19230863451957703,0.06655987352132797,-1.185420036315918,-0.2650830149650574,0.05859716981649399,-0.9657732844352722,-0.2891627252101898,-0.05565227195620537,-0.9518334269523621,-0.08341939002275467,-0.06707923859357834,-1.3066773414611816,-0.18359270691871643,-0.0601954385638237,-1.17536461353302,-0.21883153915405273,-0.051881857216358185,-0.9629178643226624,-0.21895790100097656,-0.171640545129776,-0.848793089389801,-0.1056395024061203,-0.21761663258075714,-1.1445088386535645,-0.1731192022562027,-0.19344471395015717,-1.1295616626739502,-0.18913282454013824,-0.16130855679512024,-1.0118696689605713,-0.18623298406600952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.14298638701438904,-0.14973843097686768,-0.10003664344549179,0.2334088832139969,-0.4168599545955658,-0.15247206389904022,0.13458757102489471,-0.636358916759491,-0.20564627647399902,0.008750736713409424,-0.7922970652580261,-0.2590804994106293,0.22385427355766296,-0.9676721692085266,-0.06900166720151901,0.26316285133361816,-1.4130098819732666,-0.13575232028961182,0.2923632264137268,-1.6927365064620972,-0.1920114904642105,0.31554046273231506,-1.9230329990386963,-0.23595906794071198,0.08212000876665115,-0.9938910603523254,-0.07373448461294174,0.08514830470085144,-1.3339754343032837,-0.19273169338703156,0.06992711126804352,-1.1175872087478638,-0.2608368694782257,0.07093523442745209,-0.9013541340827942,-0.28310027718544006,-0.05008329451084137,-0.9469093680381775,-0.08708452433347702,-0.06732413917779922,-1.2786133289337158,-0.18685002624988556,-0.06290731579065323,-1.1169790029525757,-0.21405956149101257,-0.05181599035859108,-0.9043602347373962,-0.20909331738948822,-0.16936902701854706,-0.8377794623374939,-0.10972396284341812,-0.21562892198562622,-1.1318283081054688,-0.17759189009666443,-0.19016003608703613,-1.0781329870224,-0.18564556539058685,-0.15719512104988098,-0.9281601309776306,-0.175882950425148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.14328870177268982,-0.14820638298988342,-0.10065726935863495,0.23298853635787964,-0.412505567073822,-0.1532098352909088,0.1357530951499939,-0.6346526741981506,-0.20576366782188416,0.00914964359253645,-0.787139356136322,-0.25820741057395935,0.22193878889083862,-0.9676629900932312,-0.06886066496372223,0.25940513610839844,-1.412807583808899,-0.1357518434524536,0.28531771898269653,-1.692558765411377,-0.191775843501091,0.30738985538482666,-1.9260711669921875,-0.235434889793396,0.08077681064605713,-0.9940396547317505,-0.07321437448263168,0.08466999232769012,-1.3458274602890015,-0.19113364815711975,0.06814666092395782,-1.1256669759750366,-0.2564678192138672,0.07074011862277985,-0.9073514342308044,-0.27577152848243713,-0.051936935633420944,-0.9463911056518555,-0.0863286629319191,-0.06887179613113403,-1.2892348766326904,-0.1856454759836197,-0.06752265244722366,-1.1218962669372559,-0.20901577174663544,-0.05809108167886734,-0.9070789813995361,-0.20015579462051392,-0.17115844786167145,-0.834824800491333,-0.10886465013027191,-0.21594460308551788,-1.1350022554397583,-0.1759234517812729,-0.19183355569839478,-1.0806297063827515,-0.181057408452034,-0.1612018346786499,-0.9289541244506836,-0.16838829219341278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
