label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
E,0.0,0.0,0.0,-0.1798412948846817,-0.1508086770772934,-0.07605628669261932,-0.3249691426753998,-0.4352889955043793,-0.14218980073928833,-0.2729682922363281,-0.6778803467750549,-0.21957069635391235,-0.09012956917285919,-0.6817111372947693,-0.28944337368011475,-0.26578301191329956,-0.9383307099342346,-0.04970826581120491,-0.30245545506477356,-1.2888675928115845,-0.17287300527095795,-0.3300362229347229,-1.076459288597107,-0.25978943705558777,-0.300828218460083,-0.8458932638168335,-0.30639323592185974,-0.13807860016822815,-0.9873863458633423,-0.07747600227594376,-0.1520531177520752,-1.446205735206604,-0.20489248633384705,-0.2004965841770172,-1.192684292793274,-0.2582482099533081,-0.18905793130397797,-0.9251564145088196,-0.2658950388431549,-0.007364076562225819,-0.9524412751197815,-0.12371258437633514,0.00038982139085419476,-1.420865535736084,-0.22050245106220245,-0.06844811886548996,-1.1932448148727417,-0.23503801226615906,-0.07659224420785904,-0.9327207207679749,-0.21899627149105072,0.12938320636749268,-0.8539958596229553,-0.18057683110237122,0.11021585017442703,-1.1830837726593018,-0.23117640614509583,0.0405692383646965,-1.0782337188720703,-0.23225350677967072,0.022929318249225616,-0.8985639214515686,-0.22099395096302032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.17550799250602722,-0.13973578810691833,-0.0769726112484932,-0.321280300617218,-0.42328932881355286,-0.1430843472480774,-0.2675059735774994,-0.6683846116065979,-0.21958157420158386,-0.07981612533330917,-0.6739609241485596,-0.287923127412796,-0.26235654950141907,-0.940176248550415,-0.051234256476163864,-0.2985709309577942,-1.2774462699890137,-0.1732780486345291,-0.3220962584018707,-1.065572738647461,-0.25881317257881165,-0.2899264097213745,-0.8359301686286926,-0.3047354519367218,-0.13354606926441193,-0.9880024790763855,-0.07756689935922623,-0.1439552903175354,-1.4315516948699951,-0.20505906641483307,-0.1910087615251541,-1.181484580039978,-0.25759243965148926,-0.17941217124462128,-0.9171427488327026,-0.2645959258079529,-0.003593808738514781,-0.9495710134506226,-0.12219822406768799,0.005074299871921539,-1.4017071723937988,-0.21940164268016815,-0.061600927263498306,-1.173275351524353,-0.23122334480285645,-0.06881490349769592,-0.9189908504486084,-0.2130870521068573,0.13239814341068268,-0.8508421778678894,-0.17739658057689667,0.11309626698493958,-1.1675374507904053,-0.23031853139400482,0.04928668960928917,-1.060961365699768,-0.23117437958717346,0.037185702472925186,-0.8859539031982422,-0.21863389015197754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.18161940574645996,-0.1383153647184372,-0.07979383319616318,-0.3261369466781616,-0.43443769216537476,-0.14612306654453278,-0.2758258879184723,-0.6831198334693909,-0.22317659854888916,-0.09549013525247574,-0.6875134706497192,-0.29254385828971863,-0.26566970348358154,-0.9311318397521973,-0.05294925719499588,-0.30498072504997253,-1.2895276546478271,-0.17893749475479126,-0.3317089080810547,-1.0871857404708862,-0.2677486538887024,-0.30110472440719604,-0.852338433265686,-0.3157811462879181,-0.13554473221302032,-0.9874507188796997,-0.0810469463467598,-0.14852431416511536,-1.4547014236450195,-0.2134813815355301,-0.19813279807567596,-1.1986888647079468,-0.2715303301811218,-0.1853521168231964,-0.9278576374053955,-0.2816970646381378,-0.0047723944298923016,-0.9544621706008911,-0.12771771848201752,0.004218391142785549,-1.4248991012573242,-0.22762218117713928,-0.06502539664506912,-1.1921203136444092,-0.24243666231632233,-0.07067639380693436,-0.9339516758918762,-0.22652097046375275,0.13254834711551666,-0.8572252988815308,-0.18537166714668274,0.1093040481209755,-1.1787995100021362,-0.23771969974040985,0.04132915660738945,-1.0620157718658447,-0.23823216557502747,0.029211008921265602,-0.8788699507713318,-0.2267238199710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.179236501455307,-0.13827747106552124,-0.07727821171283722,-0.3247383236885071,-0.4345853328704834,-0.14230333268642426,-0.27163204550743103,-0.678884744644165,-0.21867404878139496,-0.08991921693086624,-0.6781285405158997,-0.2879163324832916,-0.2653042674064636,-0.9309468865394592,-0.05078267306089401,-0.30700168013572693,-1.2832598686218262,-0.1762910783290863,-0.3337092697620392,-1.0811797380447388,-0.2647823095321655,-0.3043357729911804,-0.8494943380355835,-0.3123186528682709,-0.13519719243049622,-0.9876037240028381,-0.07975364476442337,-0.15164081752300262,-1.4510445594787598,-0.21156559884548187,-0.19960685074329376,-1.190572738647461,-0.2680644690990448,-0.18666188418865204,-0.9198305606842041,-0.2767060697078705,-0.003565277671441436,-0.9548365473747253,-0.127211332321167,0.0045548053458333015,-1.4247117042541504,-0.2277710735797882,-0.06288943439722061,-1.183894395828247,-0.24190545082092285,-0.06837480515241623,-0.9213651418685913,-0.22462962567806244,0.13502292335033417,-0.8570975661277771,-0.1854008138179779,0.11487293988466263,-1.180572271347046,-0.23834538459777832,0.04629568010568619,-1.0642668008804321,-0.23882190883159637,0.03202551603317261,-0.8811895847320557,-0.22681739926338196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.17657333612442017,-0.12781432271003723,-0.07993241399526596,-0.329811692237854,-0.4023169279098511,-0.14435164630413055,-0.2860051691532135,-0.6546869874000549,-0.21678262948989868,-0.10929729044437408,-0.6697246432304382,-0.2806749641895294,-0.2826286554336548,-0.9155845046043396,-0.055207330733537674,-0.32659098505973816,-1.2593505382537842,-0.17291733622550964,-0.3481927812099457,-1.0780261754989624,-0.25804221630096436,-0.3154643476009369,-0.8537324666976929,-0.3041470944881439,-0.15077275037765503,-0.9855369925498962,-0.07735908776521683,-0.1804182231426239,-1.4362667798995972,-0.19616444408893585,-0.2199157029390335,-1.2133926153182983,-0.24832592904567719,-0.20058239996433258,-0.9500248432159424,-0.25723621249198914,-0.015905460342764854,-0.9645141363143921,-0.11738087236881256,-0.024702418595552444,-1.413670539855957,-0.20442168414592743,-0.0828392505645752,-1.229479432106018,-0.22233036160469055,-0.08578065782785416,-0.9856274127960205,-0.21251726150512695,0.12319168448448181,-0.8724462389945984,-0.16871421039104462,0.10168351233005524,-1.1719739437103271,-0.21665902435779572,0.039566654711961746,-1.1099756956100464,-0.22374556958675385,0.024358753114938736,-0.9567305445671082,-0.21830637753009796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.17957831919193268,-0.1321769505739212,-0.07390359044075012,-0.33657214045524597,-0.4018046259880066,-0.1353684812784195,-0.3028799891471863,-0.6699666380882263,-0.20616404712200165,-0.12954957783222198,-0.7034437656402588,-0.26862072944641113,-0.2918538749217987,-0.9124084711074829,-0.0438733734190464,-0.3427883982658386,-1.2582906484603882,-0.15700344741344452,-0.3694777488708496,-1.0770013332366943,-0.23809419572353363,-0.33787810802459717,-0.8610592484474182,-0.2819516956806183,-0.1644216626882553,-0.9840415716171265,-0.06802793592214584,-0.2049274444580078,-1.425308108329773,-0.18113607168197632,-0.2465592473745346,-1.188615083694458,-0.22659562528133392,-0.22199085354804993,-0.9343934655189514,-0.23189619183540344,-0.032040711492300034,-0.9701283574104309,-0.1102266013622284,-0.05248036980628967,-1.4340546131134033,-0.19529810547828674,-0.11249297857284546,-1.231449007987976,-0.20506538450717926,-0.10739092528820038,-0.9866803884506226,-0.1896575391292572,0.1070602759718895,-0.8872247934341431,-0.16328425705432892,0.07537186145782471,-1.2051523923873901,-0.20948128402233124,0.00931053888052702,-1.1261193752288818,-0.210044726729393,0.0006192196742631495,-0.9660953283309937,-0.19971540570259094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.17986075580120087,-0.1388244926929474,-0.0658697709441185,-0.3342295289039612,-0.4073375463485718,-0.12343531101942062,-0.30684012174606323,-0.6669712066650391,-0.1928257942199707,-0.13538458943367004,-0.6928095817565918,-0.25542715191841125,-0.2880087196826935,-0.9177148342132568,-0.02627435512840748,-0.3393004834651947,-1.2395927906036377,-0.13905268907546997,-0.37116989493370056,-1.0644735097885132,-0.2247210592031479,-0.3353639543056488,-0.8445302248001099,-0.27167022228240967,-0.16714102029800415,-0.9844022393226624,-0.054920610040426254,-0.1964455097913742,-1.422526240348816,-0.17025689780712128,-0.24950112402439117,-1.215179204940796,-0.2237723171710968,-0.23028090596199036,-0.9569539427757263,-0.23365095257759094,-0.03941391780972481,-0.9654431939125061,-0.10158280283212662,-0.05123012512922287,-1.417862057685852,-0.18661493062973022,-0.12066873162984848,-1.238376259803772,-0.20355264842510223,-0.12002760171890259,-0.9990761876106262,-0.19237804412841797,0.09645503759384155,-0.8797695636749268,-0.15857689082622528,0.059152983129024506,-1.197817087173462,-0.20284518599510193,-0.006244821008294821,-1.1183313131332397,-0.20388521254062653,-0.011579376645386219,-0.9539168477058411,-0.19360153377056122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.18411748111248016,-0.13536010682582855,-0.07011131942272186,-0.3403256833553314,-0.4197467863559723,-0.12727326154708862,-0.306255966424942,-0.6978812217712402,-0.19423148036003113,-0.1286797821521759,-0.7312199473381042,-0.25342822074890137,-0.294108122587204,-0.9124613404273987,-0.043074220418930054,-0.3424590229988098,-1.2657405138015747,-0.14818303287029266,-0.3824117183685303,-1.1103935241699219,-0.22578948736190796,-0.3553558886051178,-0.8944584727287292,-0.26956942677497864,-0.16831402480602264,-0.983367919921875,-0.06824954599142075,-0.2040710300207138,-1.4375132322311401,-0.17737655341625214,-0.26172488927841187,-1.237011194229126,-0.22765310108661652,-0.23733480274677277,-0.9764975309371948,-0.23859363794326782,-0.03748468682169914,-0.9689514636993408,-0.10981639474630356,-0.05338715389370918,-1.443311095237732,-0.18928447365760803,-0.12620796263217926,-1.2607252597808838,-0.2042226791381836,-0.11929240822792053,-1.0110427141189575,-0.19493518769741058,0.10390222072601318,-0.8900866508483887,-0.16228623688220978,0.07062984257936478,-1.222967505455017,-0.2077169418334961,-0.003963464871048927,-1.149505376815796,-0.21289268136024475,-0.01231546513736248,-0.9766417741775513,-0.20722196996212006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.1855577528476715,-0.14822441339492798,-0.06791716814041138,-0.33907243609428406,-0.41911375522613525,-0.12787586450576782,-0.2987494468688965,-0.6830992698669434,-0.1986926943063736,-0.11899661272764206,-0.7281090617179871,-0.2619469463825226,-0.29417529702186584,-0.916930079460144,-0.04240696504712105,-0.35070639848709106,-1.2593977451324463,-0.15464942157268524,-0.3821762502193451,-1.0633496046066284,-0.23264062404632568,-0.3533550798892975,-0.8641645312309265,-0.27526408433914185,-0.16775710880756378,-0.9832825660705566,-0.07080293446779251,-0.21380868554115295,-1.4190071821212769,-0.18648160994052887,-0.26067644357681274,-1.1604002714157104,-0.2292703092098236,-0.23211827874183655,-0.9152318835258484,-0.23148636519908905,-0.03647928312420845,-0.9690586924552917,-0.11671963334083557,-0.06106818467378616,-1.4397597312927246,-0.2062198668718338,-0.12770918011665344,-1.2068945169448853,-0.21209634840488434,-0.11714763939380646,-0.9568471312522888,-0.19153834879398346,0.10327546298503876,-0.8886836767196655,-0.17276914417743683,0.060199614614248276,-1.2197586297988892,-0.22294601798057556,-0.014127626083791256,-1.1125123500823975,-0.2208532691001892,-0.018007440492510796,-0.9390961527824402,-0.20671316981315613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,-0.18747535347938538,-0.14248508214950562,-0.06787144392728806,-0.3458903729915619,-0.42592495679855347,-0.12595310807228088,-0.31635257601737976,-0.6921136975288391,-0.19624096155166626,-0.13507767021656036,-0.7193654179573059,-0.25931316614151,-0.2943975031375885,-0.9149878025054932,-0.0336059033870697,-0.35118231177330017,-1.2566077709197998,-0.14589636027812958,-0.3867296278476715,-1.0746132135391235,-0.22942332923412323,-0.35255956649780273,-0.8594828844070435,-0.2767237722873688,-0.17165902256965637,-0.9831835031509399,-0.06231677532196045,-0.21027031540870667,-1.4295355081558228,-0.1781378537416458,-0.26537322998046875,-1.2103855609893799,-0.2301304191350937,-0.23958469927310944,-0.9564588665962219,-0.24019524455070496,-0.04296699911355972,-0.9651073217391968,-0.1087278351187706,-0.06039275974035263,-1.4374189376831055,-0.19407212734222412,-0.13283106684684753,-1.2414194345474243,-0.20630913972854614,-0.12504085898399353,-0.993721604347229,-0.19227202236652374,0.09532421827316284,-0.8843790292739868,-0.1659865528345108,0.05862443521618843,-1.214198112487793,-0.21211868524551392,-0.014613093808293343,-1.1324375867843628,-0.21317286789417267,-0.020212890580296516,-0.9626327753067017,-0.20288129150867462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
