label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
G,0.0,0.0,0.0,-0.26599445939064026,0.15079337358474731,-0.038304638117551804,-0.5253916382789612,0.06865093111991882,-0.06684710830450058,-0.7410695552825928,-0.037054888904094696,-0.09653958678245544,-0.9210078716278076,-0.08872393518686295,-0.12135864794254303,-0.6026707291603088,-0.6221684217453003,-0.026385648176074028,-0.8761290311813354,-0.7886869311332703,-0.05338617041707039,-0.9541183114051819,-0.767074704170227,-0.07555873692035675,-0.9636617302894592,-0.7358929514884949,-0.08450993150472641,-0.49439236521720886,-0.8689357042312622,-0.022953301668167114,-0.7600284814834595,-0.9906131625175476,-0.023072736337780952,-0.8283022046089172,-0.8359488248825073,-0.030869392678141594,-0.8274891972541809,-0.6651039123535156,-0.035760700702667236,-0.3727268576622009,-0.991256058216095,-0.022327734157443047,-0.5756143927574158,-1.04489266872406,-0.0180769432336092,-0.6311857104301453,-0.8971328139305115,-0.005939657799899578,-0.6260155439376831,-0.743889331817627,0.0012184421066194773,-0.2605174779891968,-1.0139765739440918,-0.02446550503373146,-0.42566272616386414,-1.059335470199585,-0.012130294926464558,-0.4939967691898346,-0.9711974263191223,0.018203219398856163,-0.519264280796051,-0.8479298949241638,0.04583520069718361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.29702478647232056,-0.10812310874462128,0.0059159803204238415,-0.5196985006332397,-0.2793600857257843,-0.025671489536762238,-0.7001076340675354,-0.36097079515457153,-0.07171468436717987,-0.8735008239746094,-0.3642018139362335,-0.11997127532958984,-0.372134268283844,-0.9174573421478271,-0.0017806856194511056,-0.6202704906463623,-0.8650420904159546,-0.0814599022269249,-0.7805270552635193,-0.8075313568115234,-0.1545134037733078,-0.9131397008895874,-0.7738707065582275,-0.2112114280462265,-0.306186705827713,-0.9505201578140259,-0.052545856684446335,-0.5960683822631836,-0.85476154088974,-0.14756545424461365,-0.628767728805542,-0.6245691180229187,-0.1942494809627533,-0.6064250469207764,-0.4854145348072052,-0.22177334129810333,-0.2505732476711273,-0.8723722696304321,-0.10838621109724045,-0.5320013165473938,-0.8317809700965881,-0.19067709147930145,-0.5762476921081543,-0.6245062351226807,-0.18058401346206665,-0.5605035424232483,-0.4801357388496399,-0.16428489983081818,-0.20440015196800232,-0.7074301838874817,-0.16594931483268738,-0.39241600036621094,-0.7079712748527527,-0.2334364950656891,-0.47550246119499207,-0.6408618092536926,-0.2363368421792984,-0.5159182548522949,-0.5948029160499573,-0.22958999872207642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.30951085686683655,-0.09501857310533524,0.013159370049834251,-0.524975597858429,-0.2621583640575409,-0.02582470327615738,-0.7065796852111816,-0.3419705629348755,-0.08283011615276337,-0.8863116502761841,-0.35608237981796265,-0.1412184089422226,-0.3664543330669403,-0.9568160176277161,0.0027876130770891905,-0.6426964998245239,-0.8611418008804321,-0.08143285661935806,-0.7995272874832153,-0.8038747310638428,-0.16120465099811554,-0.9296688437461853,-0.7807507514953613,-0.22073838114738464,-0.30254632234573364,-0.951516330242157,-0.05551931634545326,-0.6277223825454712,-0.7694832682609558,-0.16429102420806885,-0.6160520911216736,-0.531599223613739,-0.21565409004688263,-0.5664210319519043,-0.3965575397014618,-0.24287542700767517,-0.25983577966690063,-0.8288362622261047,-0.11847511678934097,-0.5699739456176758,-0.7049517631530762,-0.2003735899925232,-0.5660002827644348,-0.4831978380680084,-0.18648526072502136,-0.5231739282608032,-0.3474971055984497,-0.16897884011268616,-0.23359185457229614,-0.615821123123169,-0.18456728756427765,-0.43650102615356445,-0.5987033843994141,-0.24368853867053986,-0.5265916585922241,-0.5828659534454346,-0.2465726137161255,-0.5845997929573059,-0.5972761511802673,-0.2432509809732437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.28057247400283813,-0.12450233101844788,0.028709540143609047,-0.45580795407295227,-0.3082631230354309,-0.008359602652490139,-0.6178171038627625,-0.3841695189476013,-0.06049288809299469,-0.7848331928253174,-0.3782157301902771,-0.11316143721342087,-0.310263067483902,-0.9818028807640076,0.010706847533583641,-0.5671780109405518,-0.8457309007644653,-0.04131673648953438,-0.7221285700798035,-0.7845881581306458,-0.0913463830947876,-0.8473985195159912,-0.7632376551628113,-0.13750885426998138,-0.2702001929283142,-0.9612905979156494,-0.05396405979990959,-0.606428861618042,-0.6781283020973206,-0.11268153041601181,-0.5304334759712219,-0.47372397780418396,-0.12587659060955048,-0.43321293592453003,-0.4346848428249359,-0.13694028556346893,-0.24426893889904022,-0.8312594294548035,-0.12025891989469528,-0.5600780248641968,-0.5078426599502563,-0.1702951341867447,-0.4697747528553009,-0.34272176027297974,-0.1393975019454956,-0.3768199384212494,-0.3421277701854706,-0.12325660139322281,-0.23414570093154907,-0.6254475116729736,-0.1882643848657608,-0.48651909828186035,-0.34831103682518005,-0.23798273503780365,-0.4464353621006012,-0.19312378764152527,-0.22411397099494934,-0.38298359513282776,-0.1540704071521759,-0.21066220104694366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.28601229190826416,-0.1239323541522026,0.0372866727411747,-0.4562716484069824,-0.32642418146133423,0.003598212730139494,-0.6121344566345215,-0.4175545573234558,-0.04747724533081055,-0.7793049216270447,-0.43519264459609985,-0.0969686508178711,-0.314145565032959,-0.9828205108642578,0.01959027349948883,-0.5980545878410339,-0.8767966628074646,-0.041935551911592484,-0.7474714517593384,-0.8037306070327759,-0.09456837922334671,-0.871451199054718,-0.7869001626968384,-0.13949020206928253,-0.2738550901412964,-0.9606342911720276,-0.046744994819164276,-0.6078697443008423,-0.6945447325706482,-0.11705190688371658,-0.529248058795929,-0.495853066444397,-0.1311342716217041,-0.4397684633731842,-0.4621471166610718,-0.14182481169700623,-0.2588212788105011,-0.826568603515625,-0.1162460520863533,-0.5765230655670166,-0.5213094353675842,-0.17199723422527313,-0.48033010959625244,-0.3328647315502167,-0.13953514397144318,-0.39187344908714294,-0.3269224464893341,-0.12188520282506943,-0.265511691570282,-0.625809907913208,-0.18729884922504425,-0.5008823275566101,-0.3418657183647156,-0.23390339314937592,-0.4413946270942688,-0.18389610946178436,-0.22208023071289062,-0.374570369720459,-0.17004908621311188,-0.2116507738828659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.2803754508495331,-0.16418971121311188,0.05173250660300255,-0.4565645754337311,-0.37539711594581604,0.024177275598049164,-0.6178040504455566,-0.47871530055999756,-0.02767617627978325,-0.785325288772583,-0.511398196220398,-0.08114053308963776,-0.29536619782447815,-0.9872034788131714,0.052028998732566833,-0.5602985620498657,-0.9175252914428711,-0.017851514741778374,-0.7195069193840027,-0.8677765130996704,-0.08255866169929504,-0.8432508111000061,-0.8306287527084351,-0.13228413462638855,-0.2647840976715088,-0.9639690518379211,-0.025556543841958046,-0.5955445170402527,-0.7589899897575378,-0.10121375322341919,-0.5326859354972839,-0.5463393926620483,-0.12498617172241211,-0.4418710768222809,-0.47429728507995605,-0.13783448934555054,-0.25031426548957825,-0.841377854347229,-0.10697381943464279,-0.561626672744751,-0.5834067463874817,-0.17199091613292694,-0.47456812858581543,-0.3893703818321228,-0.14482197165489197,-0.37781280279159546,-0.3580860495567322,-0.12453025579452515,-0.2528028190135956,-0.6532670855522156,-0.1886775940656662,-0.49321484565734863,-0.41866710782051086,-0.2360982596874237,-0.44126811623573303,-0.2561657428741455,-0.21703702211380005,-0.3671908676624298,-0.22031551599502563,-0.19882744550704956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.2699214518070221,-0.1569376140832901,0.04495301842689514,-0.43949997425079346,-0.3775097727775574,0.017943967133760452,-0.6016204953193665,-0.480295866727829,-0.030219977721571922,-0.7719460725784302,-0.5138152837753296,-0.07827045768499374,-0.2810491621494293,-0.9724447727203369,0.04854588583111763,-0.544723391532898,-0.8951128721237183,-0.014611643739044666,-0.7034285664558411,-0.8403291702270508,-0.07767428457736969,-0.8361899852752686,-0.8114367723464966,-0.13085199892520905,-0.25324922800064087,-0.9671186208724976,-0.023374417796730995,-0.576820969581604,-0.7609657645225525,-0.09305723756551743,-0.5110318660736084,-0.5662160515785217,-0.11720295250415802,-0.4209856688976288,-0.517056941986084,-0.13432155549526215,-0.24005462229251862,-0.8480113744735718,-0.09925714880228043,-0.5497393012046814,-0.6109066605567932,-0.15583336353302002,-0.4680354595184326,-0.41985756158828735,-0.12864050269126892,-0.37527939677238464,-0.4014551341533661,-0.11335519701242447,-0.24650117754936218,-0.658866286277771,-0.1768157035112381,-0.47884294390678406,-0.42031142115592957,-0.22464220225811005,-0.43210381269454956,-0.25942274928092957,-0.21324089169502258,-0.365529328584671,-0.23401878774166107,-0.2032388150691986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.2840959429740906,-0.15045595169067383,0.03925565630197525,-0.4581747055053711,-0.35057690739631653,0.007661290466785431,-0.6189783811569214,-0.44898518919944763,-0.04422800987958908,-0.7812949419021606,-0.47804731130599976,-0.09645047038793564,-0.3241422772407532,-0.9631017446517944,0.043074000626802444,-0.5818760991096497,-0.8566800355911255,-0.015068285167217255,-0.7308990955352783,-0.8024221658706665,-0.07143322378396988,-0.8503134250640869,-0.780206024646759,-0.11783470958471298,-0.28450310230255127,-0.9583678841590881,-0.024266326799988747,-0.6006725430488586,-0.7001144289970398,-0.08963298052549362,-0.537050187587738,-0.4851602613925934,-0.10862334072589874,-0.45119044184684753,-0.43222203850746155,-0.12026568502187729,-0.26534464955329895,-0.8383752703666687,-0.09558383375406265,-0.5681555271148682,-0.5498711466789246,-0.14605925977230072,-0.4924699664115906,-0.354663223028183,-0.11806374043226242,-0.4078432023525238,-0.3294300138950348,-0.10083570331335068,-0.26663562655448914,-0.6502918004989624,-0.16921359300613403,-0.49681222438812256,-0.3904585838317871,-0.2048155516386032,-0.45831066370010376,-0.2345677763223648,-0.18873582780361176,-0.4000786542892456,-0.20036646723747253,-0.17463085055351257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.2921094000339508,-0.14839167892932892,0.05222408100962639,-0.47128114104270935,-0.35742464661598206,0.030765600502490997,-0.6309272646903992,-0.44296926259994507,-0.012287496589124203,-0.798292875289917,-0.45197588205337524,-0.055488649755716324,-0.3357877731323242,-0.9608005881309509,0.056882891803979874,-0.6008323431015015,-0.85903400182724,-0.0023912808392196894,-0.762327253818512,-0.7991524934768677,-0.06345151364803314,-0.8982327580451965,-0.7695865035057068,-0.11608321219682693,-0.3009333312511444,-0.9534763097763062,-0.01794440671801567,-0.6217958927154541,-0.7214654684066772,-0.08595644682645798,-0.5416380763053894,-0.524110734462738,-0.10868659615516663,-0.44708263874053955,-0.49000757932662964,-0.12393524497747421,-0.2809552848339081,-0.8367136120796204,-0.09586482495069504,-0.5863549709320068,-0.5588508248329163,-0.1491750031709671,-0.4922665059566498,-0.37121978402137756,-0.11797867715358734,-0.3998439908027649,-0.36937007308006287,-0.09990707784891129,-0.27862149477005005,-0.6492103934288025,-0.1749960482120514,-0.5124237537384033,-0.3890403211116791,-0.21785934269428253,-0.45203688740730286,-0.23352523148059845,-0.19887924194335938,-0.3821257948875427,-0.22125670313835144,-0.1831125169992447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,-0.2893746793270111,-0.15484404563903809,0.06269778311252594,-0.47249487042427063,-0.3605717420578003,0.041339464485645294,-0.6362802982330322,-0.4420306086540222,-0.005223496817052364,-0.8076618909835815,-0.4447381794452667,-0.053084466606378555,-0.34011632204055786,-0.9636379480361938,0.0665094181895256,-0.6022963523864746,-0.8652764558792114,0.011162030510604382,-0.7608700394630432,-0.8051014542579651,-0.04769004136323929,-0.8966970443725586,-0.777077317237854,-0.09870334714651108,-0.30159908533096313,-0.9533506631851196,-0.012671682983636856,-0.6187350153923035,-0.7124366164207458,-0.07416442781686783,-0.540172278881073,-0.522650957107544,-0.09484206885099411,-0.44912996888160706,-0.49153441190719604,-0.11069183796644211,-0.2806159555912018,-0.8327649831771851,-0.09437812119722366,-0.5869635939598083,-0.5655115246772766,-0.14338769018650055,-0.4947516918182373,-0.377517431974411,-0.1142803281545639,-0.39862391352653503,-0.36794915795326233,-0.09870830178260803,-0.2800728976726532,-0.6458414196968079,-0.17611920833587646,-0.5185521841049194,-0.40042364597320557,-0.21425481140613556,-0.46488940715789795,-0.2346748411655426,-0.1954873949289322,-0.395964652299881,-0.20331774652004242,-0.1813909113407135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
