label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
H,0.0,0.0,0.0,-0.15975035727024078,-0.6587252020835876,0.022363783791661263,-0.47170794010162354,-0.9637628197669983,-0.007182077970355749,-0.7568996548652649,-0.8972907066345215,-0.04020600765943527,-0.9338211417198181,-0.6511826515197754,-0.07865727692842484,-0.6397450566291809,-1.0895310640335083,-0.1801566630601883,-1.1574171781539917,-1.1340926885604858,-0.24961717426776886,-1.4270583391189575,-1.116091012954712,-0.2760483920574188,-1.6572928428649902,-1.076906681060791,-0.283903568983078,-0.7224628925323486,-0.6560307145118713,-0.21833720803260803,-1.2611140012741089,-0.7194779515266418,-0.27941980957984924,-1.5775539875030518,-0.7610337734222412,-0.29589131474494934,-1.8181284666061401,-0.7688256502151489,-0.30420053005218506,-0.7566462159156799,-0.22860568761825562,-0.2336960881948471,-1.098655343055725,-0.3739422857761383,-0.2525549829006195,-0.963898241519928,-0.44290128350257874,-0.1917751133441925,-0.8266465663909912,-0.43657368421554565,-0.1372648924589157,-0.7467204332351685,0.133640855550766,-0.24855731427669525,-0.9375663995742798,-0.11411621421575546,-0.22190651297569275,-0.8442106246948242,-0.1820317655801773,-0.13978716731071472,-0.7483159899711609,-0.186305969953537,-0.07130582630634308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.16009533405303955,-0.6608850359916687,0.031362999230623245,-0.47463229298591614,-0.9652619361877441,0.003770204959437251,-0.7675684690475464,-0.9045411348342896,-0.02805332839488983,-0.9438729882240295,-0.6482704281806946,-0.06641464680433273,-0.6481430530548096,-1.0986108779907227,-0.1792408972978592,-1.15883207321167,-1.12434983253479,-0.249110147356987,-1.427079200744629,-1.1007217168807983,-0.27912309765815735,-1.6535450220108032,-1.0645955801010132,-0.29100072383880615,-0.7200668454170227,-0.6580262184143066,-0.2202390879392624,-1.2554737329483032,-0.708417534828186,-0.28345662355422974,-1.575163722038269,-0.7452130317687988,-0.3036487102508545,-1.817252516746521,-0.7567481994628906,-0.31703731417655945,-0.7488209009170532,-0.21785467863082886,-0.2364187389612198,-1.0949565172195435,-0.35285085439682007,-0.2546326220035553,-0.9596185088157654,-0.4176725745201111,-0.1870327740907669,-0.818712055683136,-0.4108949899673462,-0.1291382908821106,-0.7350821495056152,0.158967062830925,-0.2513548731803894,-0.9392410516738892,-0.08048073202371597,-0.2256300151348114,-0.8452595472335815,-0.1564810425043106,-0.13901637494564056,-0.7477508783340454,-0.17494764924049377,-0.06752833724021912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.1603536754846573,-0.6545627117156982,0.018120983615517616,-0.4710976481437683,-0.979523241519928,-0.017791973426938057,-0.7601546049118042,-0.9541534185409546,-0.05584418773651123,-0.9405771493911743,-0.7204226851463318,-0.09956280142068863,-0.6459237337112427,-1.0954452753067017,-0.19859732687473297,-1.1473231315612793,-1.1252566576004028,-0.2774251401424408,-1.4123860597610474,-1.1055141687393188,-0.312556654214859,-1.6366924047470093,-1.0720213651657104,-0.32747966051101685,-0.7119108438491821,-0.6604626178741455,-0.23868818581104279,-1.2406607866287231,-0.7115356922149658,-0.3125271499156952,-1.5599933862686157,-0.7512953877449036,-0.33433061838150024,-1.8040547370910645,-0.76456618309021,-0.3481171727180481,-0.7383804321289062,-0.22720135748386383,-0.2557785212993622,-1.0901556015014648,-0.37367045879364014,-0.28706005215644836,-0.9615480303764343,-0.4449775218963623,-0.2208787202835083,-0.8222745656967163,-0.44095951318740845,-0.1618230640888214,-0.7259896993637085,0.14137814939022064,-0.2727486193180084,-0.9419105648994446,-0.1121644377708435,-0.2594153881072998,-0.8522980809211731,-0.19159041345119476,-0.17692047357559204,-0.7549397349357605,-0.2071295827627182,-0.10701429843902588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15837562084197998,-0.6515918374061584,0.04351770132780075,-0.4630257487297058,-0.9499137997627258,0.02473432570695877,-0.7459627389907837,-0.9057890772819519,-0.0009539746679365635,-0.9212478399276733,-0.6902289986610413,-0.03301914781332016,-0.6444871425628662,-1.091744065284729,-0.15824750065803528,-1.1439419984817505,-1.1335541009902954,-0.22499004006385803,-1.4129459857940674,-1.1105061769485474,-0.2560705542564392,-1.638071060180664,-1.0704034566879272,-0.268811970949173,-0.7157551050186157,-0.6683071255683899,-0.20263339579105377,-1.2406054735183716,-0.7283657193183899,-0.258968710899353,-1.5569605827331543,-0.7693557739257812,-0.2777291536331177,-1.7948031425476074,-0.7807767987251282,-0.29115796089172363,-0.7409448027610779,-0.2444642335176468,-0.22245360910892487,-1.0817291736602783,-0.3659772276878357,-0.22840192914009094,-0.9559201598167419,-0.4292258024215698,-0.16040512919425964,-0.8203417658805847,-0.42588508129119873,-0.10573162883520126,-0.7225995063781738,0.12306489050388336,-0.24094779789447784,-0.9283187389373779,-0.10254596173763275,-0.20448943972587585,-0.8395189642906189,-0.16431932151317596,-0.11576173454523087,-0.742496132850647,-0.17610792815685272,-0.04455546289682388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.1634141504764557,-0.6676903367042542,0.03470701724290848,-0.4811893105506897,-0.9722092151641846,0.011725028045475483,-0.7737849950790405,-0.9102129936218262,-0.016456404700875282,-0.9493840336799622,-0.6620899438858032,-0.05054565891623497,-0.6467263698577881,-1.0980671644210815,-0.1700630784034729,-1.152179479598999,-1.1406432390213013,-0.23852619528770447,-1.4221810102462769,-1.12155282497406,-0.26753905415534973,-1.649789810180664,-1.0884884595870972,-0.27941492199897766,-0.7215002775192261,-0.659223735332489,-0.21180517971515656,-1.255017638206482,-0.717579185962677,-0.2764833867549896,-1.5741357803344727,-0.7604113817214966,-0.2955866754055023,-1.816595196723938,-0.7752975225448608,-0.3070809841156006,-0.7520939111709595,-0.22316105663776398,-0.22916805744171143,-1.0967708826065063,-0.36471790075302124,-0.24934054911136627,-0.9623783230781555,-0.436415433883667,-0.18253163993358612,-0.824461042881012,-0.4321533739566803,-0.12435203790664673,-0.7383038997650146,0.15266571938991547,-0.2450789362192154,-0.9382236003875732,-0.10049095749855042,-0.2211461067199707,-0.8428679704666138,-0.17591001093387604,-0.13647477328777313,-0.745141863822937,-0.192392960190773,-0.06613513827323914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15868033468723297,-0.6743450164794922,0.036473263055086136,-0.48409217596054077,-0.9699459075927734,0.021100183948874474,-0.7880723476409912,-0.8947559595108032,0.0016898292815312743,-0.9681751132011414,-0.6386669278144836,-0.02294066920876503,-0.6395201683044434,-1.1014045476913452,-0.16000057756900787,-1.1562010049819946,-1.1448538303375244,-0.21946664154529572,-1.4298397302627563,-1.1245207786560059,-0.24234770238399506,-1.6617827415466309,-1.0899417400360107,-0.25021371245384216,-0.7251806259155273,-0.6603299975395203,-0.19513416290283203,-1.2693791389465332,-0.7213432788848877,-0.24971768260002136,-1.5857172012329102,-0.7712600827217102,-0.26606428623199463,-1.82891047000885,-0.7944464683532715,-0.2754632830619812,-0.7633370161056519,-0.22566010057926178,-0.20500607788562775,-1.105379581451416,-0.3673913776874542,-0.2143242359161377,-0.9683911204338074,-0.44298750162124634,-0.14990049600601196,-0.8320315480232239,-0.43792638182640076,-0.09475483000278473,-0.7553208470344543,0.145887553691864,-0.21303530037403107,-0.9436528086662292,-0.11264033615589142,-0.17961905896663666,-0.8475702404975891,-0.18662139773368835,-0.09572771191596985,-0.7520447969436646,-0.19951295852661133,-0.027077538892626762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15587128698825836,-0.669946014881134,0.02254711650311947,-0.4810362756252289,-0.9665791392326355,0.0011553984368219972,-0.784131646156311,-0.8972877264022827,-0.021901817992329597,-0.9651845693588257,-0.6560743451118469,-0.049696922302246094,-0.6302171945571899,-1.1103401184082031,-0.17207586765289307,-1.1440849304199219,-1.1476693153381348,-0.23439569771289825,-1.4141218662261963,-1.123158574104309,-0.26008570194244385,-1.6453584432601929,-1.0849493741989136,-0.27002811431884766,-0.7153698801994324,-0.6686609387397766,-0.20282617211341858,-1.2501436471939087,-0.7248596549034119,-0.2548143267631531,-1.5632760524749756,-0.7696449756622314,-0.2728092074394226,-1.8053854703903198,-0.7916223406791687,-0.2855987250804901,-0.7540726065635681,-0.23497042059898376,-0.20991526544094086,-1.1005284786224365,-0.36924394965171814,-0.2211461365222931,-0.9593004584312439,-0.4349168539047241,-0.16166171431541443,-0.8177461624145508,-0.42539626359939575,-0.11123532056808472,-0.7476294040679932,0.1326267570257187,-0.2163507044315338,-0.9324256181716919,-0.1134590432047844,-0.1907469630241394,-0.8359843492507935,-0.18593329191207886,-0.11492104828357697,-0.7417144179344177,-0.20032691955566406,-0.05208750441670418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15847435593605042,-0.6734545826911926,0.07006041705608368,-0.46572303771972656,-0.9727773666381836,0.07011030614376068,-0.7517539262771606,-0.94118732213974,0.061336372047662735,-0.9229244589805603,-0.7303225994110107,0.047907572239637375,-0.6425552368164062,-1.1061359643936157,-0.14128679037094116,-1.159508228302002,-1.153747320175171,-0.20175477862358093,-1.4353898763656616,-1.129934549331665,-0.2274070382118225,-1.6684749126434326,-1.0879530906677246,-0.23750421404838562,-0.720681369304657,-0.6669982671737671,-0.18902820348739624,-1.2675096988677979,-0.7218974232673645,-0.24853529036045074,-1.5861557722091675,-0.7585972547531128,-0.2679261863231659,-1.8290642499923706,-0.7706818580627441,-0.2803301513195038,-0.7559923529624939,-0.229286789894104,-0.20757272839546204,-1.1065199375152588,-0.35842156410217285,-0.2104651778936386,-0.963702380657196,-0.4175053834915161,-0.1333230435848236,-0.8238862752914429,-0.4099324941635132,-0.07122529298067093,-0.7434102296829224,0.15118245780467987,-0.22251221537590027,-0.9300598502159119,-0.0767793208360672,-0.180758535861969,-0.8300559520721436,-0.14038199186325073,-0.08715905249118805,-0.7353944778442383,-0.16008754074573517,-0.011750368401408195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15945345163345337,-0.666378378868103,0.04307128116488457,-0.4760594666004181,-0.9577648043632507,0.026272447779774666,-0.7672017216682434,-0.8840441107749939,0.004950989969074726,-0.946519136428833,-0.6460909843444824,-0.021336175501346588,-0.6493249535560608,-1.1023048162460327,-0.1674606204032898,-1.160145878791809,-1.1349071264266968,-0.23167268931865692,-1.4341721534729004,-1.107466459274292,-0.2591039836406708,-1.6664265394210815,-1.0700069665908813,-0.2698909640312195,-0.72731614112854,-0.6543734669685364,-0.20689769089221954,-1.2596596479415894,-0.7090373039245605,-0.26654958724975586,-1.5784454345703125,-0.7580463290214539,-0.28487932682037354,-1.82302987575531,-0.7792890071868896,-0.29669564962387085,-0.7605447769165039,-0.21824152767658234,-0.21967945992946625,-1.1079730987548828,-0.35807639360427856,-0.22485551238059998,-0.9750919342041016,-0.42994216084480286,-0.1534881442785263,-0.8398674130439758,-0.42377832531929016,-0.09566106647253036,-0.7471089363098145,0.15357635915279388,-0.23091423511505127,-0.9386048316955566,-0.09399779140949249,-0.19071334600448608,-0.8474081158638,-0.17155134677886963,-0.10063033550977707,-0.7532986998558044,-0.1949070692062378,-0.028345244005322456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,-0.15703941881656647,-0.658928632736206,0.062205713242292404,-0.4573898911476135,-0.9541285037994385,0.06007421389222145,-0.7342133522033691,-0.9397813081741333,0.049673281610012054,-0.9054398536682129,-0.7600496411323547,0.03399072587490082,-0.6451199054718018,-1.0929518938064575,-0.14089834690093994,-1.154431939125061,-1.1176468133926392,-0.200178325176239,-1.4286189079284668,-1.0851868391036987,-0.22539539635181427,-1.6578106880187988,-1.0380339622497559,-0.23400616645812988,-0.7249025702476501,-0.6636196374893188,-0.18473029136657715,-1.2594068050384521,-0.6989894509315491,-0.2338736206293106,-1.5728815793991089,-0.7309026718139648,-0.24783465266227722,-1.8062994480133057,-0.7402310967445374,-0.2567559778690338,-0.7562149167060852,-0.23540788888931274,-0.20161062479019165,-1.0841492414474487,-0.3381175696849823,-0.19457437098026276,-0.948614776134491,-0.3999907970428467,-0.12121092528104782,-0.8094871640205383,-0.3980993330478668,-0.06376715004444122,-0.7400813102722168,0.14125744998455048,-0.21639859676361084,-0.9152455925941467,-0.06255000084638596,-0.16747193038463593,-0.8189982771873474,-0.11706453561782837,-0.07639956474304199,-0.7214645147323608,-0.13323022425174713,-0.0036303645465523005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
