label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
I,0.0,0.0,0.0,0.20535960793495178,-0.05243995040655136,-0.11039303988218307,0.41810232400894165,-0.34990766644477844,-0.15362639725208282,0.45540615916252136,-0.7050317525863647,-0.19476453959941864,0.3129696249961853,-0.8868072628974915,-0.2177262306213379,0.33448681235313416,-0.8889952301979065,-0.05563069134950638,0.3680666983127594,-1.101884126663208,-0.17270183563232422,0.3132202923297882,-0.7892792224884033,-0.22895467281341553,0.2783743143081665,-0.5700281262397766,-0.2384314090013504,0.1906788945198059,-0.9804328083992004,-0.04891865327954292,0.2259857952594757,-1.2165416479110718,-0.2011747509241104,0.18377351760864258,-0.822286069393158,-0.24945180118083954,0.15712079405784607,-0.552760124206543,-0.2345876395702362,0.04769110307097435,-1.0095046758651733,-0.06250327080488205,0.08089019358158112,-1.2243562936782837,-0.2002694457769394,0.07333998382091522,-0.8508655428886414,-0.20495164394378662,0.06893050670623779,-0.5675463676452637,-0.15594062209129333,-0.09466919302940369,-0.9957181811332703,-0.08541160821914673,-0.0636969730257988,-1.3922688961029053,-0.15503466129302979,-0.02974862977862358,-1.6580195426940918,-0.17153149843215942,0.013658315874636173,-1.9031649827957153,-0.16029562056064606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.20476819574832916,-0.05723702535033226,-0.11149432510137558,0.41435277462005615,-0.3483545780181885,-0.15663078427314758,0.44747668504714966,-0.7013389468193054,-0.1995503306388855,0.3043789267539978,-0.8860732913017273,-0.2246108055114746,0.32978692650794983,-0.89183109998703,-0.05780420079827309,0.36333194375038147,-1.102670669555664,-0.17683713138103485,0.3090886175632477,-0.7902206182479858,-0.2344764769077301,0.27491119503974915,-0.5689977407455444,-0.2443734109401703,0.1861633062362671,-0.9811968803405762,-0.050949160009622574,0.2221890389919281,-1.2196320295333862,-0.20452876389026642,0.17909322679042816,-0.8260574340820312,-0.2537369728088379,0.15126396715641022,-0.5556593537330627,-0.23921270668506622,0.04302418604493141,-1.0095739364624023,-0.0644359439611435,0.07504981011152267,-1.225284218788147,-0.20326808094978333,0.0675729364156723,-0.8510006666183472,-0.2083771973848343,0.063571035861969,-0.5665544271469116,-0.15927328169345856,-0.10031886398792267,-0.9946183562278748,-0.08721340447664261,-0.07021120935678482,-1.3930580615997314,-0.15717007219791412,-0.03531777858734131,-1.6598515510559082,-0.17361293733119965,0.009626342914998531,-1.908018708229065,-0.16221684217453003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.20889410376548767,-0.059022217988967896,-0.11153963208198547,0.41569748520851135,-0.3515641689300537,-0.15629900991916656,0.44393500685691833,-0.7122921347618103,-0.19825875759124756,0.2977031171321869,-0.8968576788902283,-0.22311697900295258,0.3311890959739685,-0.8910369873046875,-0.054630156606435776,0.36573857069015503,-1.1017429828643799,-0.16958360373973846,0.30510082840919495,-0.7896581292152405,-0.22705233097076416,0.26471370458602905,-0.5671366453170776,-0.23812642693519592,0.18860763311386108,-0.9809587597846985,-0.046337682753801346,0.2254415601491928,-1.2198576927185059,-0.19532637298107147,0.1758294403553009,-0.8318447470664978,-0.24638338387012482,0.1403067409992218,-0.5603986382484436,-0.23451851308345795,0.045240357518196106,-1.0119317770004272,-0.05804770439863205,0.07773979753255844,-1.227817177772522,-0.19557170569896698,0.06806463748216629,-0.8564165830612183,-0.20510180294513702,0.05948083847761154,-0.566326379776001,-0.1593426614999771,-0.09947649389505386,-1.0021201372146606,-0.07843564450740814,-0.07464036345481873,-1.4055159091949463,-0.1484067589044571,-0.04052684083580971,-1.6756731271743774,-0.16748785972595215,0.002552216872572899,-1.9270765781402588,-0.15863707661628723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2156759798526764,-0.05556498095393181,-0.11465296149253845,0.4245423674583435,-0.3552270233631134,-0.1604410707950592,0.45751190185546875,-0.722513735294342,-0.20302066206932068,0.30855801701545715,-0.8963652849197388,-0.2276143878698349,0.33185291290283203,-0.8929835557937622,-0.059155918657779694,0.37315595149993896,-1.115033507347107,-0.17678885161876678,0.31603798270225525,-0.7953307032585144,-0.23395618796348572,0.2792132794857025,-0.5747585296630859,-0.2445625215768814,0.19133280217647552,-0.9802467226982117,-0.0500805601477623,0.23075474798679352,-1.2274562120437622,-0.2025359869003296,0.18756991624832153,-0.8317942023277283,-0.25207895040512085,0.1589152067899704,-0.5651035308837891,-0.23832976818084717,0.04788370802998543,-1.0109823942184448,-0.061638180166482925,0.08285658061504364,-1.2284009456634521,-0.20001056790351868,0.0781199187040329,-0.845458447933197,-0.2062942534685135,0.07150508463382721,-0.5524922609329224,-0.15791356563568115,-0.09690270572900772,-1.0040346384048462,-0.08254888653755188,-0.07152670621871948,-1.411044955253601,-0.15279197692871094,-0.03475232422351837,-1.683165192604065,-0.171759694814682,0.009702242910861969,-1.9390982389450073,-0.16272549331188202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2082858383655548,-0.054224129766225815,-0.11603474617004395,0.4192066192626953,-0.35368800163269043,-0.1637141853570938,0.4532713294029236,-0.7150574326515198,-0.20862017571926117,0.3095836341381073,-0.8958773612976074,-0.2352224886417389,0.3338317275047302,-0.8920971155166626,-0.060269568115472794,0.369907945394516,-1.112661361694336,-0.1809242069721222,0.30918580293655396,-0.7979883551597595,-0.23948246240615845,0.27297109365463257,-0.5745974183082581,-0.2508316934108734,0.18904289603233337,-0.9805629849433899,-0.052525728940963745,0.2296762764453888,-1.2246735095977783,-0.20901702344417572,0.18336273729801178,-0.8340461850166321,-0.26037895679473877,0.15413205325603485,-0.5655205845832825,-0.24760624766349792,0.04309771955013275,-1.0100812911987305,-0.06588632613420486,0.07958870381116867,-1.2315411567687988,-0.20687079429626465,0.07221227884292603,-0.8453166484832764,-0.21223485469818115,0.06740298122167587,-0.5478429794311523,-0.16351094841957092,-0.10212014615535736,-0.9982950687408447,-0.08911609649658203,-0.0740930363535881,-1.392771601676941,-0.1609015017747879,-0.037167977541685104,-1.661780595779419,-0.18039283156394958,0.010984841734170914,-1.9184876680374146,-0.1721312254667282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2081926017999649,-0.050729651004076004,-0.11260635405778885,0.42378589510917664,-0.34759974479675293,-0.15827393531799316,0.4643801748752594,-0.7066130042076111,-0.2014186978340149,0.31838756799697876,-0.8808333873748779,-0.2262483686208725,0.33970534801483154,-0.8874721527099609,-0.058958299458026886,0.377229243516922,-1.1028839349746704,-0.17831437289714813,0.3157861828804016,-0.7858829498291016,-0.23698952794075012,0.2768316864967346,-0.5632629990577698,-0.24905578792095184,0.1959283947944641,-0.9791954159736633,-0.052805185317993164,0.2358391284942627,-1.2231460809707642,-0.20829686522483826,0.18891504406929016,-0.8302874565124512,-0.2586589455604553,0.15885622799396515,-0.5594248175621033,-0.24519993364810944,0.051461268216371536,-1.0093291997909546,-0.06719139963388443,0.08572321385145187,-1.221257209777832,-0.20593254268169403,0.0763784721493721,-0.8390600681304932,-0.20927740633487701,0.07017747312784195,-0.5483722686767578,-0.15963609516620636,-0.09295006096363068,-0.997251570224762,-0.09145324677228928,-0.06371884793043137,-1.3904812335968018,-0.16190053522586823,-0.02657635509967804,-1.6561474800109863,-0.17914517223834991,0.021006686612963676,-1.9072182178497314,-0.16922099888324738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2057124823331833,-0.05704744532704353,-0.11401036381721497,0.4149121940135956,-0.3511123061180115,-0.16022075712680817,0.4502159655094147,-0.7079169750213623,-0.20335635542869568,0.30993226170539856,-0.8989551067352295,-0.22792160511016846,0.32867950201034546,-0.8880617022514343,-0.06281446665525436,0.3589264750480652,-1.1063411235809326,-0.1814688742160797,0.3028916120529175,-0.7847288250923157,-0.237223282456398,0.2723352611064911,-0.5611824989318848,-0.24666525423526764,0.18580420315265656,-0.9810420870780945,-0.05507494881749153,0.22383274137973785,-1.2228389978408813,-0.20790408551692963,0.1803005486726761,-0.8266763091087341,-0.25513994693756104,0.15291152894496918,-0.5613872408866882,-0.24063847959041595,0.04245304316282272,-1.0116047859191895,-0.06790421158075333,0.07615552842617035,-1.2420166730880737,-0.2061803936958313,0.07145830988883972,-0.8616988062858582,-0.20922736823558807,0.06947143375873566,-0.5751281976699829,-0.1603843867778778,-0.10075819492340088,-0.9965938329696655,-0.090389683842659,-0.07137036323547363,-1.3966337442398071,-0.16162267327308655,-0.03524645417928696,-1.6611584424972534,-0.17943419516086578,0.011907017789781094,-1.9131996631622314,-0.17001061141490936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2045545130968094,-0.05463659018278122,-0.1075076013803482,0.4106808006763458,-0.3511244058609009,-0.15111880004405975,0.4523257315158844,-0.7074497938156128,-0.19326825439929962,0.3103724420070648,-0.8822525143623352,-0.21875792741775513,0.32358625531196594,-0.8913354277610779,-0.055898796766996384,0.3571380078792572,-1.0926690101623535,-0.17276187241077423,0.30193620920181274,-0.7792903780937195,-0.23110395669937134,0.26411888003349304,-0.5574424862861633,-0.24245022237300873,0.18106471002101898,-0.9821736812591553,-0.05050139129161835,0.22007757425308228,-1.2119765281677246,-0.2027662843465805,0.17869392037391663,-0.8168724775314331,-0.25268054008483887,0.14801593124866486,-0.5410294532775879,-0.23917913436889648,0.038190923631191254,-1.0115748643875122,-0.06474889069795609,0.07433581352233887,-1.21967613697052,-0.20152579247951508,0.06955385953187943,-0.8407401442527771,-0.2077108472585678,0.06364566087722778,-0.5506405830383301,-0.15995602309703827,-0.10479024052619934,-0.9953024983406067,-0.08799755573272705,-0.07505566626787186,-1.391003131866455,-0.1568816900253296,-0.03851515054702759,-1.6563291549682617,-0.17433233559131622,0.006761166732758284,-1.9025132656097412,-0.1643051952123642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2047690898180008,-0.060927052050828934,-0.10544504225254059,0.41153934597969055,-0.36011332273483276,-0.14865073561668396,0.45162609219551086,-0.7162720561027527,-0.1908329576253891,0.3076706826686859,-0.8871570229530334,-0.21664249897003174,0.322011798620224,-0.8944453597068787,-0.05260694399476051,0.3572101891040802,-1.0951203107833862,-0.1688147485256195,0.3026188910007477,-0.7822495102882385,-0.22777536511421204,0.2638762891292572,-0.5599793791770935,-0.23943018913269043,0.179579496383667,-0.9825700521469116,-0.04803350940346718,0.21983744204044342,-1.215649127960205,-0.19819653034210205,0.1797407865524292,-0.822822630405426,-0.24819186329841614,0.14893433451652527,-0.5472395420074463,-0.23529742658138275,0.03680814802646637,-1.0108741521835327,-0.06283778697252274,0.07479488104581833,-1.2269312143325806,-0.19755662977695465,0.06950133293867111,-0.8498402237892151,-0.20290766656398773,0.06251488626003265,-0.5607059001922607,-0.15505680441856384,-0.10617471486330032,-0.9945964217185974,-0.08653576672077179,-0.07712216675281525,-1.393514633178711,-0.15327978134155273,-0.04051705077290535,-1.661146879196167,-0.16889414191246033,0.004441624972969294,-1.9096747636795044,-0.15786828100681305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.2070302814245224,-0.055401623249053955,-0.12107116729021072,0.4240780174732208,-0.3317559063434601,-0.1724902093410492,0.462111234664917,-0.694259762763977,-0.22118601202964783,0.3238392770290375,-0.8938598036766052,-0.25288131833076477,0.3353622853755951,-0.8959077596664429,-0.06325048953294754,0.35591959953308105,-1.0807645320892334,-0.19099728763103485,0.29943665862083435,-0.7697390913963318,-0.2549297511577606,0.2631332576274872,-0.5486011505126953,-0.26587945222854614,0.19128455221652985,-0.9801161885261536,-0.05275065451860428,0.2227681577205658,-1.206449270248413,-0.21469122171401978,0.18281622231006622,-0.804336667060852,-0.2689899504184723,0.15401552617549896,-0.5244274139404297,-0.2551250159740448,0.046863120049238205,-1.012795329093933,-0.06381341069936752,0.07201475650072098,-1.2168855667114258,-0.21182116866111755,0.06961555778980255,-0.8346003890037537,-0.22407910227775574,0.06705692410469055,-0.5443698167800903,-0.1756356656551361,-0.10234866291284561,-1.008459448814392,-0.08415264636278152,-0.07534866780042648,-1.411516547203064,-0.1556432694196701,-0.03938842564821243,-1.6742740869522095,-0.1735059767961502,0.0036420903634279966,-1.9154655933380127,-0.16114644706249237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
