label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
K,0.0,0.0,0.0,-0.19726359844207764,-0.31914809346199036,-0.06179206818342209,-0.28042173385620117,-0.7870423793792725,-0.06228121742606163,-0.2694249451160431,-1.2033921480178833,-0.07006675750017166,-0.2776136100292206,-1.5108505487442017,-0.07141429930925369,-0.29728683829307556,-0.97454434633255,0.04868549108505249,-0.3647066652774811,-1.4188246726989746,0.009220561943948269,-0.3777257800102234,-1.6801671981811523,-0.017833907157182693,-0.38017478585243225,-1.9290919303894043,-0.036006953567266464,-0.1455805003643036,-0.9888388514518738,0.031687840819358826,-0.1424700915813446,-1.4843566417694092,-0.03454288840293884,-0.12106921523809433,-1.7945187091827393,-0.08738068491220474,-0.09230548143386841,-2.0721256732940674,-0.11288599669933319,0.004754930734634399,-0.9064546823501587,-0.0002952420327346772,0.009779256768524647,-1.2507410049438477,-0.1364286243915558,-0.015351318754255772,-0.9233471155166626,-0.15367309749126434,-0.021955184638500214,-0.6638816595077515,-0.12194322049617767,0.15051352977752686,-0.7793827652931213,-0.034767068922519684,0.117673359811306,-0.9796907305717468,-0.15864939987659454,0.0781690776348114,-0.7165165543556213,-0.15959900617599487,0.06256072968244553,-0.5053409934043884,-0.129366934299469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20359088480472565,-0.3432359993457794,-0.04642055928707123,-0.2851482927799225,-0.7912045121192932,-0.04556457698345184,-0.2724481523036957,-1.1929576396942139,-0.05731146037578583,-0.2811463475227356,-1.492730975151062,-0.0637039840221405,-0.289226770401001,-0.9883496165275574,0.0627259612083435,-0.35208719968795776,-1.402773380279541,0.019053759053349495,-0.36655399203300476,-1.6594657897949219,-0.01350367534905672,-0.37056633830070496,-1.903320074081421,-0.03510698303580284,-0.13526372611522675,-0.9900885224342346,0.03779472038149834,-0.1286291480064392,-1.4553828239440918,-0.03388795256614685,-0.11021172255277634,-1.7603181600570679,-0.0901147723197937,-0.08073892444372177,-2.027634620666504,-0.11745742708444595,0.019431980326771736,-0.8983914852142334,-0.001570128952153027,0.009461960755288601,-1.2068884372711182,-0.13603219389915466,-0.026070186868309975,-0.8958003520965576,-0.15179020166397095,-0.03096170350909233,-0.6358876824378967,-0.1188763752579689,0.16863758862018585,-0.7618406414985657,-0.042694296687841415,0.11698400974273682,-0.9689459204673767,-0.15587855875492096,0.07348088175058365,-0.7254860997200012,-0.15104757249355316,0.06513047218322754,-0.5180532932281494,-0.11810886114835739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.2050265669822693,-0.33042246103286743,-0.057555437088012695,-0.2849990129470825,-0.7903523445129395,-0.05740918591618538,-0.2726369798183441,-1.204827070236206,-0.06679330766201019,-0.2859025001525879,-1.512126088142395,-0.06970711052417755,-0.2974301874637604,-0.9845951795578003,0.057844098657369614,-0.3566824495792389,-1.415173053741455,0.012876669876277447,-0.3660174012184143,-1.6809542179107666,-0.021240955218672752,-0.36513131856918335,-1.929440975189209,-0.04388054832816124,-0.14140184223651886,-0.9891986846923828,0.03861945495009422,-0.14000552892684937,-1.4585607051849365,-0.03260265663266182,-0.11798050999641418,-1.7710174322128296,-0.09018834680318832,-0.0877922922372818,-2.0460615158081055,-0.11954440921545029,0.01226118579506874,-0.9067244529724121,0.0036237866152077913,0.014851339161396027,-1.2328516244888306,-0.13341224193572998,-0.0188042800873518,-0.9214741587638855,-0.15258093178272247,-0.030233444646000862,-0.6543384790420532,-0.1223791092634201,0.160348042845726,-0.7793868780136108,-0.03415042906999588,0.12016674131155014,-0.9807929396629333,-0.1547599732875824,0.07581182569265366,-0.7334513664245605,-0.15554173290729523,0.05981161817908287,-0.516375720500946,-0.12594005465507507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20854152739048004,-0.3262786269187927,-0.05661284178495407,-0.29529643058776855,-0.7778017520904541,-0.05617262423038483,-0.288962185382843,-1.1883796453475952,-0.06530643254518509,-0.2998875379562378,-1.4916067123413086,-0.06825128197669983,-0.3014499545097351,-0.9779720306396484,0.05931473895907402,-0.35993969440460205,-1.4032909870147705,0.016813108697533607,-0.37068668007850647,-1.6610190868377686,-0.017763815820217133,-0.37270694971084595,-1.9064208269119263,-0.04232866317033768,-0.14938825368881226,-0.9878871440887451,0.04197836294770241,-0.14801838994026184,-1.4445148706436157,-0.0259160865098238,-0.12618878483772278,-1.7528249025344849,-0.08318527787923813,-0.09561929851770401,-2.026906728744507,-0.1145128682255745,0.0030627232044935226,-0.9083367586135864,0.008829863741993904,-0.007217158563435078,-1.2300796508789062,-0.1210128590464592,-0.04527628421783447,-0.9348307251930237,-0.14169277250766754,-0.05642257258296013,-0.6803104281425476,-0.11635401844978333,0.15179258584976196,-0.785519003868103,-0.02752877026796341,0.10178547352552414,-0.9809917211532593,-0.14401158690452576,0.054051999002695084,-0.7433879375457764,-0.14853495359420776,0.039415836334228516,-0.536294162273407,-0.1241787001490593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.22269415855407715,-0.3102419078350067,-0.052810706198215485,-0.31422895193099976,-0.7681037783622742,-0.05743265151977539,-0.29856112599372864,-1.2063790559768677,-0.07276264578104019,-0.29954832792282104,-1.526039719581604,-0.08255619555711746,-0.2981913089752197,-0.9814226627349854,0.04001997411251068,-0.36465179920196533,-1.4291837215423584,-0.007326688151806593,-0.38702672719955444,-1.7090829610824585,-0.0409051887691021,-0.4012647867202759,-1.9678833484649658,-0.0635853111743927,-0.14376769959926605,-0.989442765712738,0.018274245783686638,-0.14081811904907227,-1.4774246215820312,-0.05629368871450424,-0.13051475584506989,-1.801771879196167,-0.11310964822769165,-0.10909537971019745,-2.074122190475464,-0.14312994480133057,0.00942634791135788,-0.9095895290374756,-0.016927480697631836,-0.0017663442995399237,-1.2187285423278809,-0.14763915538787842,-0.04532352089881897,-0.9332358837127686,-0.16283480823040009,-0.058498211205005646,-0.6789864897727966,-0.13307228684425354,0.15966689586639404,-0.7906786799430847,-0.05505270138382912,0.11217712610960007,-1.007684350013733,-0.1659032106399536,0.060139454901218414,-0.7670791745185852,-0.1621062308549881,0.03909459710121155,-0.5464282631874084,-0.13211596012115479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20863133668899536,-0.29113659262657166,-0.06738007068634033,-0.2949688136577606,-0.7548004984855652,-0.06904318183660507,-0.2810995280742645,-1.1806707382202148,-0.07649549096822739,-0.2869804799556732,-1.4985437393188477,-0.07703910022974014,-0.300487756729126,-0.9766594171524048,0.04875032231211662,-0.3600015938282013,-1.4124363660812378,0.010221460834145546,-0.37216120958328247,-1.677211046218872,-0.018037894740700722,-0.37710899114608765,-1.9266688823699951,-0.03715695068240166,-0.14433670043945312,-0.9887936115264893,0.03813391551375389,-0.1483338177204132,-1.463090419769287,-0.02410072647035122,-0.13134372234344482,-1.7658710479736328,-0.07442189753055573,-0.10793780535459518,-2.0285024642944336,-0.09959837794303894,0.007688084151595831,-0.9079225659370422,0.011300512589514256,-0.0006450046203099191,-1.216055989265442,-0.11943711340427399,-0.03902728110551834,-0.9066475033760071,-0.1411992460489273,-0.055587973445653915,-0.6453545093536377,-0.11488667130470276,0.15155215561389923,-0.7901278138160706,-0.01873580552637577,0.10960781574249268,-0.968043327331543,-0.1382800042629242,0.0632467269897461,-0.712350606918335,-0.14404214918613434,0.04329069331288338,-0.4966365694999695,-0.11918336153030396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20814259350299835,-0.29143238067626953,-0.06362846493721008,-0.29223376512527466,-0.7641253471374512,-0.06640912592411041,-0.27615293860435486,-1.1893813610076904,-0.07555237412452698,-0.27468520402908325,-1.5066161155700684,-0.07826763391494751,-0.2978244125843048,-0.9720427393913269,0.039547260850667953,-0.35731539130210876,-1.4147480726242065,-0.0012870610225945711,-0.3702314496040344,-1.684478759765625,-0.028332067653536797,-0.37431925535202026,-1.9389142990112305,-0.04622728005051613,-0.1411820948123932,-0.9896414279937744,0.02602861262857914,-0.1421002298593521,-1.4756869077682495,-0.03867831081151962,-0.12478772550821304,-1.7790801525115967,-0.08779021352529526,-0.10047470033168793,-2.041598081588745,-0.11159458011388779,0.011049330234527588,-0.9130383133888245,-0.002379932440817356,0.005105114076286554,-1.212044358253479,-0.13343293964862823,-0.02961699850857258,-0.8961927890777588,-0.1519576609134674,-0.0426337867975235,-0.6345440149307251,-0.12337075918912888,0.15409351885318756,-0.7996863126754761,-0.03362389653921127,0.10889308899641037,-0.9677472710609436,-0.14956626296043396,0.06276576220989227,-0.7107443809509277,-0.15186002850532532,0.04400233179330826,-0.498169481754303,-0.1253877431154251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.2065151035785675,-0.28482645750045776,-0.06497988849878311,-0.29311850666999817,-0.7628639340400696,-0.06573868542909622,-0.27653390169143677,-1.1899240016937256,-0.0728318989276886,-0.2761160731315613,-1.5064140558242798,-0.07316241413354874,-0.30427396297454834,-0.9704732298851013,0.045358095318078995,-0.3630461096763611,-1.4183852672576904,0.006040006410330534,-0.37190869450569153,-1.6875110864639282,-0.019594814628362656,-0.3726903200149536,-1.9378141164779663,-0.035237494856119156,-0.14899471402168274,-0.9882739186286926,0.03339361026883125,-0.14880743622779846,-1.4746216535568237,-0.028556663542985916,-0.130730539560318,-1.774735927581787,-0.07528430223464966,-0.10587438941001892,-2.0379903316497803,-0.09620410948991776,0.0020825539249926805,-0.9140905737876892,0.005701309069991112,-0.010622844099998474,-1.218604326248169,-0.12249751389026642,-0.041565001010894775,-0.9023171663284302,-0.13798479735851288,-0.048296090215444565,-0.6503030061721802,-0.1060774102807045,0.14463874697685242,-0.8033562898635864,-0.02508985809981823,0.09420116990804672,-0.9885055422782898,-0.1353771835565567,0.05133422464132309,-0.731428861618042,-0.13215883076190948,0.039286717772483826,-0.5252165794372559,-0.1013299971818924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20539267361164093,-0.29223302006721497,-0.061414770781993866,-0.28989076614379883,-0.759088933467865,-0.06467192620038986,-0.27509716153144836,-1.1809834241867065,-0.0750541016459465,-0.27310416102409363,-1.4930205345153809,-0.0785558745265007,-0.29697564244270325,-0.9723188281059265,0.0422200970351696,-0.35671085119247437,-1.4166088104248047,0.00304215494543314,-0.36820051074028015,-1.678665280342102,-0.02261478640139103,-0.37243548035621643,-1.9250415563583374,-0.03915289416909218,-0.14315354824066162,-0.989290714263916,0.028476949781179428,-0.14377795159816742,-1.4704262018203735,-0.0341620147228241,-0.1264684647321701,-1.7651530504226685,-0.08196062594652176,-0.10356783121824265,-2.0197815895080566,-0.10505551844835281,0.006583321373909712,-0.9152753353118896,-7.489764539059252e-05,-0.003727088449522853,-1.2154773473739624,-0.12563996016979218,-0.0375099815428257,-0.9051685333251953,-0.14231973886489868,-0.048575252294540405,-0.6486745476722717,-0.11370541900396347,0.14812105894088745,-0.8072466254234314,-0.03156903013586998,0.10084611922502518,-0.9768136739730835,-0.13925062119960785,0.05212796851992607,-0.7278757095336914,-0.13860419392585754,0.032435618340969086,-0.5213103890419006,-0.11142327636480331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,-0.20727954804897308,-0.2817147672176361,-0.054730240255594254,-0.29430127143859863,-0.7376812696456909,-0.05415064096450806,-0.2768172323703766,-1.1581969261169434,-0.0630989670753479,-0.2805335223674774,-1.4630922079086304,-0.06522656232118607,-0.3049445152282715,-0.9684880971908569,0.05469547212123871,-0.3617391586303711,-1.4009931087493896,0.014372684992849827,-0.3713516891002655,-1.6584163904190063,-0.013234928250312805,-0.37517914175987244,-1.9000216722488403,-0.03063921257853508,-0.14994634687900543,-0.9880252480506897,0.03636200726032257,-0.14537331461906433,-1.4578601121902466,-0.026729727163910866,-0.12514300644397736,-1.7453349828720093,-0.07439480721950531,-0.10080863535404205,-2.0010740756988525,-0.0960908904671669,0.0011996736284345388,-0.9134652018547058,0.0029797377064824104,-0.010051742196083069,-1.2004693746566772,-0.12032797932624817,-0.039534516632556915,-0.8797976970672607,-0.12892751395702362,-0.045562129467725754,-0.6305328607559204,-0.09392590075731277,0.144613116979599,-0.7964228987693787,-0.033645980060100555,0.09682737290859222,-0.9716894626617432,-0.1348598748445511,0.0529598668217659,-0.7226071953773499,-0.12495242804288864,0.040275800973176956,-0.5260874032974243,-0.09098904579877853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
