label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
L,0.0,0.0,0.0,-0.22142893075942993,-0.08616553992033005,-0.09553302079439163,-0.4446440637111664,-0.32666054368019104,-0.15490013360977173,-0.6270985007286072,-0.4673905372619629,-0.21764037013053894,-0.7862414121627808,-0.5033695101737976,-0.27990004420280457,-0.34280189871788025,-0.9195377826690674,-0.07881014794111252,-0.4145551025867462,-1.3595600128173828,-0.16290037333965302,-0.45568203926086426,-1.6211717128753662,-0.21620218455791473,-0.48526689410209656,-1.8675132989883423,-0.2556058168411255,-0.19595704972743988,-0.9763879179954529,-0.09092628955841064,-0.19801589846611023,-1.2643812894821167,-0.24230138957500458,-0.185651496052742,-0.9125319123268127,-0.2769376337528229,-0.1705990880727768,-0.6487985849380493,-0.26225149631500244,-0.045784883201122284,-0.9641266465187073,-0.1159597858786583,-0.03477339446544647,-1.2378238439559937,-0.2605576813220978,-0.04866750165820122,-0.8979654312133789,-0.23409895598888397,-0.048674680292606354,-0.6456218361854553,-0.17427562177181244,0.10102233290672302,-0.896986186504364,-0.14906102418899536,0.11122415959835052,-1.1751571893692017,-0.23818887770175934,0.07474352419376373,-0.9626740217208862,-0.20849864184856415,0.057152923196554184,-0.7611292600631714,-0.16173343360424042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.21684831380844116,-0.07753344625234604,-0.09940862655639648,-0.44405943155288696,-0.31662631034851074,-0.159379780292511,-0.6299504637718201,-0.46368128061294556,-0.2227800488471985,-0.7870920896530151,-0.49818137288093567,-0.28613507747650146,-0.349683940410614,-0.9026991724967957,-0.07875751703977585,-0.41230615973472595,-1.3345316648483276,-0.17068637907505035,-0.4538753926753998,-1.598609209060669,-0.229911670088768,-0.4844818711280823,-1.8481920957565308,-0.274105966091156,-0.20597673952579498,-0.9741706848144531,-0.09254768490791321,-0.20688071846961975,-1.275776743888855,-0.2543678879737854,-0.1950579732656479,-0.9057654142379761,-0.2925109267234802,-0.18182887136936188,-0.6458631157875061,-0.27897077798843384,-0.056031156331300735,-0.9757283329963684,-0.12032724171876907,-0.04589667171239853,-1.2567490339279175,-0.27572429180145264,-0.061107248067855835,-0.9091145992279053,-0.24993881583213806,-0.06413058191537857,-0.6623163223266602,-0.18950195610523224,0.09183463454246521,-0.9156513810157776,-0.15662187337875366,0.1046857237815857,-1.1876091957092285,-0.25445953011512756,0.06871633976697922,-0.9641011953353882,-0.22638502717018127,0.04858771711587906,-0.7604328393936157,-0.18050231039524078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22865036129951477,-0.06808195263147354,-0.10723134130239487,-0.4554467797279358,-0.2821519374847412,-0.17826421558856964,-0.6472265720367432,-0.4056602716445923,-0.2514766454696655,-0.8179868459701538,-0.42898595333099365,-0.32396799325942993,-0.36150720715522766,-0.9123502969741821,-0.0906822606921196,-0.4289703369140625,-1.350237488746643,-0.1782124638557434,-0.46442320942878723,-1.6061559915542603,-0.23339037597179413,-0.4894314110279083,-1.848180890083313,-0.27385109663009644,-0.20956172049045563,-0.9727268815040588,-0.09942971915006638,-0.20926569402217865,-1.2597273588180542,-0.25651586055755615,-0.18968729674816132,-0.8979359269142151,-0.2938670217990875,-0.17338575422763824,-0.6357960104942322,-0.2812597155570984,-0.05645144730806351,-0.9621039628982544,-0.12217268347740173,-0.04320381209254265,-1.2471089363098145,-0.2745630145072937,-0.054330457001924515,-0.9070996046066284,-0.2531485855579376,-0.055960215628147125,-0.6524450778961182,-0.19557085633277893,0.0902562215924263,-0.8961635828018188,-0.15322431921958923,0.0980847030878067,-1.1902854442596436,-0.24908922612667084,0.06309879571199417,-0.9862592816352844,-0.2244751751422882,0.04297392815351486,-0.7824999094009399,-0.18033739924430847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22097760438919067,-0.06933964043855667,-0.10634544491767883,-0.45200496912002563,-0.2874606251716614,-0.17324374616146088,-0.6450573205947876,-0.4059985280036926,-0.2418712079524994,-0.8064408898353577,-0.4243590831756592,-0.3099921941757202,-0.3744100332260132,-0.8961143493652344,-0.082551009953022,-0.43892672657966614,-1.3268324136734009,-0.17367713153362274,-0.47284236550331116,-1.5853073596954346,-0.2330942302942276,-0.4969032406806946,-1.8276244401931763,-0.2776558995246887,-0.2240973860025406,-0.969993531703949,-0.09430208802223206,-0.2222006916999817,-1.2636839151382446,-0.2595072090625763,-0.19501687586307526,-0.8967893123626709,-0.30171409249305725,-0.17994090914726257,-0.6390122175216675,-0.29046663641929626,-0.06952904164791107,-0.9768182039260864,-0.1205480694770813,-0.05650485306978226,-1.2415955066680908,-0.2773454785346985,-0.06070796772837639,-0.898809552192688,-0.25527966022491455,-0.06814844906330109,-0.6545733213424683,-0.19794008135795593,0.08053894340991974,-0.9251403212547302,-0.15558981895446777,0.09162261337041855,-1.1796928644180298,-0.25463783740997314,0.06482149660587311,-0.9507700800895691,-0.22859397530555725,0.04122122749686241,-0.7510422468185425,-0.18453381955623627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22788123786449432,-0.06915886700153351,-0.10445362329483032,-0.4610935151576996,-0.28079405426979065,-0.17141425609588623,-0.6525238156318665,-0.39763718843460083,-0.24105732142925262,-0.8179271221160889,-0.4134572148323059,-0.31005868315696716,-0.3797524869441986,-0.8952843546867371,-0.08130773901939392,-0.4449411928653717,-1.3247654438018799,-0.17176158726215363,-0.4797852635383606,-1.5799323320388794,-0.23259977996349335,-0.50533127784729,-1.8167608976364136,-0.2787380814552307,-0.22937284409999847,-0.968764066696167,-0.09425622969865799,-0.23217396438121796,-1.2491440773010254,-0.2606182396411896,-0.20595869421958923,-0.8920717239379883,-0.3064644932746887,-0.18914394080638885,-0.6347020268440247,-0.29895347356796265,-0.07460334897041321,-0.9746584892272949,-0.12138231843709946,-0.0660841092467308,-1.2379276752471924,-0.27839967608451843,-0.07064901292324066,-0.905827522277832,-0.260398268699646,-0.07626999914646149,-0.6587759256362915,-0.20674210786819458,0.0771189033985138,-0.9244429469108582,-0.15721812844276428,0.08465339243412018,-1.1803990602493286,-0.2585456371307373,0.054172173142433167,-0.9559394717216492,-0.2361106127500534,0.029224051162600517,-0.7477203607559204,-0.19459618628025055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22324536740779877,-0.05986247584223747,-0.10567201673984528,-0.4543819725513458,-0.26683542132377625,-0.17338880896568298,-0.6469202637672424,-0.3734252452850342,-0.24383214116096497,-0.8132007122039795,-0.3867577612400055,-0.3129633367061615,-0.383633017539978,-0.8953637480735779,-0.07894228398799896,-0.4521642327308655,-1.3183045387268066,-0.16950906813144684,-0.48776495456695557,-1.572130560874939,-0.2284320890903473,-0.5147469639778137,-1.804978847503662,-0.27211007475852966,-0.23525072634220123,-0.9677233695983887,-0.09037965536117554,-0.2401520311832428,-1.2447758913040161,-0.25799882411956787,-0.20717903971672058,-0.8768187761306763,-0.30164435505867004,-0.19087158143520355,-0.6197455525398254,-0.290182888507843,-0.08225028961896896,-0.9721885919570923,-0.11641498655080795,-0.07315754145383835,-1.2233450412750244,-0.27638164162635803,-0.06953677535057068,-0.885192334651947,-0.25758856534957886,-0.07593943923711777,-0.6440085172653198,-0.200596883893013,0.06584691256284714,-0.9203689694404602,-0.15086331963539124,0.07732169330120087,-1.1752350330352783,-0.2529260218143463,0.05180792883038521,-0.9544811248779297,-0.2295658439397812,0.02380969002842903,-0.7547837495803833,-0.18574830889701843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.21925413608551025,-0.06287264078855515,-0.10320519655942917,-0.45030584931373596,-0.26694729924201965,-0.16778510808944702,-0.6427193880081177,-0.3686193823814392,-0.23394359648227692,-0.800762414932251,-0.3921447992324829,-0.29859331250190735,-0.38641807436943054,-0.8986335396766663,-0.07417629659175873,-0.45068803429603577,-1.3039520978927612,-0.1696537286043167,-0.48762980103492737,-1.5594098567962646,-0.2333562970161438,-0.5134891867637634,-1.7955310344696045,-0.27995729446411133,-0.24004432559013367,-0.966900646686554,-0.08649749308824539,-0.25010356307029724,-1.2581965923309326,-0.25181934237480164,-0.21435892581939697,-0.8828186988830566,-0.29287809133529663,-0.19120895862579346,-0.6248232126235962,-0.2805924117565155,-0.08448737114667892,-0.9703497886657715,-0.11439961194992065,-0.07196728140115738,-1.2247411012649536,-0.27187612652778625,-0.0757010206580162,-0.8795429468154907,-0.24815617501735687,-0.08343034982681274,-0.6408571004867554,-0.18895770609378815,0.0692012757062912,-0.9159641265869141,-0.15097114443778992,0.07797053456306458,-1.1743594408035278,-0.2487415224313736,0.046508342027664185,-0.9497433304786682,-0.22200079262256622,0.016478613018989563,-0.7569789290428162,-0.17738869786262512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22354727983474731,-0.05455923080444336,-0.10676221549510956,-0.4562869966030121,-0.25532740354537964,-0.17707358300685883,-0.6463684439659119,-0.35562875866889954,-0.24986132979393005,-0.810809850692749,-0.3814154267311096,-0.3208935856819153,-0.3882172703742981,-0.8989489078521729,-0.0833379402756691,-0.4588824510574341,-1.3206605911254883,-0.17971546947956085,-0.49561044573783875,-1.5740277767181396,-0.24368125200271606,-0.5193874835968018,-1.807644009590149,-0.29055914282798767,-0.23882101476192474,-0.9662152528762817,-0.09691565483808517,-0.24758288264274597,-1.2505700588226318,-0.2681635618209839,-0.21702836453914642,-0.8757972717285156,-0.31229498982429504,-0.1971215456724167,-0.6191492676734924,-0.3012588322162628,-0.08328533172607422,-0.9678221940994263,-0.12580662965774536,-0.07800490409135818,-1.2289034128189087,-0.2879015803337097,-0.08006151020526886,-0.8807944059371948,-0.2659831941127777,-0.08658480644226074,-0.6391865015029907,-0.20729747414588928,0.06953690201044083,-0.9132751226425171,-0.16358821094036102,0.07576608657836914,-1.1744344234466553,-0.26653334498405457,0.04369136691093445,-0.9449446797370911,-0.24070149660110474,0.013188175857067108,-0.7439779043197632,-0.1954544484615326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22428905963897705,-0.055644046515226364,-0.1025768518447876,-0.46016016602516174,-0.2635800540447235,-0.1668933480978012,-0.6514961123466492,-0.37833526730537415,-0.232696533203125,-0.8130378723144531,-0.3956308364868164,-0.29737040400505066,-0.3861353099346161,-0.9013239741325378,-0.08382388204336166,-0.44896799325942993,-1.3256120681762695,-0.17622704803943634,-0.48701971769332886,-1.5844532251358032,-0.23711006343364716,-0.5181089043617249,-1.8199321031570435,-0.2829321026802063,-0.2367430329322815,-0.9667441248893738,-0.09674015641212463,-0.24528077244758606,-1.2436819076538086,-0.2616552412509918,-0.207190603017807,-0.8710861206054688,-0.30187445878982544,-0.18597008287906647,-0.6134513020515442,-0.2904730439186096,-0.08043371886014938,-0.9674761295318604,-0.12389803677797318,-0.07093385607004166,-1.2183912992477417,-0.27997392416000366,-0.07053188234567642,-0.8774434924125671,-0.25596559047698975,-0.08031786978244781,-0.6359360218048096,-0.19842751324176788,0.07261334359645844,-0.9140086770057678,-0.1596107929944992,0.07929939031600952,-1.1753060817718506,-0.25996074080467224,0.04946107789874077,-0.952694833278656,-0.23476365208625793,0.016739288344979286,-0.7542791962623596,-0.1913612335920334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,-0.22779245674610138,-0.054177287966012955,-0.10005246102809906,-0.46164700388908386,-0.2639174163341522,-0.1633470207452774,-0.651379406452179,-0.37969642877578735,-0.22857514023780823,-0.8123089075088501,-0.39902034401893616,-0.293109267950058,-0.3785669803619385,-0.9051730036735535,-0.08116453886032104,-0.4466606080532074,-1.3239924907684326,-0.17306889593601227,-0.48352161049842834,-1.5832051038742065,-0.2347242832183838,-0.5118304491043091,-1.821010708808899,-0.2812422513961792,-0.22839410603046417,-0.9688622951507568,-0.09561409056186676,-0.2390567660331726,-1.241646647453308,-0.2606292963027954,-0.20688344538211823,-0.8738493323326111,-0.30290892720222473,-0.18716105818748474,-0.611409604549408,-0.2931448817253113,-0.07144118845462799,-0.9639039635658264,-0.12402577698230743,-0.06346868723630905,-1.203739047050476,-0.2802636921405792,-0.06874644011259079,-0.8693759441375732,-0.2587345242500305,-0.08050572872161865,-0.629174530506134,-0.2031816840171814,0.08118581026792526,-0.9036369323730469,-0.16067110002040863,0.08682315051555634,-1.1587483882904053,-0.26145151257514954,0.05372912809252739,-0.9348394870758057,-0.23712925612926483,0.02025524340569973,-0.7340210676193237,-0.19460713863372803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
